,Tree.SNO,Tree.PNO,SPECIES,DB.cm.,DIAMETER,HEIGHT,CD.m.,Plot
2,2,2,Daniella oliveri,31.3,27.1,26.8,18.75,P1
4,4,4,Gmelina arborea,12.7,8.1,14,9.65,P1
5,5,5,Gmelina arborea,10.2,8.5,13,10.05,P1
6,6,6,Gmelina arborea,10.2,8.8,12.6,10.7,P1
7,7,7,Gmelina arborea,6.7,5.3,10.7,5.45,P1
8,8,8,Albizia zygia,5.7,4.6,7.3,6.2,P1
10,10,10,Gmelina arborea,7.6,6.4,8.1,8.7,P1
12,12,12,Gmelina arborea,8.8,7.3,10.8,6.25,P1
13,13,13,Gmelina arborea,8.7,7.5,12,8.15,P1
14,14,14,Gmelina arborea,6.4,4.9,6.2,6.55,P1
15,15,15,Gmelina arborea,13.4,9.2,12.9,7.1,P1
16,16,16,Gmelina arborea,13.4,7.3,12.7,8.85,P1
18,18,18,Azadirachta indica,8,6.4,11,9.15,P1
20,20,20,Gmelina arborea,14.5,11.6,15.1,7.55,P1
21,21,21,Crossopteryx febrifuga,6.4,4.8,8,5.45,P1
22,22,22,Gmelina arborea,9.2,7,14.3,7,P1
23,23,23,Azadirachta indica,9.9,6.7,10,9.4,P1
24,24,24,Albizia zygia,7.8,7,10.5,7.55,P1
26,26,26,Azadirachta indica,10.5,9.3,15.1,10.2,P1
28,28,28,Syzygium guineenses,9.5,5.9,10.2,7.9,P1
29,29,29,Khaya senegalensis,43.1,39.5,36.7,22.6,P1
30,30,30,Lophira lanceolata,6.4,4.8,8.2,3.2,P1
31,31,31,Lophira lanceolata,6.4,5.1,8.9,3.9,P1
32,32,32,Hannoa undulata,7.3,6,5.6,4.35,P1
34,34,2,Detarium microcarpum,9.7,8.8,10.5,4.95,P2
36,36,4,Lophira lanceolata,6.4,5.4,6.8,6.15,P2
37,37,5,Hannoa undulata,9.2,8.1,8.3,5.95,P2
38,38,6,Hannoa undulata,8.9,7.5,12.8,6.9,P2
39,39,7,Detarium microcarpum,11.5,11.1,13.5,8.1,P2
40,40,8,Burkea africana,7.1,5.9,9,3.55,P2
42,42,10,Daniella oliveri,21.6,19.7,23.6,13.15,P2
44,44,12,Daniella oliveri,11.6,9.7,11.5,6.85,P2
45,45,13,Daniella oliveri,11.7,10.6,15.8,5.9,P2
46,46,14,Daniella oliveri,7.3,5.9,7.8,4.55,P2
47,47,15,Hannoa undulata,16.9,14.2,13.2,8.75,P2
48,48,16,Gmelina arborea,17.2,15.1,13.5,12.1,P2
50,50,18,Azadirachta indica,16.9,14.5,16.2,12.7,P2
52,52,20,Anacadium occidentale,21,17.5,15.4,15.4,P2
53,53,21,Hannoa undulata,11.5,11.3,9.9,13.05,P2
54,54,22,Anacadium occidentale,15.3,14,12.9,10.85,P2
55,55,23,Gmelina arborea,11.3,8.8,11,5.75,P2
56,56,24,Burkea africana,12.9,11.1,13.8,9.4,P2
58,58,26,Terminalia schimperiana,8.3,8,9.8,5.25,P2
60,60,28,Parinari curitellifolia,7,5.7,6.8,4,P2
61,61,1,Hannoa undulata,7.9,6.5,6,2.9,P3
62,62,2,Daniella oliveri,7.1,6.5,9.3,5.85,P3
63,63,3,Vitellaria paradoxa,6.5,6.3,8.2,7.2,P3
64,64,4,Crossopteryx febrifuga,11,10.2,12.3,9.35,P3
66,66,6,Daniella oliveri,23.9,20.7,21,14.3,P3
68,68,8,Daniella oliveri,22,19.4,17,13.9,P3
69,69,9,Azadirachta indica,15.2,12.7,13.8,9.4,P3
70,70,10,Azadirachta indica,14,12.6,14.5,12.15,P3
71,71,11,Azadirachta indica,8.6,8,7.5,7.35,P3
72,72,12,Daniella oliveri,19.9,18.5,19,9.6,P3
74,74,14,Azadirachta indica,10.3,10.9,13.7,7.35,P3
76,76,16,Daniella oliveri,20.3,18.5,20,9.2,P3
77,77,17,Azadirachta indica,10.8,9.9,12,7.85,P3
78,78,18,Hannoa undulata,10.6,9.8,7.9,5.75,P3
79,79,19,Daniella oliveri,8.3,7.6,11,4.25,P3
80,80,20,Burkea africana,6.4,4.8,9.5,3.85,P3
82,82,22,Azadirachta indica,15.9,15.1,18.2,7.5,P3
84,84,24,Daniella oliveri,27.1,24.5,24.3,12.6,P3
85,85,25,Crossopteryx febrifuga,14.4,12.7,14.9,6,P3
86,86,26,Daniella oliveri,25.8,23.2,24,12.8,P3
87,87,27,Azadirachta indica,14,12.3,10.1,11.9,P3
88,88,28,Daniella oliveri,20.8,17.8,16.5,9.5,P3
90,90,30,Hannoa undulata,15,13.4,13.6,9.3,P3
92,92,32,Daniella oliveri,17.8,15,16.8,7.15,P3
93,93,1,Azadirachta indica,12.1,10.3,12.5,7.75,P4
94,94,2,Anacadium occidentale,32.8,30.6,27.3,18.45,P4
95,95,3,Mangifera indica,11.5,9.4,13.1,7.15,P4
96,96,4,Azadirachta indica,22,20.4,18.2,14.45,P4
98,98,6,Azadirachta indica,14,12.1,10,7.85,P4
100,100,8,Mangifera indica,38.8,22.9,19.7,19.15,P4
101,101,9,Mangifera indica,38.8,23.9,21.4,16.15,P4
102,102,10,Mangifera indica,29,28.3,25.9,16.6,P4
103,103,11,Mangifera indica,50,41.1,38.3,14.85,P4
104,104,12,Gmelina arborea,11.5,9.4,12,5.8,P4
106,106,14,Elaeis guineensis,20.7,15,17.1,6.55,P4
108,108,16,Anacadium occidentale,31.2,28.3,23.6,16.75,P4
109,109,17,Azadirachta indica,16.2,13.8,13,8,P4
110,110,18,Azadirachta indica,21.5,12.4,14,9.15,P4
111,111,19,Azadirachta indica,21.5,13.2,14.5,9.55,P4
112,112,20,Azadirachta indica,34.4,21.3,19.5,12.4,P4
114,114,22,Azadirachta indica,15.3,13.7,13,11.55,P4
116,116,24,Mangifera indica,39.8,20.7,20,14.95,P4
117,117,25,Albizia zygia,10.5,8.3,9.8,7.45,P4
118,118,26,Syzygium guineenses,14.5,12.6,13.9,5.6,P4
119,119,27,Albizia zygia,12.4,9.1,8.4,9.95,P4
120,120,28,Ficus sycomorus,24.2,12.1,12.1,11.75,P4
122,122,30,Combretum nigricans,10.3,9.2,12,7.25,P4
124,124,2,Syzygium guineenses,9.4,8.2,11.1,7.85,P5
125,125,3,Syzygium guineenses,23.9,23.6,21.3,13.7,P5
126,126,4,Syzygium guineenses,7.5,6.8,9.5,4.65,P5
127,127,5,Mangifera indica,12.4,10.2,14.6,2.75,P5
128,128,6,Elaeis guineensis,14.3,11.5,11.6,8.85,P5
130,130,8,Syzygium guineenses,7.5,5.9,11.2,5.35,P5
132,132,10,Gmelina arborea,10.3,8.4,13.6,6.6,P5
133,133,11,Albizia zygia,11.1,9.4,12,8.1,P5
134,134,12,Azadirachta indica,14,12.1,10,9.3,P5
135,135,13,Ficus sycomorus,22,10.2,13.2,12.1,P5
136,136,14,Albizia zygia,8.1,6.6,8.5,5.75,P5
138,138,16,Syzygium guineenses,11.8,9.9,14,6.4,P5
140,140,18,Syzygium guineenses,12.4,7.6,8.5,6.75,P5
141,141,19,Gmelina arborea,7.6,6.3,9,4.9,P5
142,142,20,Gmelina arborea,9.9,7,12.2,7.45,P5
143,143,21,Terminalia mentalis,12.1,11.5,15.1,10.5,P5
144,144,22,Gmelina arborea,9.7,8.1,11,7.1,P5
146,146,24,Maranthes polyandra,9.2,7.5,9.2,6.4,P5
148,148,26,Hannoa undulata,12.1,11.5,13,6.75,P5
149,149,27,Daniella oliveri,15,13,16.2,7.7,P5
150,150,28,Daniella oliveri,13,11.1,14.5,7.05,P5
151,151,29,Detarium microcarpum,8.6,8,7.8,5.5,P5
152,152,1,Daniella oliveri,28,23.2,25.2,14.8,P6
154,154,3,Detarium microcarpum,12.3,7.7,8.1,7.3,P6
156,156,5,Detarium microcarpum,11,9.9,12.1,8.3,P6
157,157,6,Gmelina arborea,11.6,9.9,11,8.9,P6
158,158,7,Gmelina arborea,11.1,9.7,11.5,9.6,P6
159,159,8,Gmelina arborea,7,5.7,8.3,7.25,P6
160,160,9,Gmelina arborea,6.7,5.6,10,7.8,P6
162,162,11,Azadirachta indica,18.5,15,16.8,15.45,P6
164,164,13,Gmelina arborea,9.1,7.7,10.7,5.75,P6
165,165,14,Gmelina arborea,8.9,7.6,9.2,5.35,P6
166,166,15,Hannoa undulata,10.3,6.1,7.8,4.35,P6
167,167,16,Hannoa undulata,10.3,9.2,11.3,8.25,P6
168,168,17,Gmelina arborea,12.4,10.5,7.8,10.25,P6
170,170,19,Daniella oliveri,10.8,9.2,9.9,6.3,P6
172,172,21,Terminalia mentalis,9.2,8.1,11,7.2,P6
173,173,22,Lophira lanceolata,10.8,8,5.6,5.55,P6
174,174,23,Lophira lanceolata,10.8,7.6,6,6.5,P6
175,175,24,Gmelina arborea,19.1,15.4,10.5,14.1,P6
176,176,25,Gmelina arborea,16.5,15.6,14.3,11.45,P6
178,178,27,Gmelina arborea,8.6,7.2,9,5.4,P6
180,180,29,Detarium microcarpum,11.8,9.9,12.1,6.3,P6
181,181,30,Lophira lanceolata,8,7,10.5,3.75,P6
182,182,31,Parinari curitellifolia,6.4,6,5,3.9,P6
183,183,32,Crossopteryx febrifuga,15.9,13.4,16.3,11.3,P6
184,184,1,Daniella oliveri,11.5,9.4,14.5,6.65,P7
186,186,3,Parinari curitellifolia,7.3,6,5.4,7.4,P7
188,188,5,Azadirachta indica,9.1,7.3,12,7.65,P7
189,189,6,Detarium microcarpum,8.4,7.2,7.9,7.15,P7
190,190,7,Lophira lanceolata,8,6.5,9.8,4.55,P7
191,191,8,Azadirachta indica,10.2,8.3,7.5,8.1,P7
192,192,9,Detarium microcarpum,10.2,7,5,4.65,P7
194,194,11,Azadirachta indica,9.9,8.6,8.5,7.05,P7
196,196,13,Detarium microcarpum,6.7,5.9,5.6,3.1,P7
197,197,14,Detarium microcarpum,8,7.6,8.3,6.05,P7
198,198,15,Lophira lanceolata,7,6,8.7,2.85,P7
199,199,16,Detarium microcarpum,10.2,8.4,11.3,6.95,P7
200,200,17,Kuassia undulata,15,14.5,15.3,8.9,P7
202,202,19,Lophira lanceolata,9.9,9.5,11.9,3.9,P7
204,204,21,Lophira lanceolata,7.3,6.5,7.1,3,P7
205,205,22,Lophira lanceolata,6.7,5.7,7.5,3.85,P7
206,206,23,Kuassia undulata,14.6,11,13.7,8.95,P7
207,207,24,Terminalia mentalis,8.3,7.2,8,4.55,P7
208,208,25,Lophira lanceolata,7.3,6.4,9,2.95,P7
210,210,27,Lophira lanceolata,7.6,6.4,6.6,2.55,P7
212,212,29,Hannoa undulata,8.9,8,7,4.55,P7
213,213,1,Detarium microcarpum,15.4,13.4,11.9,8.8,P8
214,214,2,Detarium microcarpum,10.8,10.4,4,6.85,P8
215,215,3,Hannoa undulata,8.9,8,10.3,4.55,P8
216,216,4,Lophira lanceolata,11.1,9.7,10.1,8.3,P8
218,218,6,Parinari curitellifolia,8.6,8,5.7,6.6,P8
220,220,8,Kuassia undulata,11.1,9.9,7.2,8.1,P8
221,221,9,Kuassia undulata,9.5,8.1,7.9,4.65,P8
222,222,10,Kuassia undulata,9.9,8.8,12.4,5,P8
223,223,11,Azadirachta indica,8,6.8,9.9,7.7,P8
224,224,12,Daniella oliveri,8.6,7.6,7,4.65,P8
226,226,14,Azadirachta indica,7,5.6,8.3,6.25,P8
228,228,16,Daniella oliveri,14.3,12.1,10.2,7.95,P8
229,229,17,Parinari curitellifolia,15.9,14,13.7,10.5,P8
230,230,18,Daniella oliveri,11.8,6.8,8,8.35,P8
231,231,19,Trichilia emetica,7.3,6.5,8,4.5,P8
232,232,20,Trichilia emetica,7,5.1,7.7,3.7,P8
234,234,22,Trichilia emetica,7,6.4,8.2,3.2,P8
236,236,24,Pericopsis laxiflora,6.4,5.4,7.1,6.3,P8
237,237,25,Azadirachta indica,8.3,7,6.2,6.65,P8
238,238,26,Daniella oliveri,11.5,8.8,10.2,5.95,P8
239,239,27,Daniella oliveri,9.9,8.3,10.4,6.75,P8
240,240,28,Daniella oliveri,15,13.7,12.9,10.4,P8
242,242,30,Daniella oliveri,14.2,12.3,10,9.55,P8
244,244,32,Scrychinos spinosa,10.2,8.3,10.1,8.4,P8
245,245,33,Vitellaria paradoxa,13,12.1,12.6,11.3,P8
246,246,34,Vitellaria paradoxa,12.4,10.8,10.5,7.4,P8
247,247,35,Vitellaria paradoxa,10.8,9.2,12.5,6.85,P8
248,248,1,Gmelina arborea,7.3,6,10,5.8,P9
250,250,3,Gmelina arborea,10,8.1,14,7.55,P9
252,252,5,Gmelina arborea,8.8,7.1,13,4.85,P9
253,253,6,Azadirachta indica,6.7,6.4,6.5,6.3,P9
254,254,7,Gmelina arborea,9.5,7,10.2,5.9,P9
255,255,8,Daniella oliveri,10.6,8.9,11.5,5.6,P9
256,256,9,Daniella oliveri,8.4,6.7,8.4,5.1,P9
258,258,11,Daniella oliveri,8.8,7.6,10,3.7,P9
260,260,13,Daniella oliveri,8.8,7.1,9.8,3.7,P9
261,261,14,Daniella oliveri,7.7,5.9,8,3.45,P9
262,262,15,Maranthes polyandra,8.6,6.8,5.2,3.6,P9
263,263,16,Gmelina arborea,7.3,5.7,10.3,6.05,P9
264,264,17,Gmelina arborea,10,7.2,11,5.65,P9
266,266,19,Daniella oliveri,7.5,6.4,8.6,4.9,P9
268,268,21,Gmelina arborea,9.2,7.5,11.5,6.65,P9
269,269,22,Burkea africana,6.7,5.3,6.9,4.2,P9
270,270,23,Daniella oliveri,10,8.5,10.3,5.75,P9
271,271,24,Daniella oliveri,6.7,5.1,9.5,3.35,P9
272,272,25,Lannea schrimperiana,6.7,5.4,9.3,3.8,P9
274,274,27,Daniella oliveri,10.5,8.8,10,6.65,P9
276,276,29,Parkia biglobosa,8.6,7.5,9.4,6.45,P9
277,277,30,Lannea schrimperiana,8.4,7.5,10.1,5.15,P9
278,278,1,Hannoa undulata,9.5,8.4,7.5,4.8,P10
279,279,2,Gmelina arborea,17.8,15.7,14,4.85,P10
280,280,3,Azadirachta indica,6.4,4.8,9.5,3.9,P10
282,282,5,Daniella oliveri,14.2,12.7,13,10.9,P10
284,284,7,Hannoa undulata,14.6,11.6,12.7,5.65,P10
285,285,8,Gmelina arborea,10,8,10,6.85,P10
286,286,9,Daniella oliveri,8,6.7,8.1,5.7,P10
287,287,10,Lophira lanceolata,7.3,7,7.5,4.6,P10
288,288,11,Daniella oliveri,11.9,10.9,14.3,5.6,P10
290,290,13,Daniella oliveri,10,8.4,8.6,5.05,P10
292,292,15,Albizia zygia,8.9,7,8,5.45,P10
293,293,16,Daniella oliveri,11.8,10.3,10.76,7.2,P10
294,294,17,Daniella oliveri,6.7,5.6,8.2,3.4,P10
295,295,18,Anthocleista djalonensis,7.5,6,9.8,2.9,P10
296,296,19,Daniella oliveri,8.8,8.4,10.3,6.5,P10
298,298,21,Daniella oliveri,18.5,17.3,15.5,10.2,P10
