S/N,TRT,D,NL,H
1,T1,3.3,7,18.25
2,T1,4.21,8,5.6
3,T1,3.29,6,19.25
4,T1,3.59,7,7.66
5,T1,4.46,7,6.25
6,T1,3.57,7,16.05
7,T1,4.27,9,16
8,T1,3.37,5,15.06
9,T1,4.21,8,12.7
10,T1,4.39,6,18.25
11,T1,4.29,7,5.6
12,T1,4.55,6,16
13,T1,3.51,6,15.06
14,T1,3.47,7,12.7
15,T2,4.81,7,10.6
16,T2,3.57,7,30.8
17,T2,4.77,5,30
18,T2,4.37,7,16
19,T2,5.73,9,16
20,T2,2.55,5,16.3
21,T2,4.4,9,10.6
22,T2,4.39,6,11.95
23,T2,4.78,8,11.95
24,T2,3.49,8,10.6
25,T2,4.37,5,30.8
26,T2,4.57,5,11.95
27,T2,3.37,6,11.95
28,T3,7.9,10,19
29,T3,6.7,7,10.63
30,T3,5.37,6,18.04
31,T3,5.5,7,15.3
32,T3,5.49,7,16.12
33,T3,10.89,10,12.16
34,T3,6.97,8,12.52
35,T3,6.53,7,12.58
36,T3,7.93,8,9.57
37,T3,4.45,5,19
38,T3,5.9,6,10.63
39,T3,5.67,7,12.52
40,T3,4.81,6,12.58
41,T3,4.7,6,9.57
