S/N,TRT,D,NL,H
1,T1,3.3,7,
2,T1,4.21,8,
3,T1,3.29,6,
4,T1,3.59,7,
5,T1,4.46,7,
6,T1,3.57,7,
7,T1,4.27,9,
8,T1,3.37,5,
9,T1,4.21,8,
10,T1,4.39,6,
11,T1,4.29,7,
12,T1,4.55,6,
13,T1,3.51,6,
14,T1,3.47,7,
15,T2,4.81,7,
16,T2,3.57,7,
17,T2,4.77,5,
18,T2,4.37,7,
19,T2,5.73,9,
20,T2,2.55,5,
21,T2,4.4,9,
22,T2,4.39,6,
23,T2,4.78,8,
24,T2,3.49,8,
25,T2,4.37,5,
26,T2,4.57,5,
27,T2,3.37,6,
28,T3,7.9,10,
29,T3,6.7,7,
30,T3,5.37,6,
31,T3,5.5,7,
32,T3,5.49,7,
33,T3,10.89,10,
34,T3,6.97,8,
35,T3,6.53,7,
36,T3,7.93,8,
37,T3,4.45,5,
38,T3,5.9,6,
39,T3,5.67,7,
40,T3,4.81,6,
41,T3,4.7,6,
