,Species,Frequency,Trees.HA,Proportion...
1,Anacadium occidentale,7,2.8,2.3
2,Daniella oliveri,55,22,18.4
3,Azadirachta indica,43,17.2,14.4
4,Gmelina arborea,55,22,18.4
5,Albizia zygia,10,4,3.3
6,Crossopteryx febrifuga,5,2,1.7
7,Syzygium guineenses,12,4.8,4
8,Khaya senegalensis,1,0.4,0.3
9,Lophira lanceolata,19,7.6,6.4
10,Hannoa undulata,18,7.2,6
11,Detarium microcarpum,17,6.8,5.7
12,Terminalia avicennoides,1,0.4,0.3
13,Burkea africana,8,3.2,2.7
14,Terminalia schimperiana,1,0.4,0.3
15,Parinari curitellifolia,5,2,1.7
16,Vitellaria paradoxa,4,1.6,1.3
17,Ptericarpus eriaceus,1,0.4,0.3
18,Mangifera indica,8,3.2,2.7
19,Elaeis guineensis,3,1.2,1
20,Ficus sycomorus,3,1.2,1
21,Combretum nigricans,1,0.4,0.3
22,Terminalia mentalis,4,1.6,1.3
23,Maranthes polyandra,2,0.8,0.7
24,Kuassia undulata,5,2,1.7
25,Scrychinos spinosa,2,0.8,0.7
26,Trichilia emetica,3,1.2,1
27,Pericopsis laxiflora,1,0.4,0.3
28,Lannea schrimperiana,3,1.2,1
29,Parkia biglobosa,1,0.4,0.3
30,Anthocleista djalonensis,1,0.4,0.3
31,Total,299,119.6,100
