,Species,Frequency,Trees.HA,RF...,RD...,RDo...,IVI
1,Anacadium occidentale,7,2.8,2.3,2.3,7.8,12.5
2,Daniella oliveri,55,22,18.4,18.4,22.8,59.5
3,Azadirachta indica,43,17.2,14.4,14.4,14.2,42.9
4,Gmelina arborea,55,22,18.4,18.4,14,50.8
5,Albizia zygia,10,4,3.3,3.3,1.3,8
6,Crossopteryx febrifuga,5,2,1.7,1.7,1.3,4.6
7,Syzygium guineenses,12,4.8,4,4,4.2,12.2
8,Khaya senegalensis,1,0.4,0.3,0.3,3.9,4.5
9,Lophira lanceolata,19,7.6,6.4,6.4,2.2,14.9
10,Hannoa undulata,18,7.2,6,6,4,16.1
11,Detarium microcarpum,17,6.8,5.7,5.7,3.6,14.9
12,Terminalia avicennoides,1,0.4,0.3,0.3,0.1,0.8
13,Burkea africana,8,3.2,2.7,2.7,1,6.4
14,Terminalia schimperiana,1,0.4,0.3,0.3,0.2,0.8
15,Parinari curitellifolia,5,2,1.7,1.7,0.9,4.2
16,Vitellaria paradoxa,4,1.6,1.3,1.3,1,3.6
17,Ptericarpus eriaceus,1,0.4,0.3,0.3,1.1,1.7
18,Mangifera indica,8,3.2,2.7,2.7,10.7,16
19,Elaeis guineensis,3,1.2,1,1,1.3,3.3
20,Ficus sycomorus,3,1.2,1,1,0.9,2.9
21,Combretum nigricans,1,0.4,0.3,0.3,0.2,0.9
22,Terminalia mentalis,4,1.6,1.3,1.3,0.7,3.4
23,Maranthes polyandra,2,0.8,0.7,0.7,0.3,1.6
24,Kuassia undulata,5,2,1.7,1.7,1.4,4.8
25,Scrychinos spinosa,2,0.8,0.7,0.7,0.2,1.6
26,Trichilia emetica,3,1.2,1,1,0.3,2.3
27,Pericopsis laxiflora,1,0.4,0.3,0.3,0.1,0.7
28,Lannea schrimperiana,3,1.2,1,1,0.3,2.3
29,Parkia biglobosa,1,0.4,0.3,0.3,0.1,0.8
30,Anthocleista djalonensis,1,0.4,0.3,0.3,0.1,0.8
31,Total,299,119.6,100,100,100,300
