,Species,Frequency,BA
1,Anacadium occidentale,7,0.248448142620168
2,Daniella oliveri,55,0.723633666429709
3,Azadirachta indica,43,0.450864098883612
4,Gmelina arborea,55,0.444560493224184
5,Albizia zygia,10,0.0420792774003451
6,Crossopteryx febrifuga,5,0.0399681271371327
7,Syzygium guineenses,12,0.133132842677501
8,Khaya senegalensis,1,0.122541748444087
9,Lophira lanceolata,19,0.070914385571319
10,Hannoa undulata,18,0.127614635181471
11,Detarium microcarpum,17,0.113406782405611
12,Terminalia avicennoides,1,0.00395919214168654
13,Burkea africana,8,0.0330252073726993
14,Terminalia schimperiana,1,0.00502654824574367
15,Parinari curitellifolia,5,0.0286269776576736
16,Vitellaria paradoxa,4,0.0304247540536904
17,Ptericarpus eriaceus,1,0.0336535259034173
18,Mangifera indica,8,0.340063267584154
19,Elaeis guineensis,3,0.0421609588093384
20,Ficus sycomorus,3,0.0280025861177726
21,Combretum nigricans,1,0.006647610054996
22,Terminalia mentalis,4,0.0234598431406818
23,Maranthes polyandra,2,0.00804954577666045
24,Kuassia undulata,5,0.0449491222893994
25,Scrychinos spinosa,2,0.00770082899211198
26,Trichilia emetica,3,0.00857811874062693
27,Pericopsis laxiflora,1,0.00229022104446696
28,Lannea schrimperiana,3,0.00883180234740431
29,Parkia biglobosa,1,0.00441786466911065
30,Anthocleista djalonensis,1,0.00282743338823081
31,Total,299,3.17985960830501
