,Species,Frequency,Trees.HA,Proportion...
1,Parkia biglobosa,25,9.1,13.4
2,Anogeissus leiocarpus,11,4,5.9
3,Maranthes polyandra,1,0.4,0.5
4,Scacia nilotica,2,0.7,1.1
5,Ficus sur,4,1.5,2.2
6,Zanthoxylus zanthoxyloides,3,1.1,1.6
7,Vitex doniana,15,5.5,8.1
8,Lannea schimperianna,5,1.8,2.7
9,Daniella oliveri,25,9.1,13.4
10,Khaya senegalensis,18,6.5,9.7
11,Terminalia avicennoides,1,0.4,0.5
12,Elaeis guineesis,29,10.5,15.6
13,Afzelia africana,2,0.7,1.1
14,Anacardium occidentale,1,0.4,0.5
15,Kigelia africana,5,1.8,2.7
16,Prosopis africana,9,3.3,4.8
17,Gmelina aborea,1,0.4,0.5
18,Sterculia setigera,5,1.8,2.7
19,Acacia polyacanta,2,0.7,1.1
20,Pterocarpus erinaceus,1,0.4,0.5
21,Sarcocephalus latifolius,1,0.4,0.5
22,Pseuplocedela kotshyi,1,0.4,0.5
23,Melicia excelsa,1,0.4,0.5
24,Crosopteryx febrifuga,2,0.7,1.1
25,Ficus sycomorus,4,1.5,2.2
26,Acacia nilotica,1,0.4,0.5
27,Diospyros mespiliformis,1,0.4,0.5
28,Ficus trichopoda,1,0.4,0.5
29,Bukia africana,3,1.1,1.6
30,Strychinof spinosa,1,0.4,0.5
31,Stereosperimum kunthianum,1,0.4,0.5
32,Magifera indica,1,0.4,0.5
33,Ficus exaspirata,1,0.4,0.5
34,Lophira lanceolata,1,0.4,0.5
35,Vitellaria paradoxa,1,0.4,0.5
36,Total,186,67.6363636363636,100
