,RF,RD,RDo,IVI
Elaeis guineesis,6.5,15.6,21.5,43.5
Daniella oliveri,10.8,13.4,16.4,40.6
Parkia biglobosa,8.6,13.4,14.9,37
Khaya senegalensis,7.5,9.7,10.4,27.6
Vitex doniana,8.6,8.1,5.6,22.3
Prosopis africana,5.4,4.8,6.9,17.1
Anogeissus leiocarpus,4.3,5.9,4.1,14.3
Lannea schimperianna,5.4,2.7,2.4,10.5
Sterculia setigera,4.3,2.7,1.9,8.9
Kigelia africana,3.2,2.7,2,7.9
Ficus sycomorus,3.2,2.2,1,6.3
Ficus sur,3.2,2.2,0.8,6.2
Scacia nilotica,1.1,1.1,3.3,5.4
Bukia africana,2.2,1.6,1.1,4.9
Afzelia africana,2.2,1.1,0.9,4.1
Zanthoxylus zanthoxyloides,1.1,1.6,1.4,4
Acacia polyacanta,2.2,1.1,0.8,4
Crosopteryx febrifuga,2.2,1.1,0.3,3.6
Anacardium occidentale,1.1,0.5,0.8,2.4
Ficus trichopoda,1.1,0.5,0.6,2.2
Maranthes polyandra,1.1,0.5,0.4,2
Acacia nilotica,1.1,0.5,0.3,1.9
Vitellaria paradoxa,1.1,0.5,0.3,1.9
Lophira lanceolata,1.1,0.5,0.2,1.9
Melicia excelsa,1.1,0.5,0.2,1.9
Magifera indica,1.1,0.5,0.2,1.8
Gmelina aborea,1.1,0.5,0.2,1.8
Ficus exaspirata,1.1,0.5,0.2,1.8
Strychinof spinosa,1.1,0.5,0.2,1.8
Pterocarpus erinaceus,1.1,0.5,0.2,1.8
Terminalia avicennoides,1.1,0.5,0.2,1.8
Pseuplocedela kotshyi,1.1,0.5,0.1,1.7
Diospyros mespiliformis,1.1,0.5,0.1,1.7
Sarcocephalus latifolius,1.1,0.5,0.1,1.7
Stereosperimum kunthianum,1.1,0.5,0.1,1.7
Total,100,100,100,300
