RF,RD,RDo,IVI
6.5,15.6,21.5,43.5
10.8,13.4,16.4,40.6
8.6,13.4,14.9,37
7.5,9.7,10.4,27.6
8.6,8.1,5.6,22.3
5.4,4.8,6.9,17.1
4.3,5.9,4.1,14.3
5.4,2.7,2.4,10.5
4.3,2.7,1.9,8.9
3.2,2.7,2,7.9
3.2,2.2,1,6.3
3.2,2.2,0.8,6.2
1.1,1.1,3.3,5.4
2.2,1.6,1.1,4.9
2.2,1.1,0.9,4.1
1.1,1.6,1.4,4
2.2,1.1,0.8,4
2.2,1.1,0.3,3.6
1.1,0.5,0.8,2.4
1.1,0.5,0.6,2.2
1.1,0.5,0.4,2
1.1,0.5,0.3,1.9
1.1,0.5,0.3,1.9
1.1,0.5,0.2,1.9
1.1,0.5,0.2,1.9
1.1,0.5,0.2,1.8
1.1,0.5,0.2,1.8
1.1,0.5,0.2,1.8
1.1,0.5,0.2,1.8
1.1,0.5,0.2,1.8
1.1,0.5,0.2,1.8
1.1,0.5,0.1,1.7
1.1,0.5,0.1,1.7
1.1,0.5,0.1,1.7
1.1,0.5,0.1,1.7
100,100,100,300
