,Species,Frequency,Trees.HA,RF...,RD...,RDo...,IVI
1,Parkia biglobosa,25,9.1,13.4,13.4,14.9,41.8
2,Anogeissus leiocarpus,11,4,5.9,5.9,4.1,15.9
3,Maranthes polyandra,1,0.4,0.5,0.5,0.4,1.5
4,Scacia nilotica,2,0.7,1.1,1.1,3.3,5.4
5,Ficus sur,4,1.5,2.2,2.2,0.8,5.1
6,Zanthoxylus zanthoxyloides,3,1.1,1.6,1.6,1.4,4.6
7,Vitex doniana,15,5.5,8.1,8.1,5.6,21.8
8,Lannea schimperianna,5,1.8,2.7,2.7,2.4,7.8
9,Daniella oliveri,25,9.1,13.4,13.4,16.4,43.3
10,Khaya senegalensis,18,6.5,9.7,9.7,10.4,29.8
11,Terminalia avicennoides,1,0.4,0.5,0.5,0.2,1.2
12,Elaeis guineesis,29,10.5,15.6,15.6,21.5,52.6
13,Afzelia africana,2,0.7,1.1,1.1,0.9,3.1
14,Anacardium occidentale,1,0.4,0.5,0.5,0.8,1.9
15,Kigelia africana,5,1.8,2.7,2.7,2,7.3
16,Prosopis africana,9,3.3,4.8,4.8,6.9,16.5
17,Gmelina aborea,1,0.4,0.5,0.5,0.2,1.3
18,Sterculia setigera,5,1.8,2.7,2.7,1.9,7.3
19,Acacia polyacanta,2,0.7,1.1,1.1,0.8,2.9
20,Pterocarpus erinaceus,1,0.4,0.5,0.5,0.2,1.2
21,Sarcocephalus latifolius,1,0.4,0.5,0.5,0.1,1.2
22,Pseuplocedela kotshyi,1,0.4,0.5,0.5,0.1,1.2
23,Melicia excelsa,1,0.4,0.5,0.5,0.2,1.3
24,Crosopteryx febrifuga,2,0.7,1.1,1.1,0.3,2.5
25,Ficus sycomorus,4,1.5,2.2,2.2,1,5.3
26,Acacia nilotica,1,0.4,0.5,0.5,0.3,1.4
27,Diospyros mespiliformis,1,0.4,0.5,0.5,0.1,1.2
28,Ficus trichopoda,1,0.4,0.5,0.5,0.6,1.7
29,Bukia africana,3,1.1,1.6,1.6,1.1,4.3
30,Strychinof spinosa,1,0.4,0.5,0.5,0.2,1.2
31,Stereosperimum kunthianum,1,0.4,0.5,0.5,0.1,1.1
32,Magifera indica,1,0.4,0.5,0.5,0.2,1.3
33,Ficus exaspirata,1,0.4,0.5,0.5,0.2,1.3
34,Lophira lanceolata,1,0.4,0.5,0.5,0.2,1.3
35,Vitellaria paradoxa,1,0.4,0.5,0.5,0.3,1.3
36,Total,186,67.6363636363636,100,100,100,300
