,S.N,SPECIES,DIAMETER,HEIGHT,PLOT
1,1,Gmelina arborea,44.3,22,P1
3,3,Gmelina arborea,45,25.5,P1
4,4,Gmelina arborea,42.6,25,P1
5,5,Gmelina arborea,44,19.5,P1
6,6,Gmelina arborea,35.2,25.5,P1
8,8,Gmelina arborea,36.8,18.6,P1
9,9,Gmelina arborea,25,14.6,P1
10,10,Gmelina arborea,21.4,17.7,P1
11,11,Pterocarpus santeloides,48.6,26.2,P1
13,13,Gmelina arborea,27.6,23,P1
14,14,Gmelina arborea,38.1,23.2,P1
15,15,Gmelina arborea,54.5,28.9,P1
16,16,Ficus sur,17.1,8.1,P1
18,18,Anthocleista djalonensis ,23.5,12,P1
19,19,Anthocleista djalonensis ,35.7,18.3,P1
20,20,Gmelina arborea,40.9,20.1,P1
21,21,Gmelina arborea,22,16.1,P1
23,23,Gmelina arborea,35.6,23,P1
24,24,Gmelina arborea,45.1,25.1,P1
25,25,Gmelina arborea,42.8,19.3,P1
26,26,Gmelina arborea,21.6,10.3,P1
28,28,Gmelina arborea,31.5,22.4,P1
29,29,Gmelina arborea,23.2,12.2,P1
30,30,Gmelina arborea,42.8,18.5,P1
31,31,Vitex doniana,22,7.2,P1
33,33,Anthocleista djalonensis ,21.4,10,P1
34,34,Gmelina arborea,38.3,20,P1
35,35,Gmelina arborea,31.4,17.4,P1
36,36,Gmelina arborea,22.3,12.1,P1
38,38,Prosopis africana,26.4,12.4,P1
39,39,Gmelina arborea,31,21,P1
40,40,Gmelina arborea,25.8,20,P1
41,41,Gmelina arborea,25.5,12.2,P1
43,43,Pterocarpus santeloides,45,21,P1
44,44,Pterocarpus santeloides,48.3,27.4,P1
45,45,Gmelina arborea,25.6,18.2,P1
46,46,Gmelina arborea,36.5,24.2,P1
48,48,Gmelina arborea,22.8,17.2,P1
49,49,Gmelina arborea,36.2,21.3,P1
50,50,Gmelina arborea,44.3,24,P1
51,51,Gmelina arborea,34.9,19.2,P1
53,53,Gmelina arborea,40.1,22.3,P1
54,54,Gmelina arborea,23,13.3,P1
55,55,Gmelina arborea,30.9,16,P1
56,56,Gmelina arborea,51.2,29,P1
58,58,Gmelina arborea,40.8,21.4,P1
59,59,Gmelina arborea,37,13.9,P1
60,60,Gmelina arborea,30.9,21,P1
61,61,Gmelina arborea,26.2,20.2,P1
63,63,Gmelina arborea,20.9,11.9,P1
64,64,Gmelina arborea,30.3,22.1,P1
65,65,Gmelina arborea,72.2,35.1,P1
66,66,Gmelina arborea,49.6,25.3,P2
68,68,Gmelina arborea,51.8,27.1,P2
69,69,Crossopteryx febrifuga ,19.4,9.9,P2
70,70,Gmelina arborea,70,34.9,P2
71,71,Khaya Senegalensis,24.2,10.2,P2
73,73,Gmelina arborea,80,37.4,P2
74,74,Gmelina arborea,49.9,26.1,P2
75,75,Gmelina arborea,22.4,12,P2
76,76,Gmelina arborea,22.9,13.5,P2
78,78,Gmelina arborea,29.9,10.8,P2
79,79,Gmelina arborea,20.6,10.9,P2
80,80,Gmelina arborea,31.8,11.2,P2
81,81,Vitex doniana,25,8.7,P2
83,83,Vitex doniana,28.4,9,P2
84,84,Gmelina arborea,40.3,20.5,P2
85,85,Gmelina arborea,42.4,19.2,P2
86,86,Gmelina arborea,29.5,12,P2
88,88,Gmelina arborea,35.4,18,P2
89,89,Gmelina arborea,28.4,17,P2
90,90,Gmelina arborea,31.2,17,P2
91,91,Gmelina arborea,31.5,17.3,P2
93,93,Gmelina arborea,38,23,P2
94,94,Gmelina arborea,44.5,19.4,P2
95,95,Gmelina arborea,34.4,20.1,P2
96,96,Gmelina arborea,33.9,24.9,P2
98,98,Gmelina arborea,34.8,23,P2
99,99,Albizia zygia,25.4,11.2,P2
100,100,Gmelina arborea,26.9,11.4,P2
101,101,Gmelina arborea,38.3,21.9,P2
103,103,Gmelina arborea,58,28.3,P2
104,104,Gmelina arborea,51,27.5,P2
105,105,Gmelina arborea,43.8,18,P2
106,106,Gmelina arborea,41,18.7,P2
108,108,Gmelina arborea,43.3,23,P2
109,109,Gmelina arborea,43.9,20.9,P2
110,110,Gmelina arborea,40.3,22,P2
111,111,Gmelina arborea,34.9,16,P2
113,113,Gmelina arborea,34,16,P2
114,114,Gmelina arborea,37.7,17.3,P2
115,115,Gmelina arborea,39.9,17.3,P2
116,116,Gmelina arborea,26.4,12.2,P2
118,118,Gmelina arborea,41.8,20.1,P2
119,119,Gmelina arborea,34.4,26.9,P2
120,120,Gmelina arborea,33.5,19,P2
121,121,Gmelina arborea,60.3,30,P2
