,S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT,BA,AGB.kg,AGB.tons,AGC.kg,AGC.tons
1,1,Khaya senegalensis,15.08593253,18.1,14.35,P1,0.648,FOR,1,0.017874512,148.6549645,0.148654964,69.86783329,0.069867833
2,2,Daniella oliveri,10.34373011,16,16.8,P1,0.533,FOR,1,0.008403191,52.14009034,0.05214009,24.50584246,0.024505842
3,3,Khaya senegalensis,15.21323997,26,17.5,P1,0.648,FOR,1,0.018177465,215.1904763,0.215190476,101.1395239,0.101139524
4,4,Khaya senegalensis,15.2768937,17.1,18.2,P1,0.648,FOR,1,0.018329896,144.1295081,0.144129508,67.7408688,0.067740869
5,5,Khaya senegalensis,16.13621897,17.5,22.6,P1,0.648,FOR,1,0.020450006,164.0387599,0.16403876,77.09821715,0.077098217
6,6,Daniella oliveri,16.70910248,14.4,22.7,P1,0.533,FOR,1,0.021927854,119.9684666,0.119968467,56.38517931,0.056385179
7,7,Daniella oliveri,13.14449395,14,15.2,P1,0.533,FOR,1,0.01356993,73.0650724,0.073065072,34.34058403,0.034340584
8,8,Khaya senegalensis,16.45448759,16,20.3,P1,0.648,FOR,1,0.021264668,156.1422555,0.156142256,73.38686009,0.07338686
9,9,Khaya senegalensis,17.44112031,16.1,21.3,P1,0.648,FOR,1,0.023891237,176.0060152,0.176006015,82.72282715,0.082722827
10,10,Daniella oliveri,17.88669637,16.1,25.2,P1,0.533,FOR,1,0.02512755,152.7923809,0.152792381,71.81241903,0.071812419
11,11,Khaya senegalensis,16.86823679,15.7,24.9,P1,0.648,FOR,1,0.022347516,160.8978954,0.160897895,75.62201082,0.075622011
12,12,Daniella oliveri,11.17122852,11.5,14.32,P1,0.533,FOR,1,0.009801482,43.89700995,0.04389701,20.63159468,0.020631595
13,13,Daniella oliveri,11.04392107,11.4,17.3,P1,0.533,FOR,1,0.009579359,42.56147058,0.042561471,20.00389117,0.020003891
14,14,Khaya senegalensis,10.08911521,16,11.85,P1,0.648,FOR,1,0.007994587,60.09724839,0.060097248,28.24570674,0.028245707
15,15,Khaya senegalensis,12.41247613,11.3,16.3,P1,0.648,FOR,1,0.012100595,64.13992961,0.06413993,30.14576692,0.030145767
16,16,Khaya senegalensis,8.593252705,10.3,10.05,P1,0.648,FOR,1,0.005799694,28.58360516,0.028583605,13.43429443,0.013434294
17,17,Daniella oliveri,8.625079567,10.3,10.65,P1,0.533,FOR,1,0.005842734,23.79247067,0.023792471,11.18246121,0.011182461
18,18,Khaya senegalensis,9.293443666,44.7,16.05,P1,0.648,FOR,1,0.006783334,139.5382506,0.139538251,65.58297776,0.065582978
19,19,Azdirachta indica,8.274984087,13,12.5,P1,0.57,FOR,1,0.005378042,29.40621619,0.029406216,13.82092161,0.013820922
20,20,Vitex donina,9.548058561,18,19,P1,0.4,FOR,1,0.007160116,37.80644181,0.037806442,17.76902765,0.017769028
21,21,Combretum nigricans,11.13940165,37,15,P1,0.796,FOR,1,0.009745713,201.9972507,0.201997251,94.93870783,0.094938708
22,22,Albizia zygia,6.683640993,32,10.3,P1,0.804,FOR,1,0.003508457,65.31259586,0.065312596,30.69692006,0.03069692
23,23,Eucalyptus calmadalutases,11.45767027,30,15.9,P1,0.73,FOR,1,0.010310566,159.8249351,0.159824935,75.1177195,0.07511772
24,24,Ficus sycomorus,13.04901337,36,16.1,P1,0.413,FOR,1,0.013373505,141.1695984,0.141169598,66.34971124,0.066349711
25,25,Stereospermum kunthianum,12.09420751,32.3,16.85,P1,0.6,FOR,1,0.011488008,157.6389241,0.157638924,74.09029434,0.074090294
26,26,Senna siamea,10.82113304,19.4,18.55,P1,0.57,FOR,1,0.009196771,73.37426998,0.07337427,34.48590689,0.034485907
27,27,Khaya senegalensis,9.86632718,18.5,13.7,P1,0.648,FOR,1,0.007645412,66.29235365,0.066292354,31.15740621,0.031157406
28,28,Khaya senegalensis,8.274984087,16.1,13.1,P1,0.648,FOR,1,0.005378042,41.06348793,0.041063488,19.29983933,0.019299839
29,29,Khaya senegalensis,10.82113304,14.5,14.9,P1,0.648,FOR,1,0.009196771,62.59041365,0.062590414,29.41749442,0.029417494
30,30,Daniella oliveri,7.32017823,13.7,14,P1,0.533,FOR,1,0.004208557,22.81846179,0.022818462,10.72467704,0.010724677
31,31,Daniella oliveri,10.50286442,19.6,12.25,P1,0.533,FOR,1,0.00866374,65.48404405,0.065484044,30.7775007,0.030777501
32,32,Khaya senegalensis,8.274984087,16,13.4,P1,0.648,FOR,1,0.005378042,40.81453788,0.040814538,19.1828328,0.019182833
33,33,Khaya senegalensis,9.86632718,20,12.85,P1,0.648,FOR,1,0.007645412,71.53343948,0.071533439,33.62071655,0.033620717
34,34,Azdirachta indica,10.82113304,19.5,11.15,P1,0.57,FOR,1,0.009196771,73.74338785,0.073743388,34.65939229,0.034659392
35,35,Vitex donina,9.548058561,16,15.35,P1,0.4,FOR,1,0.007160116,33.70085687,0.033700857,15.83940273,0.015839403
36,36,Khaya senegalensis,9.229789943,14,10.55,P1,0.648,FOR,1,0.00669073,44.33918029,0.04433918,20.83941474,0.020839415
37,37,Khaya senegalensis,14.00381922,18,15.2,P1,0.648,FOR,1,0.015402204,127.8590268,0.127859027,60.0937426,0.060093743
38,38,Khaya senegalensis,9.86632718,17,13.65,P1,0.648,FOR,1,0.007645412,61.04104765,0.061041048,28.6892924,0.028689292
39,39,Combretum nigricans,8.911521324,16,18.3,P1,0.796,FOR,1,0.006237256,57.65451642,0.057654516,27.09762272,0.027097623
40,40,Khaya senegalensis,10.1845958,19,17.65,P1,0.648,FOR,1,0.00814662,72.39058355,0.072390584,34.02357427,0.034023574
41,41,Daniella oliveri,8.593252705,20,11.6,P1,0.533,FOR,1,0.005799694,45.1420938,0.045142094,21.21678409,0.021216784
42,42,Albizia zygia,9.86632718,16,12.75,P1,0.804,FOR,1,0.007645412,71.01623312,0.071016233,33.37762957,0.03337763
