S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
1,Khaya senegalensis,15.08593253,18.1,14.35,P1,0.648,FOR,1,0.017874512399554,148.654964455059,0.148654964455059,59.4619857820235,0.0594619857820235,69.8678332938776,0.0698678332938776,23.7847943128094,0.0237847943128094
2,Daniella oliveri,10.34373011,16,16.8,P1,0.533,FOR,1,0.00840319113798616,52.1400903448539,0.0521400903448539,20.8560361379415,0.0208560361379415,24.5058424620813,0.0245058424620813,8.34241445517662,0.00834241445517662
3,Khaya senegalensis,15.21323997,26,17.5,P1,0.648,FOR,1,0.0181774648252027,215.190476277557,0.215190476277557,86.0761905110226,0.0860761905110227,101.139523850452,0.101139523850452,34.4304762044091,0.0344304762044091
4,Khaya senegalensis,15.2768937,17.1,18.2,P1,0.648,FOR,1,0.0183298957439815,144.129508094971,0.144129508094971,57.6518032379884,0.0576518032379884,67.7408688046364,0.0677408688046364,23.0607212951954,0.0230607212951954
5,Khaya senegalensis,16.13621897,17.5,22.6,P1,0.648,FOR,1,0.0204500059493477,164.03875988851,0.16403875988851,65.615503955404,0.065615503955404,77.0982171475997,0.0770982171475997,26.2462015821616,0.0262462015821616
6,Daniella oliveri,16.70910248,14.4,22.7,P1,0.533,FOR,1,0.0219278537838074,119.968466610019,0.119968466610019,47.9873866440076,0.0479873866440076,56.3851793067089,0.056385179306709,19.194954657603,0.019194954657603
7,Daniella oliveri,13.14449395,14,15.2,P1,0.533,FOR,1,0.0135699304907722,73.0650723998757,0.0730650723998757,29.2260289599503,0.0292260289599503,34.3405840279416,0.0343405840279416,11.6904115839801,0.0116904115839801
8,Khaya senegalensis,16.45448759,16,20.3,P1,0.648,FOR,1,0.0212646679856131,156.142255503972,0.156142255503972,62.4569022015889,0.0624569022015889,73.386860086867,0.073386860086867,24.9827608806356,0.0249827608806356
9,Khaya senegalensis,17.44112031,16.1,21.3,P1,0.648,FOR,1,0.0238912370359316,176.006015217652,0.176006015217652,70.4024060870607,0.0704024060870607,82.7228271522963,0.0827228271522963,28.1609624348243,0.0281609624348243
10,Daniella oliveri,17.88669637,16.1,25.2,P1,0.533,FOR,1,0.0251275502991951,152.792380912955,0.152792380912955,61.116952365182,0.061116952365182,71.8124190290889,0.0718124190290889,24.4467809460728,0.0244467809460728
11,Khaya senegalensis,16.86823679,15.7,24.9,P1,0.648,FOR,1,0.0223475161119579,160.897895371895,0.160897895371895,64.3591581487581,0.0643591581487581,75.6220108247907,0.0756220108247907,25.7436632595032,0.0257436632595032
12,Daniella oliveri,11.17122852,11.5,14.32,P1,0.533,FOR,1,0.00980148214545279,43.897009953442,0.043897009953442,17.5588039813768,0.0175588039813768,20.6315946781177,0.0206315946781177,7.02352159255072,0.00702352159255072
13,Daniella oliveri,11.04392107,11.4,17.3,P1,0.533,FOR,1,0.00957935944612525,42.5614705794426,0.0425614705794426,17.024588231777,0.017024588231777,20.003891172338,0.020003891172338,6.80983529271082,0.00680983529271082
14,Khaya senegalensis,10.08911521,16,11.85,P1,0.648,FOR,1,0.00799458720407761,60.0972483898421,0.0600972483898421,24.0388993559369,0.0240388993559369,28.2457067432258,0.0282457067432258,9.61555974237474,0.00961555974237474
15,Khaya senegalensis,12.41247613,11.3,16.3,P1,0.648,FOR,1,0.0121005952348006,64.139929610948,0.064139929610948,25.6559718443792,0.0256559718443792,30.1457669171456,0.0301457669171456,10.2623887377517,0.0102623887377517
16,Khaya senegalensis,8.593252705,10.3,10.05,P1,0.648,FOR,1,0.00579969357355686,28.583605162556,0.028583605162556,11.4334420650224,0.0114334420650224,13.4342944264013,0.0134342944264013,4.57337682600896,0.00457337682600896
17,Daniella oliveri,8.625079567,10.3,10.65,P1,0.533,FOR,1,0.00584273382370908,23.7924706685374,0.0237924706685374,9.51698826741496,0.00951698826741496,11.1824612142126,0.0111824612142126,3.80679530696598,0.00380679530696598
