,S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT
1,1,Khaya senegalensis,15.08593253,18.1,14.35,P1,0.648,FOR,1
2,2,Daniella oliveri,10.34373011,16,16.8,P1,0.533,FOR,1
4,4,Khaya senegalensis,15.2768937,17.1,18.2,P1,0.648,FOR,1
6,6,Daniella oliveri,16.70910248,14.4,22.7,P1,0.533,FOR,1
7,7,Daniella oliveri,13.14449395,14,15.2,P1,0.533,FOR,1
8,8,Khaya senegalensis,16.45448759,16,20.3,P1,0.648,FOR,1
9,9,Khaya senegalensis,17.44112031,16.1,21.3,P1,0.648,FOR,1
10,10,Daniella oliveri,17.88669637,16.1,25.2,P1,0.533,FOR,1
11,11,Khaya senegalensis,16.86823679,15.7,24.9,P1,0.648,FOR,1
13,13,Daniella oliveri,11.04392107,11.4,17.3,P1,0.533,FOR,1
15,15,Khaya senegalensis,12.41247613,11.3,16.3,P1,0.648,FOR,1
16,16,Khaya senegalensis,8.593252705,10.3,10.05,P1,0.648,FOR,1
17,17,Daniella oliveri,8.625079567,10.3,10.65,P1,0.533,FOR,1
18,18,Khaya senegalensis,9.293443666,44.7,16.05,P1,0.648,FOR,1
19,19,Azdirachta indica,8.274984087,13,12.5,P1,0.57,FOR,1
20,20,Vitex donina,9.548058561,18,19,P1,0.4,FOR,1
22,22,Albizia zygia,6.683640993,32,10.3,P1,0.804,FOR,1
24,24,Ficus sycomorus,13.04901337,36,16.1,P1,0.413,FOR,1
25,25,Stereospermum kunthianum,12.09420751,32.3,16.85,P1,0.6,FOR,1
26,26,Senna siamea,10.82113304,19.4,18.55,P1,0.57,FOR,1
27,27,Khaya senegalensis,9.86632718,18.5,13.7,P1,0.648,FOR,1
28,28,Khaya senegalensis,8.274984087,16.1,13.1,P1,0.648,FOR,1
29,29,Khaya senegalensis,10.82113304,14.5,14.9,P1,0.648,FOR,1
31,31,Daniella oliveri,10.50286442,19.6,12.25,P1,0.533,FOR,1
33,33,Khaya senegalensis,9.86632718,20,12.85,P1,0.648,FOR,1
34,34,Azdirachta indica,10.82113304,19.5,11.15,P1,0.57,FOR,1
35,35,Vitex donina,9.548058561,16,15.35,P1,0.4,FOR,1
36,36,Khaya senegalensis,9.229789943,14,10.55,P1,0.648,FOR,1
37,37,Khaya senegalensis,14.00381922,18,15.2,P1,0.648,FOR,1
38,38,Khaya senegalensis,9.86632718,17,13.65,P1,0.648,FOR,1
40,40,Khaya senegalensis,10.1845958,19,17.65,P1,0.648,FOR,1
42,42,Albizia zygia,9.86632718,16,12.75,P1,0.804,FOR,1
43,43,Daniella oliveri,8.274984087,15,13,P1,0.533,FOR,1
44,44,Azdirachta indica,9.548058561,19,15.34,P1,0.57,FOR,1
45,45,Khaya senegalensis,9.229789943,14,12.5,P1,0.648,FOR,1
46,46,Khaya senegalensis,9.86632718,19,12.4,P1,0.648,FOR,1
47,47,Vitex donina,10.1845958,18,15.8,P1,0.4,FOR,1
49,49,Khaya senegalensis,7.32017823,18.9,13.2,P1,0.648,FOR,1
51,51,Daniella oliveri,6.683640993,14,9.4,P1,0.533,FOR,1
52,52,Azdirachta indica,10.50286442,18,14,P1,0.57,FOR,1
53,53,Albizia zygia,12.09420751,21,15.75,P1,0.804,FOR,1
54,54,Ficus sycomorus,9.229789943,15,16.2,P1,0.413,FOR,1
55,55,Khaya senegalensis,8.274984087,18,13.7,P1,0.648,FOR,1
56,56,Senna siamea,10.50286442,19,15.3,P1,0.57,FOR,1
58,58,Stereospermum kunthianum,8.911521324,12,14,P1,0.6,FOR,1
60,60,Daniella oliveri,8.593252705,18,17.6,P1,0.533,FOR,1
61,61,Khaya senegalensis,1.495862508,14.4,6.9,P1,0.648,FOR,1
62,62,Khaya senegalensis,10.34373011,16.1,11.55,P1,0.648,FOR,1
63,63,Daniella oliveri,15.21323997,17.5,16.3,P1,0.533,FOR,1
64,64,Khaya senegalensis,15.2768937,26,17.4,P1,0.648,FOR,1
65,65,Daniella oliveri,16.13621897,17.1,24.6,P1,0.533,FOR,1
67,67,Daniella oliveri,17.44112031,16,23.1,P1,0.533,FOR,1
69,69,Eucalyptus calmadalutases,19.12794398,21,26.4,P1,0.73,FOR,1
70,70,Khaya senegalensis,16.00891152,17.5,20.1,P1,0.648,FOR,1
71,71,Khaya senegalensis,13.14449395,26,15.15,P1,0.648,FOR,1
72,72,Khaya senegalensis,16.04073838,14,23.6,P1,0.648,FOR,1
73,73,Azdirachta indica,17.09102482,18.1,22.7,P1,0.57,FOR,1
74,74,Vitex donina,13.46276257,21.3,14.9,P1,0.4,FOR,1
76,76,Khaya senegalensis,12.66709102,17.6,17.1,P1,0.648,FOR,1
