Species,Frequency,Trees.HA,RF...,RD...,RDo...,IVI
Khaya senegalensis,35,12.7,46.1,46.1,46.9,139
Daniella oliveri,18,6.5,23.7,23.7,25.7,73.1
Azdirachta indica,5,1.8,6.6,6.6,6.2,19.3
Vitex donina,4,1.5,5.3,5.3,4.3,14.8
Combretum nigricans,2,0.7,2.6,2.6,1.9,7.1
Albizia zygia,4,1.5,5.3,5.3,4.2,14.7
Eucalyptus calmadalutases,2,0.7,2.6,2.6,4.5,9.8
Ficus sycomorus,2,0.7,2.6,2.6,2.3,7.6
Stereospermum kunthianum,2,0.7,2.6,2.6,2.1,7.3
Senna siamea,2,0.7,2.6,2.6,2.1,7.3
Total,76,27.6363636363636,100,100,100,300
