Tree SNO,Tree PNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,Plot
1,1,Anacadium occidentale,13.8,12,13.8,13.5,P1
2,2,Daniella oliveri,31.3,27.1,26.8,18.75,P1
3,3,Azadirachta indica,8.9,7,13.4,9.5,P1
4,4,Gmelina arborea,12.7,8.1,14,9.65,P1
5,5,Gmelina arborea,10.2,8.5,13,10.05,P1
6,6,Gmelina arborea,10.2,8.8,12.6,10.7,P1
7,7,Gmelina arborea,6.7,5.3,10.7,5.45,P1
8,8,Albizia zygia,5.7,4.6,7.3,6.2,P1
9,9,Gmelina arborea,7.4,6,10.1,7.75,P1
10,10,Gmelina arborea,7.6,6.4,8.1,8.7,P1
11,11,Gmelina arborea,13.4,11,14.9,13.2,P1
12,12,Gmelina arborea,8.8,7.3,10.8,6.25,P1
13,13,Gmelina arborea,8.7,7.5,12,8.15,P1
14,14,Gmelina arborea,6.4,4.9,6.2,6.55,P1
15,15,Gmelina arborea,13.4,9.2,12.9,7.1,P1
16,16,Gmelina arborea,13.4,7.3,12.7,8.85,P1
17,17,Albizia zygia,9.2,7.3,15,8.75,P1
18,18,Azadirachta indica,8,6.4,11,9.15,P1
19,19,Azadirachta indica,7,4.9,7,5.55,P1
20,20,Gmelina arborea,14.5,11.6,15.1,7.55,P1
21,21,Crossopteryx febrifuga,6.4,4.8,8,5.45,P1
22,22,Gmelina arborea,9.2,7,14.3,7,P1
23,23,Azadirachta indica,9.9,6.7,10,9.4,P1
24,24,Albizia zygia,7.8,7,10.5,7.55,P1
25,25,Azadirachta indica,9.5,8.6,13.9,10.5,P1
26,26,Azadirachta indica,10.5,9.3,15.1,10.2,P1
27,27,Albizia zygia,7.5,5.9,10.6,5.95,P1
28,28,Syzygium guineenses,9.5,5.9,10.2,7.9,P1
29,29,Khaya senegalensis,43.1,39.5,36.7,22.6,P1
30,30,Lophira lanceolata,6.4,4.8,8.2,3.2,P1
31,31,Lophira lanceolata,6.4,5.1,8.9,3.9,P1
32,32,Hannoa undulata,7.3,6,5.6,4.35,P1
33,1,Crossopteryx febrifuga,8.2,6.4,8,5.75,P2
34,2,Detarium microcarpum,9.7,8.8,10.5,4.95,P2
35,3,Terminalia avicennoides,7.3,7.1,10.7,6.45,P2
36,4,Lophira lanceolata,6.4,5.4,6.8,6.15,P2
37,5,Hannoa undulata,9.2,8.1,8.3,5.95,P2
38,6,Hannoa undulata,8.9,7.5,12.8,6.9,P2
39,7,Detarium microcarpum,11.5,11.1,13.5,8.1,P2
40,8,Burkea africana,7.1,5.9,9,3.55,P2
41,9,Burkea africana,8.4,7.5,8.9,8,P2
42,10,Daniella oliveri,21.6,19.7,23.6,13.15,P2
43,11,Gmelina arborea,12.1,10.8,13.4,10,P2
44,12,Daniella oliveri,11.6,9.7,11.5,6.85,P2
45,13,Daniella oliveri,11.7,10.6,15.8,5.9,P2
46,14,Daniella oliveri,7.3,5.9,7.8,4.55,P2
47,15,Hannoa undulata,16.9,14.2,13.2,8.75,P2
48,16,Gmelina arborea,17.2,15.1,13.5,12.1,P2
49,17,Gmelina arborea,16.7,14.6,17.5,9.15,P2
50,18,Azadirachta indica,16.9,14.5,16.2,12.7,P2
51,19,Gmelina arborea,25.3,24.5,21.2,16.3,P2
52,20,Anacadium occidentale,21,17.5,15.4,15.4,P2
53,21,Hannoa undulata,11.5,11.3,9.9,13.05,P2
54,22,Anacadium occidentale,15.3,14,12.9,10.85,P2
55,23,Gmelina arborea,11.3,8.8,11,5.75,P2
56,24,Burkea africana,12.9,11.1,13.8,9.4,P2
57,25,Burkea africana,8.9,7.8,10.2,7.3,P2
58,26,Terminalia schimperiana,8.3,8,9.8,5.25,P2
59,27,Lophira lanceolata,6.4,6,9,3.8,P2
60,28,Parinari curitellifolia,7,5.7,6.8,4,P2
61,1,Hannoa undulata,7.9,6.5,6,2.9,P3
62,2,Daniella oliveri,7.1,6.5,9.3,5.85,P3
63,3,Vitellaria paradoxa,6.5,6.3,8.2,7.2,P3
64,4,Crossopteryx febrifuga,11,10.2,12.3,9.35,P3
65,5,Ptericarpus eriaceus,24.9,20.7,22.8,13.7,P3
66,6,Daniella oliveri,23.9,20.7,21,14.3,P3
67,7,Azadirachta indica,10.8,9.2,10.2,10.8,P3
68,8,Daniella oliveri,22,19.4,17,13.9,P3
69,9,Azadirachta indica,15.2,12.7,13.8,9.4,P3
70,10,Azadirachta indica,14,12.6,14.5,12.15,P3
71,11,Azadirachta indica,8.6,8,7.5,7.35,P3
72,12,Daniella oliveri,19.9,18.5,19,12.6,P3
73,13,Azadirachta indica,13.8,11.6,14.5,7.3,P3
74,14,Azadirachta indica,10.3,10.9,13.7,7.35,P3
75,15,Azadirachta indica,14.8,11.6,14.5,10.95,P3
76,16,Daniella oliveri,20.3,18.5,20,11.9,P3
77,17,Azadirachta indica,10.8,9.9,12,7.85,P3
78,18,Hannoa undulata,10.6,9.8,7.9,5.75,P3
79,19,Daniella oliveri,8.3,7.6,11,4.25,P3
80,20,Burkea africana,6.4,4.8,9.5,3.85,P3
81,21,Azadirachta indica,9.9,8,11.3,8.5,P3
82,22,Azadirachta indica,15.9,15.1,18.2,7.5,P3
83,23,Gmelina arborea,23.9,16.3,17,13.9,P3
84,24,Daniella oliveri,27.1,24.5,24.3,12.6,P3
85,25,Crossopteryx febrifuga,14.4,12.7,14.9,6,P3
86,26,Daniella oliveri,25.8,23.2,24,12.8,P3
87,27,Azadirachta indica,14,12.3,10.1,11.9,P3
88,28,Daniella oliveri,20.8,17.8,16.5,9.5,P3
89,29,Azadirachta indica,21.2,18.8,16.6,15.85,P3
90,30,Hannoa undulata,15,13.4,13.6,9.3,P3
91,31,Azadirachta indica,14.6,13.2,14.9,12.8,P3
92,32,Daniella oliveri,17.8,15,16.8,7.15,P3
93,1,Azadirachta indica,12.1,10.3,12.5,7.75,P4
94,2,Anacadium occidentale,32.8,30.6,27.3,18.45,P4
95,3,Mangifera indica,11.5,9.4,13.1,7.15,P4
96,4,Azadirachta indica,22,20.4,18.2,14.45,P4
97,5,Azadirachta indica,14.6,13.5,13.3,9.05,P4
98,6,Azadirachta indica,14,12.1,10,7.85,P4
99,7,Azadirachta indica,17.5,15.6,14.5,10.5,P4
100,8,Mangifera indica,38.8,22.9,19.7,19.15,P4
101,9,Mangifera indica,38.8,23.9,21.4,16.15,P4
102,10,Mangifera indica,29,28.3,25.9,16.6,P4
103,11,Mangifera indica,50,41.1,38.3,24.3,P4
104,12,Gmelina arborea,11.5,9.4,12,5.8,P4
105,13,Azadirachta indica,22.3,12.4,9.4,10.4,P4
106,14,Elaeis guineensis,20.7,15,17.1,6.55,P4
107,15,Anacadium occidentale,19.1,17.2,16.7,11.1,P4
108,16,Anacadium occidentale,31.2,28.3,23.6,16.75,P4
109,17,Azadirachta indica,16.2,13.8,13,8,P4
110,18,Azadirachta indica,21.5,12.4,14,9.15,P4
111,19,Azadirachta indica,21.5,13.2,14.5,9.55,P4
112,20,Azadirachta indica,34.4,21.3,19.5,12.4,P4
113,21,Anacadium occidentale,34.4,22,21.3,13.1,P4
114,22,Azadirachta indica,15.3,13.7,13,11.55,P4
115,23,Mangifera indica,39.8,11.1,17.4,10.8,P4
116,24,Mangifera indica,39.8,20.7,20,14.95,P4
117,25,Albizia zygia,10.5,8.3,9.8,7.45,P4
118,26,Syzygium guineenses,14.5,12.6,13.9,5.6,P4
119,27,Albizia zygia,12.4,9.1,8.4,9.95,P4
120,28,Ficus sycomorus,24.2,12.1,12.1,11.75,P4
121,29,Ficus sycomorus,24.2,10.3,11.1,12.5,P4
122,30,Combretum nigricans,10.3,9.2,12,7.25,P4
123,1,Syzygium guineenses,24.2,20.7,19.3,14.4,P5
124,2,Syzygium guineenses,9.4,8.2,11.1,7.85,P5
125,3,Syzygium guineenses,23.9,23.6,21.3,13.7,P5
126,4,Syzygium guineenses,7.5,6.8,9.5,4.65,P5
127,5,Mangifera indica,12.4,10.2,14.6,2.75,P5
128,6,Elaeis guineensis,14.3,11.5,11.6,8.85,P5
129,7,Syzygium guineenses,10,7.5,11,5.7,P5
130,8,Syzygium guineenses,7.5,5.9,11.2,5.35,P5
131,9,Elaeis guineensis,15.9,13.4,13.3,10.5,P5
132,10,Gmelina arborea,10.3,8.4,13.6,6.6,P5
133,11,Albizia zygia,11.1,9.4,12,8.1,P5
134,12,Azadirachta indica,14,12.1,10,9.3,P5
135,13,Ficus sycomorus,22,10.2,13.2,12.1,P5
136,14,Albizia zygia,8.1,6.6,8.5,5.75,P5
137,15,Syzygium guineenses,10.3,7.6,10,9,P5
138,16,Syzygium guineenses,11.8,9.9,14,6.4,P5
139,17,Syzygium guineenses,12.4,9.9,12.9,7.35,P5
140,18,Syzygium guineenses,12.4,7.6,8.5,6.75,P5
141,19,Gmelina arborea,7.6,6.3,9,4.9,P5
142,20,Gmelina arborea,9.9,7,12.2,7.45,P5
143,21,Terminalia mentalis,12.1,11.5,15.1,10.5,P5
144,22,Gmelina arborea,9.7,8.1,11,7.1,P5
145,23,Gmelina arborea,9.4,7.9,11,5.65,P5
146,24,Maranthes polyandra,9.2,7.5,9.2,6.4,P5
147,25,Gmelina arborea,9.8,8.3,9,5.85,P5
148,26,Hannoa undulata,12.1,11.5,13,6.75,P5
149,27,Daniella oliveri,15,13,16.2,7.7,P5
150,28,Daniella oliveri,13,11.1,14.5,7.05,P5
151,29,Detarium microcarpum,8.6,8,7.8,5.5,P5
152,1,Daniella oliveri,28,23.2,25.2,14.8,P6
153,2,Gmelina arborea,8.9,7.2,9,8.2,P6
154,3,Detarium microcarpum,12.3,7.7,8.1,7.3,P6
155,4,Gmelina arborea,14.6,11.6,14,8.5,P6
