,Tree.SNO,Tree.PNO,SPECIES,DB.cm.,DIAMETER,HEIGHT,CROWN.DIAMETER,Plot
1,1,1,Anacadium occidentale,13.8,12,13.8,13.5,P1
2,2,2,Daniella oliveri,31.3,27.1,26.8,18.75,P1
3,3,3,Azadirachta indica,8.9,7,13.4,9.5,P1
5,5,5,Gmelina arborea,10.2,8.5,13,10.05,P1
6,6,6,Gmelina arborea,10.2,8.8,12.6,10.7,P1
7,7,7,Gmelina arborea,6.7,5.3,10.7,5.45,P1
9,9,9,Gmelina arborea,7.4,6,10.1,7.75,P1
10,10,10,Gmelina arborea,7.6,6.4,8.1,8.7,P1
11,11,11,Gmelina arborea,13.4,11,14.9,13.2,P1
13,13,13,Gmelina arborea,8.7,7.5,12,8.15,P1
14,14,14,Gmelina arborea,6.4,4.9,6.2,6.55,P1
15,15,15,Gmelina arborea,13.4,9.2,12.9,7.1,P1
17,17,17,Albizia zygia,9.2,7.3,15,8.75,P1
18,18,18,Azadirachta indica,8,6.4,11,9.15,P1
19,19,19,Azadirachta indica,7,4.9,7,5.55,P1
21,21,21,Crossopteryx febrifuga,6.4,4.8,8,5.45,P1
22,22,22,Gmelina arborea,9.2,7,14.3,7,P1
23,23,23,Azadirachta indica,9.9,6.7,10,9.4,P1
25,25,25,Azadirachta indica,9.5,8.6,13.9,10.5,P1
26,26,26,Azadirachta indica,10.5,9.3,15.1,10.2,P1
27,27,27,Albizia zygia,7.5,5.9,10.6,5.95,P1
29,29,29,Khaya senegalensis,43.1,39.5,36.7,22.6,P1
30,30,30,Lophira lanceolata,6.4,4.8,8.2,3.2,P1
31,31,31,Lophira lanceolata,6.4,5.1,8.9,3.9,P1
33,33,1,Crossopteryx febrifuga,8.2,6.4,8,5.75,P2
34,34,2,Detarium microcarpum,9.7,8.8,10.5,4.95,P2
35,35,3,Terminalia avicennoides,7.3,7.1,10.7,6.45,P2
37,37,5,Hannoa undulata,9.2,8.1,8.3,5.95,P2
38,38,6,Hannoa undulata,8.9,7.5,12.8,6.9,P2
