S/NO,SPECIES,,,HEIGHT,DIAMETER,PLOT,FOREST,COUNT
1,Prosopis africana,,,24,25.1,P1,FOR,1
2,Prosopis africana,,,16.6,20.1,P1,FOR,1
3,Prosopis africana,,,23,18.8,P1,FOR,1
4,Prosopis africana,,,21.2,24.2,P1,FOR,1
5,Prosopis africana,,,20,21.6,P1,FOR,1
6,Sterculia setigera,,,29.5,9.4,P1,FOR,1
7,Vitex donina,,,6.6,6.7,P1,FOR,1
8,Daniella oliveri,,,10.5,6.4,P1,FOR,1
9,Daniella oliveri,,,7.5,5.6,P1,FOR,1
10,Daniella oliveri,,,9.2,8.0,P1,FOR,1
11,Anthocleista djalonensis,,,8.5,6.4,P1,FOR,1
12,Parkia biglobosa,,,11,16.2,P1,FOR,1
13,Prosopis africana,,,12,10.5,P1,FOR,1
14,Prosopis africana,,,13.5,13.7,P1,FOR,1
15,Prosopis africana,,,11,18.6,P1,FOR,1
16,Daniella oliveri,,,10.6,7.3,P1,FOR,1
17,Daniella oliveri,,,10,7.6,P1,FOR,1
18,Daniella oliveri,,,6,5.7,P1,FOR,1
19,Ficus exaspirata,,,6.4,5.4,P1,FOR,1
20,Vitex donina,,,11.4,12.1,P1,FOR,1
21,Daniella oliveri,,,95,8.6,P2,FOR,1
22,Azdirachta indica,,,11.4,8.6,P2,FOR,1
23,Daniella oliveri,,,12,12.1,P2,FOR,1
24,Daniella oliveri,,,12.2,13.1,P2,FOR,1
25,Daniella oliveri,,,10.7,13.4,P2,FOR,1
26,Daniella oliveri,,,11.5,14.0,P2,FOR,1
27,Daniella oliveri,,,12.5,13.4,P2,FOR,1
28,Parkia biglobosa,,,8.5,10.5,P2,FOR,1
29,Parkia biglobosa,,,8.6,9.2,P2,FOR,1
30,Daniella oliveri,,,14.4,12.4,P2,FOR,1
31,Daniella oliveri,,,14,14.3,P2,FOR,1
32,Parkia biglobosa,,,12,10.8,P2,FOR,1
33,Vitex donina,,,13,10.2,P2,FOR,1
34,Daniella oliveri,,,12,11.8,P3,FOR,1
35,Daniella oliveri,,,8.5,6.4,P3,FOR,1
36,Khaya senegalensis,,,9.1,10.8,P3,FOR,1
37,Daniella oliveri,,,7.3,6.0,P3,FOR,1
38,Sterculia setigera,,,10,16.6,P3,FOR,1
39,Parkia biglobosa,,,10.1,21.0,P3,FOR,1
40,Parkia biglobosa,,,8.7,7.6,P3,FOR,1
41,Vitex donina,,,9.2,14.0,P3,FOR,1
42,Sterculia setigera,,,7.3,8.6,P3,FOR,1
43,Anogeissus leiocarpus,,,10.5,10.2,P3,FOR,1
44,Vitex donina,,,9.5,24.8,P3,FOR,1
45,Parkia biglobosa,,,7.1,10.8,P3,FOR,1
46,Prosopis africana,,,15.4,16.9,P3,FOR,1
47,Prosopis africana,,,12.5,13.7,P3,FOR,1
48,Daniella oliveri,,,14,10.5,P3,FOR,1
49,Daniella oliveri,,,11.6,13.1,P4,FOR,1
50,Daniella oliveri,,,9.1,7.0,P4,FOR,1
51,Sterculia setigera,,,8.6,15.9,P4,FOR,1
52,Prosopis africana,,,10,13.1,P4,FOR,1
53,Daniella oliveri,,,16.5,19.4,P4,FOR,1
54,Daniella oliveri,,,8.8,7.0,P4,FOR,1
55,Daniella oliveri,,,11,7.3,P4,FOR,1
56,Prosopis africana,,,12,10.2,P4,FOR,1
57,Daniella oliveri,,,12,19.7,P4,FOR,1
58,Parkia biglobosa,,,13.6,13.4,P4,FOR,1
59,Gmelina aborea,,,8.7,10.8,P4,FOR,1
60,Daniella oliveri,,,12.5,12.1,P4,FOR,1
