S.N,HEIGHT,DIAMETER,PLOT
1,8.5,23.9,P1
3,9,20.7,P1
4,8.2,21.6,P1
5,7.2,17.8,P1
7,7.8,13.1,P1
8,6.9,17.7,P1
9,8.4,22.6,P1
11,8,14,P1
12,8.4,22.3,P1
13,9,25.6,P1
15,7.7,14.6,P1
16,12.1,28.3,P1
17,8.9,20.7,P1
19,9.4,17.8,P1
20,6.5,22.7,P1
21,5.7,12.4,P1
23,7.3,20.8,P1
24,8.1,22.9,P1
25,9.7,26.1,P1
27,6.8,12.5,P1
28,7,15.8,P1
29,10.1,32.1,P1
31,7,11,P1
32,7.6,16.9,P1
33,7.2,11.5,P1
35,7.1,21.3,P1
36,6.5,19.4,P1
37,8.3,20.7,P1
39,7,18.5,P1
40,8.1,23.6,P1
41,7.7,16.1,P1
43,17.2,50.3,P2
44,10,38.8,P2
45,20.1,57.3,P2
47,8.8,22.3,P2
48,8.2,22.9,P2
49,10.1,38.8,P2
51,7.6,11.8,P2
52,16.5,46.8,P2
53,9.2,25.8,P2
55,9.2,23.9,P2
56,13.9,43.6,P2
57,9.1,18.2,P2
59,12.5,43,P2
60,8.6,23.9,P2
61,9.3,19.7,P2
63,8.2,21.8,P2
64,7.4,17.3,P2
65,8.1,22.6,P2
67,17.9,50,P2
68,8.4,16.9,P2
69,9,16.2,P2
71,9.6,20.4,P2
72,8.3,15.3,P2
73,8.3,13.4,P2
75,10.1,30.1,P2
76,12.7,29.9,P2
77,11.3,28.3,P2
79,12.4,18.1,P2
80,12.5,20.1,P2
81,12.4,21,P2
83,8.1,21.3,P2
84,11.6,40.4,P2
85,10.3,22.3,P3
87,16.3,47.1,P3
88,15.4,45.5,P3
89,16.8,46.5,P3
91,10.4,18.9,P3
92,22.3,73.2,P3
93,11.5,20.4,P3
95,11.2,22.6,P3
96,12.3,30.4,P3
97,10.4,16.9,P3
99,11.6,22.9,P3
100,11.9,33.1,P3
101,10.8,30.9,P3
103,10.2,24.2,P3
104,11.4,36,P3
105,11,20.1,P3
107,12.1,27.7,P3
108,11.1,23.6,P3
109,11.4,22.9,P3
111,11.5,34.7,P4
112,10.1,23.6,P4
113,11.5,28.3,P4
115,14.5,44.2,P4
116,11.2,23.2,P4
117,15.1,44.9,P4
119,11.1,33.4,P4
120,7.2,15.8,P4
121,7,15.4,P4
123,11.6,22.4,P4
124,7.1,19.7,P4
125,12.1,33.4,P4
127,11.2,32.8,P4
128,11.6,28.8,P4
129,10.5,26.4,P4
131,5.8,13.7,P4
132,8.2,17.2,P4
133,9.8,22.6,P4
135,7.5,15,P4
136,11.8,36,P4
137,10.5,20.4,P4
139,7.1,15.3,P4
140,7.9,14.6,P4
141,7,14.5,P4
143,10.6,24.2,P4
