,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
1,1,Tectona grandis,18,9.61,5.7,P1,0.615,0.00725331697258975,58.2611690684111,0.0582611690684111,38.8407793789408,0.0388407793789408,27.3827494621532,0.0273827494621532,25.8938529192938,0.0258938529192938
2,2,Tectona grandis,16.2,7.7,5.6,P1,0.615,0.00465662571078347,34.1093722688454,0.0341093722688454,22.7395815125636,0.0227395815125636,16.0314049663573,0.0160314049663573,15.1597210083757,0.0151597210083757
3,3,Tectona grandis,19,10.22,5.5,P1,0.615,0.00820335815298021,69.2578236727256,0.0692578236727256,46.1718824484837,0.0461718824484837,32.551177126181,0.032551177126181,30.7812549656558,0.0307812549656558
4,4,Tectona grandis,17.1,8.37,6.2,P1,0.615,0.00550225605933187,42.3176434401123,0.0423176434401123,28.2117622934082,0.0282117622934082,19.8892924168528,0.0198892924168528,18.8078415289388,0.0188078415289388
5,5,Tectona grandis,16,7.92,6.4,P1,0.615,0.00492651993565337,35.6032656516987,0.0356032656516987,23.7355104344658,0.0237355104344658,16.7335348562984,0.0167335348562984,15.8236736229772,0.0158236736229772
6,6,Tectona grandis,17.6,8.85,5.1,P1,0.615,0.00615143476526966,48.5300574472171,0.0485300574472171,32.353371631478,0.032353371631478,22.809127000192,0.022809127000192,21.5689144209854,0.0215689144209854
7,7,Tectona grandis,19.5,10.41,5.5,P1,0.615,0.0085112106710871,73.6367787387285,0.0736367787387285,49.091185825819,0.049091185825819,34.6092860072024,0.0346092860072024,32.7274572172127,0.0327274572172127
8,8,Tectona grandis,17.8,8.43,6.8,P1,0.615,0.00558142419420233,44.6254414306793,0.0446254414306793,29.7502942871195,0.0297502942871195,20.9739574724193,0.0209739574724193,19.8335295247463,0.0198335295247463
9,9,Tectona grandis,20.5,11.97,7.1,P1,0.615,0.0112532555709933,101.547381040186,0.101547381040186,67.6982540267906,0.0676982540267906,47.7272690888874,0.0477272690888874,45.1321693511938,0.0451321693511938
10,10,Tectona grandis,19.9,10.76,6.1,P1,0.615,0.00909315144025644,80.1189655751545,0.0801189655751545,53.4126437167697,0.0534126437167697,37.6559138203226,0.0376559138203226,35.6084291445131,0.0356084291445131
11,11,Tectona grandis,17,8.59,6.1,P1,0.615,0.00579530382205873,44.2618926246921,0.0442618926246921,29.5079284164614,0.0295079284164614,20.8030895336053,0.0208030895336053,19.6719522776409,0.0196719522776409
12,12,Tectona grandis,18.5,9.29,7.8,P1,0.615,0.00677830816336697,56.0123066608108,0.0560123066608108,37.3415377738739,0.0373415377738739,26.3257841305811,0.0263257841305811,24.8943585159159,0.0248943585159159
13,13,Tectona grandis,18,9.07,6.05,P1,0.615,0.00646107013720748,52.0418308201935,0.0520418308201935,34.694553880129,0.034694553880129,24.459660485491,0.024459660485491,23.1297025867527,0.0231297025867527
14,14,Tectona grandis,17.5,8.59,6.3,P1,0.615,0.00579530382205873,45.5320253044089,0.0455320253044089,30.3546835362726,0.0303546835362726,21.4000518930722,0.0214000518930722,20.2364556908484,0.0202364556908484
15,15,Tectona grandis,18.6,9.61,7.2,P1,0.615,0.00725331697258975,60.1558494137747,0.0601558494137747,40.1038996091831,0.0401038996091831,28.2732492244741,0.0282732492244741,26.7359330727888,0.0267359330727888
16,16,Tectona grandis,21.6,14.16,8.05,P1,0.615,0.0157476729990903,148.340421565773,0.148340421565773,98.8936143771821,0.0988936143771821,69.7199981359134,0.0697199981359134,65.9290762514547,0.0659290762514547
17,17,Tectona grandis,16.8,7.99,6.4,P1,0.615,0.00501398972911094,37.9865935052509,0.0379865935052509,25.3243956701673,0.0253243956701673,17.8536989474679,0.0178536989474679,16.8829304467782,0.0168829304467782
18,18,Tectona grandis,18.5,9.68,7.9,P1,0.615,0.00735936928659331,60.6939610464949,0.0606939610464949,40.4626406976632,0.0404626406976632,28.5261616918526,0.0285261616918526,26.9750937984422,0.0269750937984422
19,19,Tectona grandis,18.5,9.26,5.9,P1,0.615,0.0067346007555739,55.6597729164709,0.0556597729164709,37.1065152776472,0.0371065152776472,26.1600932707413,0.0261600932707413,24.7376768517648,0.0247376768517648
20,20,Tectona grandis,19.6,10.98,7.3,P1,0.615,0.00946879167384617,82.1211213142155,0.0821211213142155,54.747414209477,0.054747414209477,38.5969270176813,0.0385969270176813,36.4982761396513,0.0364982761396513
21,21,Tectona grandis,18.8,9.2,6.5,P1,0.615,0.006647610054996,55.8276152877824,0.0558276152877824,37.218410191855,0.037218410191855,26.2389791852577,0.0262389791852577,24.8122734612366,0.0248122734612366
22,22,Tectona grandis,19.2,12.89,7.05,P1,0.615,0.0130495554184629,110.070989616445,0.110070989616445,73.3806597442966,0.0733806597442966,51.7333651197291,0.0517333651197291,48.9204398295311,0.0489204398295311
23,23,Tectona grandis,16.3,7.26,5.9,P1,0.615,0.00413964522370873,30.5914852329492,0.0305914852329492,20.3943234886328,0.0203943234886328,14.3779980594861,0.0143779980594861,13.5962156590885,0.0135962156590885
24,24,Tectona grandis,17,8.5,6.5,P2,0.615,0.00567450173054657,43.3611775250086,0.0433611775250086,28.9074516833391,0.0289074516833391,20.379753436754,0.020379753436754,19.2716344555594,0.0192716344555594
25,25,Tectona grandis,17.9,8.91,6.7,P2,0.615,0.0062351267935613,49.9922880170904,0.0499922880170904,33.3281920113936,0.0333281920113936,23.4963753680325,0.0234963753680325,22.2187946742624,0.0222187946742624
26,26,Tectona grandis,18.1,9.36,7.2,P2,0.615,0.00688084189359851,55.6393340207087,0.0556393340207087,37.0928893471391,0.0370928893471391,26.1504869897331,0.0261504869897331,24.7285928980927,0.0247285928980927
