S.NO,SPECIES,HEIGHT,DIAMETER,PLOT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
1,Daniella oliveri,13.5,23.4,P1,0.533,0.0430052618349907,0.580571034772374,217.378171815884,0.217378171815884,108.689085907942,0.108689085907942,102.167740753465,0.102167740753465,54.344542953971,0.054344542953971,0.290285517386187
2,Daniella oliveri,20,22.9,P1,0.533,0.0411870650867256,0.823741301734512,305.847515921303,0.305847515921303,152.923757960652,0.152923757960652,143.748332483013,0.143748332483013,76.4618789803258,0.0764618789803258,0.411870650867256
3,Daniella oliveri,12,9.6,P1,0.533,0.00723822947387088,0.0868587536864506,34.0388722760882,0.0340388722760882,17.0194361380441,0.0170194361380441,15.9982699697614,0.0159982699697614,8.50971806902205,0.00850971806902205,0.0434293768432253
4,Daniella oliveri,8.9,9.8,P1,0.533,0.00754296396126909,0.0671323792552949,26.4715131231277,0.0264715131231277,13.2357565615639,0.0132357565615639,12.44161116787,0.01244161116787,6.61787828078194,0.00661787828078194,0.0335661896276475
5,Prosopis africana,11.4,12.7,P1,0.878,0.0126676869774374,0.144411631542787,90.9975521662868,0.0909975521662868,45.4987760831434,0.0454987760831434,42.7688495181548,0.0427688495181548,22.7493880415717,0.0227493880415717,0.0722058157713934
6,Prosopis africana,10.2,11.7,P1,0.878,0.0107513154587477,0.109663417679226,69.5597930932442,0.0695597930932442,34.7798965466221,0.0347798965466221,32.6931027538248,0.0326931027538248,17.389948273311,0.017389948273311,0.0548317088396131
7,Sterculia setigera,8.8,15.1,P1,0.32,0.0179078635236252,0.157589199007902,37.0015172064629,0.0370015172064629,18.5007586032314,0.0185007586032314,17.3907130870376,0.0173907130870376,9.25037930161572,0.00925037930161572,0.078794599503951
8,Lannea schrimperiana,7.5,11.8,P1,0.421,0.0109358840271461,0.0820191302035955,25.5674762437077,0.0255674762437077,12.7837381218539,0.0127837381218539,12.0167138345426,0.0120167138345426,6.39186906092693,0.00639186906092693,0.0410095651017978
9,Prosopis africana,11,11.8,P1,0.878,0.0109358840271461,0.120294724298607,76.1340005185358,0.0761340005185358,38.0670002592679,0.0380670002592679,35.7829802437118,0.0357829802437118,19.0335001296339,0.0190335001296339,0.0601473621493034
10,Prosopis africana,12,13.2,P1,0.878,0.0136847775990371,0.164217331188446,103.158952035277,0.103158952035277,51.5794760176384,0.0515794760176384,48.4847074565801,0.0484847074565801,25.7897380088192,0.0257897380088192,0.0821086655942228
11,Detarium microcapum,7,19.4,P2,0.57,0.0295592452776264,0.206914716943384,84.7917477671504,0.0847917477671504,42.3958738835752,0.0423958738835752,39.8521214505607,0.0398521214505607,21.1979369417876,0.0211979369417876,0.103457358471692
12,Daniella oliveri,11.9,11.8,P2,0.533,0.0109358840271461,0.130137019923038,50.5066231574876,0.0505066231574876,25.2533115787438,0.0252533115787438,23.7381128840192,0.0237381128840192,12.6266557893719,0.0126266557893719,0.0650685099615191
13,Lannea schrimperiana,6.7,9.9,P2,0.421,0.00769768739945839,0.0515745055763712,16.2571082314294,0.0162571082314294,8.12855411571468,0.00812855411571468,7.6408408687718,0.0076408408687718,4.06427705785734,0.00406427705785734,0.0257872527881856
14,Parkia biglobosa,11,17.2,P2,0.525,0.0232352192659501,0.255587411925451,96.1703802967181,0.0961703802967181,48.085190148359,0.048085190148359,45.2000787394575,0.0452000787394575,24.0425950741795,0.0240425950741795,0.127793705962726
15,Parkia biglobosa,9.2,13.5,P2,0.525,0.0143138815279185,0.13168771005685,50.3453054303948,0.0503453054303948,25.1726527151974,0.0251726527151974,23.6622935522856,0.0236622935522856,12.5863263575987,0.0125863263575987,0.0658438550284251
