,Species,Frequency
7,Acacia nilotica,2
21,Acacia polyacanta,1
18,Anogeissus leiocarpus,1
24,Burkia africana,1
26,Combretun nigricans,1
25,Crossopteryx febrifuga,1
1,Daniella oliveri,24
5,Detarium microcapum,1
10,Elaeis guineensis,3
11,Ficus asperifilia,1
8,Ficus spp,1
15,Ficus sycomorus,1
16,Khaya senegalensis,5
22,Kigelia Africana,1
4,Lannea schrimperiana,4
17,Milicia excelsa,1
6,Parkia biglobosa,11
23,Pericopsis laxiflore,1
2,Prosopis africana,5
28,Pseudocedrata koschyi,1
19,Pterocarpus samtelinoides,1
3,Sterculia setigera,2
14,Syzygium guineense,1
27,Terminaalia schimperiana,1
20,Terminalia avicennoides,1
13,Vitellaria paradoxa,1
12,Vitex doniana,6
9,Vitex doniana,3
29,Total,83
