S/NO,SPECIES,HEIGHT,DIAMETER,PLOT,WOOD-DENSITY
1,Daniella oliveri,13.5,23.4,P1,0.533
2,Daniella oliveri,20,22.9,P1,0.533
3,Daniella oliveri,12,9.6,P1,0.533
4,Daniella oliveri,8.9,9.8,P1,0.533
5,Prosopis africana,11.4,12.7,P1,0.878
6,Prosopis africana,10.2,11.7,P1,0.878
7,Sterculia setigera,8.8,15.1,P1,0.32
8,Lannea schrimperiana,7.5,11.8,P1,0.421
9,Prosopis africana,11,11.8,P1,0.878
10,Prosopis africana,12,13.2,P1,0.878
11,Detarium microcapum,7,19.4,P2,0.57
12,Daniella oliveri,11.9,11.8,P2,0.533
13,Lannea schrimperiana,6.7,9.9,P2,0.421
14,Parkia biglobosa,11,17.2,P2,0.525
15,Parkia biglobosa,9.2,13.5,P2,0.525
16,Daniella oliveri,11.6,11.8,P2,0.533
17,Daniella oliveri,11,12.4,P2,0.533
18,Acacia nilotica,11.6,12.3,P2,0.6
19,Daniella oliveri,11,10.5,P2,0.533
20,Daniella oliveri,11.1,13.9,P2,0.533
21,Ficus spp,9,21.5,P3,0.412
22,Lannea schrimperiana,9.4,15,P3,0.421
23,Daniella oliveri,15,14,P3,0.533
24,Daniella oliveri,12,9.7,P3,0.533
25,Daniella oliveri,12.7,9.8,P3,0.533
26,Daniella oliveri,11.4,13.4,P3,0.533
27,Daniella oliveri,23.5,19.7,P3,0.533
28,Daniella oliveri,16,11.1,P3,0.533
29,Daniella oliveri,14.5,12.6,P3,0.533
30,Daniella oliveri,12.2,15.6,P3,0.533
31,Vitex doniana   ,10,16.4,P4,0.4
32,Acacia nilotica,9.8,9.5,P4,0.6
33,Vitex doniana   ,9,11,P4,0.4
34,Vitex doniana   ,9.4,11.6,P4,0.4
35,Daniella oliveri,18.5,13.4,P4,0.533
36,Daniella oliveri,9.2,11.2,P4,0.533
37,Parkia biglobosa,12.6,17.9,P4,0.525
38,Parkia biglobosa,7.3,11.9,P4,0.525
39,Lannea schrimperiana,10,10.9,P4,0.421
40,Elaeis guineensis,7.2,13.7,P4,0.313
41,Ficus asperifilia,11,15.3,P4,0.412
42,Vitex doniana,6.8,9.5,P5,0.4
43,Vitellaria paradoxa,8.2,9.5,P5,0.57
44,Parkia biglobosa,8,13.7,P5,0.525
45,Parkia biglobosa,5.1,10.3,P5,0.525
46,Syzygium guineense,6.7,15.6,P5,0.6
47,Ficus sycomorus,6.1,11.5,P5,0.413
48,Vitex doniana,14.5,18.5,P5,0.4
49,Parkia biglobosa,6.5,9.9,P5,0.525
50,Vitex doniana,9.9,10.5,P5,0.4
51,Vitex doniana,12,16.6,P5,0.4
52,Khaya senegalensis,9.9,9.5,P5,0.648
53,Parkia biglobosa,14.5,19.1,P6,0.525
54,Parkia biglobosa,14.5,26.4,P6,0.525
55,Khaya senegalensis,8.5,11.5,P6,0.648
56,Khaya senegalensis,18.5,13.5,P6,0.648
57,Khaya senegalensis,19,21,P6,0.648
58,Vitex doniana,5.9,11.5,P6,0.4
59,Vitex doniana,10,9.5,P6,0.4
60,Milicia excelsa,10,9.9,P6,0.537
61,Anogeissus leiocarpus,10.1,11.5,P6,0.8
62,Elaeis guineensis,10.8,13.3,P6,0.313
63,Elaeis guineensis,7.8,13.1,P6,0.313
64,Pterocarpus samtelinoides,11,12.6,P7,0.6
65,Terminalia avicennoides,9.4,9.9,P7,0.556
66,Acacia polyacanta,10,8.9,P7,0.6
67,Daniella oliveri,12,13.2,P7,0.533
68,Parkia biglobosa,11.2,18.6,P7,0.525
69,Kigelia Africana,8.1,19.6,P7,0.6
70,Prosopis africana,10,11.5,P7,0.878
71,Daniella oliveri,13,10.4,P7,0.533
72,Pericopsis laxiflore,10,8.5,P8,0.653
73,Burkia africana,12,10.9,P8,0.689
74,Sterculia setigera,10.4,15.4,P8,0.32
75,Crossopteryx febrifuga,13.2,8,P8,0.6
76,Khaya senegalensis,16,17.3,P8,0.648
77,Daniella oliveri,11.4,12.2,P8,0.533
78,Combretun nigricans,9,7.4,P8,0.796
79,Terminaalia schimperiana,11,12.7,P8,0.556
80,Daniella oliveri,14,10.2,P8,0.533
81,Parkia biglobosa,1.7,11.9,P8,0.525
82,Pseudocedrata koschyi,10,8.3,P8,0.6
83,Daniella oliveri,17,16.4,P8,0.533
