,S.NO,PLOT.NO,SPECIES,PLOT,DIAMETER,HEIGHT,CROWN.DIAMETER,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
1,1,1,Khaya senegalensis,P1,20.3,22.2,20.7,0.648,0.0323654729154454,0.718513498722889,323.880677465114,0.323880677465114,185.074672837208,0.185074672837208,152.223918408604,0.152223918408604,105.756955906976,0.105756955906976,0.410579142127365
2,2,2,Khaya senegalensis,P1,19.4,23.2,25.55,0.648,0.0295592452776264,0.685774490440931,309.469262558534,0.309469262558534,176.839578604877,0.176839578604877,145.450553402511,0.145450553402511,101.051187774215,0.101051187774215,0.391871137394818
3,3,3,Khaya senegalensis,P1,15.4,25,10.7,0.648,0.0186265028431339,0.465662571078347,212.100731090776,0.212100731090776,121.200417766158,0.121200417766158,99.6873436126648,0.0996873436126648,69.2573815806616,0.0692573815806616,0.266092897759055
4,4,4,Gmelina arborea,P1,19.9,24,19.9,0.425,0.0311025526687023,0.746461264048856,222.725548439368,0.222725548439368,127.271741965353,0.127271741965353,104.681007766503,0.104681007766503,72.7267096944874,0.0727267096944874,0.426549293742204
5,5,5,Sena siameao,P1,8,7.2,6.75,0.57,0.00502654824574367,0.0361911473693544,15.46454314235,0.01546454314235,8.83688179562859,0.00883688179562859,7.26833527690451,0.00726833527690451,5.04964674035919,0.00504964674035919,0.0206806556396311
6,6,6,Detonixo regia,P1,11.1,11.4,11.85,0.5,0.00967689077121996,0.110316554791908,40.3849340455301,0.04038493404553,23.0771051688743,0.0230771051688743,18.9809190013991,0.0189809190013991,13.1869172393568,0.0131869172393568,0.0630380313096615
7,7,7,Detonixo regia,P1,14.1,19.2,10.15,0.5,0.0156145008865047,0.29979841702089,107.148845395665,0.107148845395665,61.2279116546655,0.0612279116546655,50.3599573359624,0.0503599573359624,34.9873780883803,0.0349873780883803,0.171313381154794
8,8,8,Khaya senegalensis,P1,18.1,25,24.7,0.648,0.0257304292310638,0.643260730776595,290.730300087332,0.290730300087332,166.131600049904,0.166131600049904,136.643241041046,0.136643241041046,94.9323428856594,0.0949323428856594,0.367577560443769
9,9,9,Khaya senegalensis,P1,13.7,14,9.95,0.648,0.0147411381288067,0.206375933803294,95.8543396999691,0.0958543396999691,54.7739083999823,0.0547739083999823,45.0515396589855,0.0450515396589855,31.2993762285613,0.0312993762285613,0.117929105030454
10,10,10,Khaya senegalensis,P1,19.4,21.9,17.3,0.648,0.0295592452776264,0.647347471580017,292.532890799434,0.292532890799434,167.161651885391,0.167161651885391,137.490458675734,0.137490458675734,95.5209439345092,0.0955209439345092,0.369912840902867
11,11,11,Khaya senegalensis,P1,14.8,15,7.75,0.648,0.0172033613710577,0.258050420565866,119.214259977612,0.119214259977612,68.122434272921,0.068122434272921,56.0307021894775,0.0560307021894775,38.927105298812,0.038927105298812,0.147457383180495
12,12,12,Khaya senegalensis,P1,15.7,20.2,15.5,0.648,0.0193592793295837,0.391057442457591,178.867455133293,0.178867455133293,102.209974361882,0.102209974361882,84.0677039126478,0.0840677039126478,58.405699635361,0.058405699635361,0.223461395690052
13,13,13,Khaya senegalensis,P1,11.9,15.5,8.2,0.648,0.0111220233918713,0.172391362574005,80.416223881748,0.080416223881748,45.9521279324274,0.0459521279324274,37.7956252244216,0.0377956252244216,26.25835881853,0.02625835881853,0.0985093500422883
14,14,14,Khaya senegalensis,P1,11.1,14.6,7.85,0.648,0.00967689077121996,0.141282605259811,66.2202951011575,0.0662202951011575,37.8401686292329,0.0378401686292329,31.123538697544,0.031123538697544,21.6229535024188,0.0216229535024188,0.0807329172913208
15,15,15,Khaya senegalensis,P1,10.3,13,6.45,0.648,0.00833228911548353,0.108319758501286,51.095098937386,0.051095098937386,29.197199392792,0.029197199392792,24.0146965005714,0.0240146965005714,16.6841139387383,0.0166841139387383,0.0618970048578776
16,16,16,Khaya senegalensis,P1,15.3,17.2,12.9,0.648,0.0183853856069709,0.316228632439899,145.380349000622,0.145380349000622,83.0744851432127,0.0830744851432127,68.3287640302924,0.0683287640302924,47.4711343675501,0.0474711343675501,0.180702075679942
17,17,17,Khaya senegalensis,P1,17.5,14,15.7,0.648,0.0240528187540468,0.336739462556656,154.57651219236,0.15457651219236,88.3294355384915,0.0883294355384915,72.6509607304093,0.0726509607304092,50.4739631648523,0.0504739631648523,0.192422550032375
18,18,18,Khaya senegalensis,P1,17.3,14,12.95,0.648,0.0235061816323222,0.329086542852511,151.146893663038,0.151146893663038,86.3696535217363,0.0863696535217363,71.0390400216281,0.0710390400216281,49.3540877267064,0.0493540877267064,0.188049453058578
19,19,19,Khaya senegalensis,P1,11.1,9.7,8.6,0.648,0.00967689077121996,0.0938658404808336,44.4295523152852,0.0444295523152852,25.3883156087344,0.0253883156087344,20.8818895881841,0.0208818895881841,14.5076089192768,0.0145076089192768,0.0536376231319049
20,20,20,Khaya senegalensis,P1,15,18.6,12.85,0.648,0.0176714586764426,0.328689131381832,150.968743749974,0.150968743749974,86.2678535714136,0.0862678535714136,70.9553095624877,0.0709553095624877,49.295916326522,0.049295916326522,0.187822360789618
21,21,21,Khaya senegalensis,P1,12.3,14.1,11.55,0.648,0.01188228881404,0.167540272277964,78.2068693803159,0.0782068693803159,44.6896396458948,0.0446896396458948,36.7572286087485,0.0367572286087485,25.5369369405113,0.0255369369405113,0.0957372984445508
22,22,22,Khaya senegalensis,P1,13.8,13,8.15,0.648,0.014957122623741,0.194442594108633,90.4409172830343,0.0904409172830343,51.6805241617339,0.0516805241617339,42.5072311230261,0.0425072311230261,29.5317280924193,0.0295317280924194,0.111110053776362
23,23,1,Khaya senegalensis,P2,10.3,9.8,7.95,0.648,0.00833228911548353,0.0816564333317386,38.7799444332425,0.0387799444332425,22.1599682475672,0.0221599682475672,18.226573883624,0.018226573883624,12.6628389986098,0.0126628389986098,0.0466608190467078
24,24,2,Khaya senegalensis,P2,13.6,14.6,8.5,0.648,0.0145267244301992,0.212090176680908,98.4438537018265,0.0984438537018265,56.253630686758,0.056253630686758,46.2686112398585,0.0462686112398585,32.1449318210046,0.0321449318210046,0.121194386674805
25,25,3,Khaya senegalensis,P2,12,13,10.55,0.648,0.0113097335529233,0.147026536188002,68.8466438588223,0.0688466438588223,39.3409393478984,0.0393409393478984,32.3579226136465,0.0323579226136465,22.4805367702277,0.0224805367702277,0.0840151635360013
26,26,4,Khaya senegalensis,P2,15.4,17,13.85,0.648,0.0186265028431339,0.316650548333276,145.569658876192,0.145569658876192,83.1826622149671,0.0831826622149671,68.4177396718104,0.0684177396718104,47.532949837124,0.047532949837124,0.180943170476158
27,27,5,Khaya senegalensis,P2,16.7,17,17.35,0.648,0.0219039693789914,0.372367479442854,170.519075312924,0.170519075312924,97.439471607385,0.097439471607385,80.1439653970742,0.0801439653970742,55.6796980613629,0.0556796980613629,0.212781416824488
28,28,6,Khaya senegalensis,P2,9.2,12,7.75,0.648,0.006647610054996,0.079771320659952,37.9059168034767,0.0379059168034767,21.660523887701,0.021660523887701,17.815780897634,0.017815780897634,12.3774422215434,0.0123774422215434,0.0455836118056869
29,29,7,Khaya senegalensis,P2,13.5,12,9.35,0.648,0.0143138815279185,0.171766578335022,80.1317601078219,0.0801317601078219,45.7895772044697,0.0457895772044697,37.6619272506763,0.0376619272506763,26.1654726882684,0.0261654726882684,0.0981523304771554
30,30,8,Khaya senegalensis,P2,11.7,11.1,9.1,0.648,0.0107513154587477,0.119339601592099,56.1624829010494,0.0561624829010494,32.0928473720282,0.0320928473720282,26.3963669634932,0.0263963669634932,18.3387699268733,0.0183387699268733,0.0681940580526281
31,31,9,Khaya senegalensis,P2,11.6,15,9.9,0.648,0.0105683176866761,0.158524765300141,74.0967797218238,0.0740967797218238,42.3410169838993,0.0423410169838993,34.8254864692572,0.0348254864692572,24.1948668479425,0.0241948668479425,0.0905855801715091
32,32,10,Khaya senegalensis,P2,17,18.7,9.15,0.648,0.0226980069221863,0.424452729444883,193.760823889159,0.193760823889159,110.720470793805,0.110720470793805,91.0675872279047,0.0910675872279047,63.2688404536029,0.0632688404536029,0.242544416825647
33,33,11,Khaya senegalensis,P2,12.1,15.7,7.4,0.648,0.011499014510302,0.180534527811742,84.1215707811604,0.0841215707811604,48.0694690178059,0.0480694690178059,39.5371382671454,0.0395371382671454,27.4682680101748,0.0274682680101748,0.103162587320995
34,34,12,Khaya senegalensis,P2,10.6,13.6,6.7,0.648,0.00882473376393373,0.120016379189499,56.4733165373239,0.0564733165373239,32.2704665927565,0.0322704665927565,26.5424587725422,0.0265424587725422,18.4402666244323,0.0184402666244323,0.068580788108285
35,35,13,Khaya senegalensis,P2,20.4,25.3,21.15,0.648,0.0326851299679482,0.826933788189089,371.497576921216,0.371497576921215,212.284329669266,0.212284329669266,174.603861152971,0.174603861152971,121.305331239581,0.121305331239581,0.472533593250908
36,36,14,Khaya senegalensis,P2,9.1,7.3,8.8,0.648,0.00650388219109427,0.0474783399949882,22.8435806614372,0.0228435806614372,13.0534746636784,0.0130534746636784,10.7364829108755,0.0107364829108755,7.4591283792448,0.0074591283792448,0.0271304799971361
37,37,15,Khaya senegalensis,P2,21,23.1,17.95,0.648,0.0346360590058275,0.800092963034615,359.724175336966,0.359724175336966,205.556671621124,0.205556671621124,169.070362408374,0.169070362408374,117.460955212071,0.117460955212071,0.457195978876923
38,38,16,Khaya senegalensis,P2,12,17.6,9.6,0.648,0.0113097335529233,0.199051310531449,92.5325277266946,0.0925325277266946,52.8757301295397,0.0528757301295397,43.4902880315464,0.0434902880315464,30.2147029311656,0.0302147029311656,0.113743606017971
39,39,17,Khaya senegalensis,P2,14.2,16,11.8,0.648,0.0158367685667461,0.253388297067938,117.111682740742,0.117111682740742,66.9209615661385,0.0669209615661385,55.042490888149,0.055042490888149,38.2405494663649,0.0382405494663649,0.14479331261025
40,40,18,Khaya senegalensis,P2,12.1,12,8.5,0.648,0.011499014510302,0.137988174123624,64.7128026265997,0.0647128026265996,36.9787443580569,0.0369787443580569,30.4150172345018,0.0304150172345018,21.1307110617468,0.0211307110617468,0.0788503852134997
41,41,19,Khaya senegalensis,P2,14.4,19.1,16.8,0.648,0.0162860163162095,0.311062911639601,143.062042425098,0.143062042425098,81.7497385286277,0.0817497385286277,67.2391599397963,0.0672391599397962,46.7141363020729,0.0467141363020729,0.177750235222629
42,42,20,Khaya senegalensis,P2,10.7,15.1,7.15,0.648,0.00899202357273739,0.135779555948335,63.7016827060173,0.0637016827060173,36.4009615462956,0.0364009615462956,29.9397908718281,0.0299397908718281,20.8005494550261,0.0208005494550261,0.0775883176847626
43,43,21,Khaya senegalensis,P2,12.5,11,9.4,0.648,0.0122718463030851,0.134990309333936,63.3402650057546,0.0633402650057546,36.1944371461455,0.0361944371461455,29.7699245527047,0.0297699245527047,20.6825355120831,0.0206825355120831,0.0771373196193922
44,44,22,Khaya senegalensis,P2,16,16.2,7.65,0.648,0.0201061929829747,0.32572032632419,149.637736529337,0.149637736529337,85.5072780167642,0.0855072780167642,70.3297361687886,0.0703297361687886,48.8613017238653,0.0488613017238653,0.18612590075668
45,45,23,Khaya senegalensis,P2,18.2,20.3,24.65,0.648,0.0260155287643771,0.528115233916855,239.821299708644,0.239821299708644,137.040742690654,0.137040742690654,112.716010863063,0.112716010863063,78.3089958232306,0.0783089958232306,0.301780133666774
46,46,24,Khaya senegalensis,P2,14.5,18.2,10.5,0.648,0.0165129963854313,0.300536534214851,138.335067070962,0.138335067070962,79.0486097548352,0.0790486097548352,65.017481523352,0.065017481523352,45.1706341456201,0.0451706341456201,0.171735162408486
47,47,1,Khaya senegalensis,P3,11.3,9.5,8.1,0.648,0.010028749148422,0.0952731169100092,45.0795560494898,0.0450795560494898,25.7597463139942,0.0257597463139942,21.1873913432602,0.0211873913432602,14.7198550365681,0.0147198550365681,0.0544417810914338
48,48,2,Khaya senegalensis,P3,12.5,17,9.85,0.648,0.0122718463030851,0.208621387152447,96.8721107304084,0.0968721107304084,55.3554918459477,0.0553554918459477,45.529892043292,0.045529892043292,31.6317096262558,0.0316317096262558,0.11921222122997
49,49,3,Khaya senegalensis,P3,11.4,17,9.9,0.648,0.0102070345315132,0.173519587035725,80.9298409771358,0.0809298409771358,46.2456234155062,0.0462456234155062,38.0370252592538,0.0380370252592538,26.4260705231464,0.0264260705231464,0.0991540497347
50,50,4,Khaya senegalensis,P3,17,13.1,11.15,0.648,0.0226980069221863,0.29734389068064,136.900599213606,0.136900599213606,78.2289138363463,0.0782289138363463,64.3432816303948,0.0643432816303948,44.7022364779122,0.0447022364779122,0.169910794674651
