S.NO,SPECIES,DIAMETER,HEIGHT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
1,Gmelina arborea,15,19,0.425,0.0176714586764426,0.335757714852409,102.121294695461,0.102121294695461,170.202157825769,0.170202157825769,47.9970085068668,0.0479970085068668,283.670263042948,0.283670263042948,0.559596191420682
2,Gmelina arborea,19.3,20,0.425,0.0292552961883916,0.585105923767831,175.604565529028,0.175604565529028,292.674275881714,0.292674275881714,82.5341457986432,0.0825341457986432,487.790459802856,0.487790459802856,0.975176539613052
3,Gmelina arborea,13.9,25,0.425,0.0151746779150021,0.379366947875053,115.047450380918,0.115047450380918,191.745750634863,0.191745750634863,54.0723016790315,0.0540723016790315,319.576251058106,0.319576251058106,0.632278246458421
4,Gmelina arborea,14.8,24.8,0.425,0.0172033613710577,0.426643362002231,129.020395512206,0.129020395512206,215.033992520344,0.215033992520344,60.639585890737,0.060639585890737,358.389987533906,0.358389987533906,0.711072270003719
5,Gmelina arborea,12,20,0.425,0.0113097335529233,0.226194671058465,69.4527950316782,0.0694527950316782,115.75465838613,0.11575465838613,32.6428136648887,0.0326428136648887,192.924430643551,0.192924430643551,0.376991118430775
6,Gmelina arborea,15.9,23.2,0.425,0.0198556509688509,0.460651102477341,139.04843969615,0.13904843969615,231.747399493583,0.231747399493583,65.3527666571905,0.0653527666571905,386.245665822639,0.386245665822639,0.767751837462234
7,Gmelina arborea,13.5,20,0.425,0.0143138815279185,0.28627763055837,87.4056389298431,0.0874056389298432,145.676064883072,0.145676064883072,41.0806502970263,0.0410806502970263,242.793441471787,0.242793441471787,0.47712938426395
8,Gmelina arborea,16.7,28,0.425,0.0219039693789914,0.61331114261176,183.861775739621,0.183861775739621,306.436292899368,0.306436292899368,86.4150345976217,0.0864150345976217,510.72715483228,0.51072715483228,1.02218523768627
9,Gmelina arborea,14.3,18.4,0.425,0.0160606070433144,0.295515169596985,90.1572799073263,0.0901572799073263,150.262133178877,0.150262133178877,42.3739215564433,0.0423739215564433,250.436888631462,0.250436888631462,0.492525282661642
10,Gmelina arborea,11.7,10.4,0.425,0.0107513154587477,0.111813680770976,34.9177298994992,0.0349177298994992,58.1962164991653,0.0581962164991653,16.4113330527646,0.0164113330527646,96.9936941652756,0.0969936941652756,0.186356134618293
11,Gmelina arborea,11.9,11.1,0.425,0.0111220233918713,0.123454459649771,38.4614413862584,0.0384614413862584,64.1024023104306,0.0641024023104306,18.0768774515414,0.0180768774515414,106.837337184051,0.106837337184051,0.205757432749618
12,Gmelina arborea,7.2,12,0.425,0.00407150407905237,0.0488580489486285,15.5638339659695,0.0155638339659695,25.9397232766158,0.0259397232766158,7.31500196400564,0.00731500196400564,43.2328721276929,0.0432328721276929,0.0814300815810474
13,Gmelina arborea,7,10.8,0.425,0.0038484510006475,0.041563270806993,13.2915496962924,0.0132915496962924,22.1525828271539,0.0221525828271539,6.24702835725741,0.00624702835725741,36.9209713785899,0.0369209713785899,0.069272118011655
14,Gmelina arborea,15.1,27.2,0.425,0.0179078635236252,0.487093887842606,146.833418999617,0.146833418999617,244.722364999362,0.244722364999362,69.0117069298201,0.06901170692982,407.87060833227,0.40787060833227,0.811823146404343
15,Gmelina arborea,12.9,16.2,0.425,0.0130698108370969,0.21173093556097,65.1149076049259,0.0651149076049259,108.52484600821,0.10852484600821,30.6040065743152,0.0306040065743152,180.874743347016,0.180874743347016,0.352884892601617
16,Gmelina arborea,7,14,0.425,0.0038484510006475,0.053878314009065,17.1228083930897,0.0171228083930897,28.5380139884829,0.0285380139884829,8.04771994475218,0.00804771994475218,47.5633566474715,0.0475633566474715,0.0897971900151083
17,Gmelina arborea,8.2,10,0.425,0.00528101725068444,0.0528101725068444,16.7914151722207,0.0167914151722207,27.9856919537012,0.0279856919537012,7.89196513094373,0.00789196513094373,46.6428199228353,0.0466428199228353,0.088016954178074
18,Pterocarpus santalinoides,15.6,23,0.7,0.0191134497044403,0.439609343202127,216.200321392955,0.216200321392955,360.333868988258,0.360333868988258,101.614151054689,0.101614151054689,600.556448313764,0.600556448313764,0.732682238670212
19,Gmelina arborea,11.2,11.1,0.425,0.00985203456165759,0.109357583634399,34.1689369566495,0.0341689369566495,56.9482282610824,0.0569482282610824,16.0594003696252,0.0160594003696252,94.9137137684707,0.0949137137684707,0.182262639390665
