S/N,TREATMENT,DIAMETER,HEIGHT,NO.LEAVES
1,TN,3.93,28,6
2,TN,3.42,28,5
3,TN,3.95,28,4
4,TN,2.84,27.5,10
5,TN,3.9,22.5,5
6,TN,3.81,32,7
7,TN,2.41,20.5,5
8,TN,3.61,28.5,7
9,TN,2.83,30,9
10,T1,4.81,45,7
11,T1,4.41,25.5,8
12,T1,3.85,28.5,13
13,T1,3.75,35,7
14,T1,4.67,40.5,5
15,T1,4.36,31,7
16,T1,4.13,37,7
17,T1,4.25,38,10
18,T1,4.63,41,10
19,T1,3.96,36.5,10
20,T1,5.84,55,9
21,T1,4.74,36.5,8
22,T1,3.64,37,8
23,T2,4.26,17.5,9
24,T2,4.1,38,7
25,T2,4.16,30,6
26,T2,4.11,39,10
27,T2,4.16,25,9
28,T2,5.17,55.5,9
29,T2,4.33,40,6
30,T2,3.84,35,12
31,T2,3.31,29,7
32,T2,3.62,23,6
33,T2,4.83,38,8
34,T2,4.06,39,9
