S/NO,SPECIES,HEIGHT,DIAMETER,CROWN DIAMETER,PLOT
1,Khaya senegalensis,18,40.6,7.41,P1
2,Khaya senegalensis,17.7,56.5,9.43,P1
3,Khaya senegalensis,14.5,35.8,5.88,P1
4,Khaya senegalensis,18,49.8,8.78,P1
5,Khaya senegalensis,13.5,49.4,11.01,P1
6,Albizia zygia,8,39.5,6.3,P1
7,Albizia zygia,10.5,60,6.97,P1
8,Albizia zygia,12,45.8,7.24,P1
9,Khaya senegalensis,11,46.6,10.76,P1
10,Khaya senegalensis,13.5,50.3,10.9,P1
11,Khaya senegalensis,14,40.4,8.9,P1
12,Khaya senegalensis,9.4,42.1,5.27,P1
13,Khaya senegalensis,15.5,46.4,6.73,P1
14,Khaya senegalensis,14.5,47,6.39,P1
15,Khaya senegalensis,12,35.5,4.42,P1
16,Khaya senegalensis,15.5,54.1,6.03,P1
17,Daniellia oliveri,15,57,7.17,P1
18,Khaya senegalensis,12,34.8,5.57,P1
19,Khaya senegalensis,14,43.9,8.69,P1
20,Khaya senegalensis,10.4,39.5,5.71,P1
21,Khaya senegalensis,17.2,42.3,8.87,P1
22,Khaya senegalensis,10.2,37.8,6.27,P1
23,Khaya senegalensis,17.2,23.4,6.74,P1
24,Khaya senegalensis,10.3,49.8,7.7,P1
25,Albizia zygia,7.4,45,7.03,P1
26,Daniellia oliveri,12.5,33.9,4.68,P1
27,Eucalyptus camaldulensis,18,51,7.19,P1
28,Khaya senegalensis,10.6,42.6,9.26,P1
29,Khaya senegalensis,13.9,59,7.84,P1
30,Khaya senegalensis,10.3,43.8,6,P1
31,Khaya senegalensis,15.2,57,8.82,P1
32,Khaya senegalensis,12.4,42.3,9.97,P1
33,Khaya senegalensis,17.5,56,11.89,P1
34,Khaya senegalensis,11.9,34,7.72,P1
35,Khaya senegalensis,10,43.2,11.72,P1
36,Daniellia oliveri,10.3,41.7,8.71,P1
37,Daniellia oliveri,16,57.6,10.78,P1
38,Khaya senegalensis,12,40,6.86,P1
39,Khaya senegalensis,18.2,62,8.74,P1
40,Khaya senegalensis,11.5,39.3,4.5,P1
41,Khaya senegalensis,8.7,27.1,5.51,P1
42,Khaya senegalensis,11.3,40.8,10.95,P1
43,Khaya senegalensis,15.4,55.2,9.62,P1
44,Khaya senegalensis,13.9,61,11.06,P1
45,Khaya senegalensis,16.5,70,13.48,P1
46,Khaya senegalensis,14.5,62,13.21,P1
47,Khaya senegalensis,18.5,61.3,20.27,P1
48,Khaya senegalensis,10,42.7,10.67,P1
49,Daniellia oliveri,12.5,36.4,8.17,P1
50,Khaya senegalensis,14.2,42.3,7.3,P2
51,Albizia zygia,8.8,34.5,8.41,P2
52,Khaya senegalensis,18,45,5.91,P2
53,Daniellia oliveri,12.5,36.5,3.61,P2
54,Daniellia oliveri,13,38.6,5.94,P2
55,Daniellia oliveri,10.8,29.4,5.58,P2
56,Khaya senegalensis,9.7,30.2,10.68,P2
57,Khaya senegalensis,22,54.4,6.41,P2
58,Khaya senegalensis,11.4,31.2,10.9,P2
59,Khaya senegalensis,17.5,50.5,12.03,P2
60,Albizia zygia,10.4,39,11.65,P2
61,Albizia zygia,16.2,46.2,8.81,P2
62,Daniellia oliveri,18,43,18.7,P2
63,Albizia zygia,18,67,12.5,P2
64,Albizia zygia,9,33.9,10.24,P2
65,Albizia zygia,15.5,38.4,10.29,P2
66,Albizia zygia,13,60,8.56,P2
67,Albizia zygia,12.9,71,13.49,P2
68,Albizia zygia,11.4,55.7,10.85,P2
69,Albizia zygia,10.8,53.5,11.81,P2
70,Albizia zygia,15.2,38.7,10,P2
71,Khaya senegalensis,15.4,51.4,10.36,P2
72,Albizia zygia,10.7,31.2,7.97,P2
73,Albizia zygia,18,71.5,12.12,P2
74,Khaya senegalensis,19,60,16.58,P2
75,Khaya senegalensis,13.2,53.6,10.16,P2
76,Khaya senegalensis,12,45.9,9.59,P2
77,Daniellia oliveri,8.9,32.3,14.33,P2
78,Daniellia oliveri,16,58.8,13.04,P2
79,Khaya senegalensis,19,66,7.5,P2
80,Daniellia oliveri,13.2,57.3,10.64,P2
81,Albizia zygia,8.8,27.2,13.04,P2
82,Daniellia oliveri,16,57.8,19.71,P3
83,Daniellia oliveri,10.2,29,5.96,P3
84,Daniellia oliveri,11.5,26.2,7.74,P3
85,Daniellia oliveri,9.6,30,9.25,P3
86,Daniellia oliveri,15.6,35.2,10.88,P3
87,Daniellia oliveri,13.5,47.6,11.41,P3
88,Khaya senegalensis,12.5,50.7,10.85,P3
89,Khaya senegalensis,15,56.2,15.88,P3
90,Daniellia oliveri,15.4,34,8.53,P3
91,Daniellia oliveri,12.5,57.2,10.34,P3
92,Khaya senegalensis,10,40,12.15,P3
93,Khaya senegalensis,14.5,45.7,8.07,P3
94,Khaya senegalensis,13,35.5,5.3,P3
95,Khaya senegalensis,13.5,40.3,9.01,P3
96,Khaya senegalensis,13.5,35.5,6.76,P3
