,S.N,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
1,1,Khaya senegalensis,18,40.6,9.21,P1,0.648,0.129461891661782,1021.17706551411,1.02117706551411,4254.90443964214,4.25490443964214,479.953220791633,0.479953220791633,1999.80508663181,1.99980508663181
2,2,Khaya senegalensis,17.7,56.5,11.43,P1,0.648,0.25071872871055,1914.84113303952,1.91484113303952,7978.50472099799,7.97850472099799,899.975332528573,0.899975332528573,3749.89721886905,3.74989721886905
3,3,Khaya senegalensis,14.5,35.8,5.88,P1,0.648,0.100659770213671,646.825463134321,0.646825463134321,2695.106096393,2.695106096393,304.007967673131,0.304007967673131,1266.69986530471,1.26669986530471
4,4,Khaya senegalensis,18,49.8,8.78,P1,0.648,0.194781886115221,1521.42277095356,1.52142277095356,6339.26154563982,6.33926154563982,715.068702348172,0.715068702348172,2979.45292645071,2.97945292645071
5,5,Khaya senegalensis,13.5,49.4,11.01,P1,0.648,0.19166542620286,1131.02715555213,1.13102715555213,4712.61314813388,4.71261314813388,531.582763109501,0.531582763109501,2214.92817962292,2.21492817962292
6,6,Albizia zygia,12.6,39.5,6.3,P1,0.804,0.122541748444087,843.459337616224,0.843459337616224,3514.41390673427,3.51441390673427,396.425888679625,0.396425888679625,1651.77453616511,1.65177453616511
7,7,Albizia zygia,24.3,60,18.91,P1,0.804,0.282743338823081,3621.16181064628,3.62116181064628,15088.1742110262,15.0881742110262,1701.94605100375,1.70194605100375,7091.4418791823,7.0914418791823
8,8,Albizia zygia,12,45.8,8.83,P1,0.804,0.164748260346902,1073.58213753042,1.07358213753042,4473.25890637677,4.47325890637677,504.583604639299,0.504583604639299,2102.43168599708,2.10243168599708
9,9,Khaya senegalensis,11,46.6,10.76,P1,0.648,0.170553923570736,826.420040241726,0.826420040241726,3443.41683434052,3.44341683434053,388.417418913611,0.388417418913611,1618.40591214005,1.61840591214005
10,10,Khaya senegalensis,19.2,50.3,13.9,P1,0.648,0.198712803923025,1652.2470152436,1.6522470152436,6884.362563515,6.884362563515,776.556097164492,0.776556097164492,3235.65040485205,3.23565040485205
11,11,Khaya senegalensis,14,40.4,8.9,P1,0.648,0.128189546637078,791.388358615962,0.791388358615962,3297.45149423318,3.29745149423318,371.952528549502,0.371952528549502,1549.80220228959,1.54980220228959
12,12,Khaya senegalensis,9.4,42.1,5.27,P1,0.648,0.139204755878727,581.411618496238,0.581411618496238,2422.54841040099,2.42254841040099,273.263460693232,0.273263460693232,1138.59775288847,1.13859775288847
13,13,Khaya senegalensis,15.5,46.4,9.32,P1,0.648,0.169093082986817,1145.2995904298,1.1452995904298,4772.08162679082,4.77208162679082,538.290807502004,0.538290807502004,2242.87836459168,2.24287836459168
14,14,Khaya senegalensis,14.5,47,9.21,P1,0.648,0.173494454294496,1100.37941869569,1.10037941869569,4584.91424456538,4.58491424456538,517.178326786974,0.517178326786974,2154.90969494573,2.15490969494573
15,15,Khaya senegalensis,12,35.5,4.42,P1,0.648,0.0989798035421634,528.979584637819,0.528979584637819,2204.08160265758,2.20408160265758,248.620404779775,0.248620404779775,1035.91835324906,1.03591835324906
16,16,Khaya senegalensis,15.5,54.1,12.02,P1,0.648,0.229871119861329,1545.52868101309,1.54552868101309,6439.70283755455,6.43970283755455,726.398480076153,0.726398480076153,3026.66033365064,3.02666033365064
17,17,Daniellia oliveri,19.9,57,13.17,P1,0.533,0.255175863287831,1804.8833603058,1.8048833603058,7520.3473346075,7.5203473346075,848.295179343726,0.848295179343726,3534.56324726552,3.53456324726552
18,18,Khaya senegalensis,12,34.8,5.57,P1,0.648,0.0951148591800846,508.810248446621,0.508810248446621,2120.04270186092,2.12004270186092,239.140816769912,0.239140816769912,996.420069874633,0.996420069874633
19,19,Khaya senegalensis,14,43.9,8.69,P1,0.648,0.15136271944812,930.730564999788,0.930730564999788,3878.04402083245,3.87804402083245,437.4433655499,0.4374433655499,1822.68068979125,1.82268068979125
