S.N,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
1,1,Khaya senegalensis,18,40.6,9.21,P1,0.648,0.129461891661782,1021.17706551411,1.02117706551411,680.784710342742,0.680784710342742,479.953220791633,0.479953220791633,319.968813861089,0.319968813861089
2,2,Khaya senegalensis,17.7,56.5,11.43,P1,0.648,0.25071872871055,1914.84113303952,1.91484113303952,1276.56075535968,1.27656075535968,899.975332528573,0.899975332528573,599.983555019048,0.599983555019048
3,3,Khaya senegalensis,14.5,35.8,5.88,P1,0.648,0.100659770213671,646.825463134321,0.646825463134321,431.216975422881,0.431216975422881,304.007967673131,0.304007967673131,202.671978448754,0.202671978448754
4,4,Khaya senegalensis,18,49.8,8.78,P1,0.648,0.194781886115221,1521.42277095356,1.52142277095356,1014.28184730237,1.01428184730237,715.068702348172,0.715068702348172,476.712468232114,0.476712468232114
5,5,Khaya senegalensis,13.5,49.4,11.01,P1,0.648,0.19166542620286,1131.02715555213,1.13102715555213,754.01810370142,0.75401810370142,531.582763109501,0.531582763109501,354.388508739667,0.354388508739667
6,6,Albizia zygia,12.6,39.5,6.3,P1,0.804,0.122541748444087,843.459337616224,0.843459337616224,562.306225077483,0.562306225077483,396.425888679625,0.396425888679625,264.283925786417,0.264283925786417
7,7,Albizia zygia,24.3,60,18.91,P1,0.804,0.282743338823081,3621.16181064628,3.62116181064628,2414.10787376419,2.41410787376419,1701.94605100375,1.70194605100375,1134.63070066917,1.13463070066917
8,8,Albizia zygia,12,45.8,8.83,P1,0.804,0.164748260346902,1073.58213753042,1.07358213753042,715.721425020283,0.715721425020283,504.583604639299,0.504583604639299,336.389069759533,0.336389069759533
9,9,Khaya senegalensis,11,46.6,10.76,P1,0.648,0.170553923570736,826.420040241726,0.826420040241726,550.946693494484,0.550946693494484,388.417418913611,0.388417418913611,258.944945942407,0.258944945942407
10,10,Khaya senegalensis,19.2,50.3,13.9,P1,0.648,0.198712803923025,1652.2470152436,1.6522470152436,1101.4980101624,1.1014980101624,776.556097164492,0.776556097164492,517.704064776328,0.517704064776328
11,11,Khaya senegalensis,14,40.4,8.9,P1,0.648,0.128189546637078,791.388358615962,0.791388358615962,527.592239077308,0.527592239077308,371.952528549502,0.371952528549502,247.968352366335,0.247968352366335
12,12,Khaya senegalensis,9.4,42.1,5.27,P1,0.648,0.139204755878727,581.411618496238,0.581411618496238,387.607745664159,0.387607745664159,273.263460693232,0.273263460693232,182.175640462155,0.182175640462155
13,13,Khaya senegalensis,15.5,46.4,9.32,P1,0.648,0.169093082986817,1145.2995904298,1.1452995904298,763.533060286531,0.763533060286531,538.290807502004,0.538290807502004,358.860538334669,0.358860538334669
14,14,Khaya senegalensis,14.5,47,9.21,P1,0.648,0.173494454294496,1100.37941869569,1.10037941869569,733.58627913046,0.73358627913046,517.178326786974,0.517178326786974,344.785551191316,0.344785551191316
15,15,Khaya senegalensis,12,35.5,4.42,P1,0.648,0.0989798035421634,528.979584637819,0.528979584637819,352.653056425212,0.352653056425212,248.620404779775,0.248620404779775,165.74693651985,0.16574693651985
