S/N,SPECIES,HEIGHT,DIAMETER,CROWN DIAMETER,PLOT,WOOD-DENSITY
1,Khaya senegalensis,18,40.6,9.21,P1,0.648
2,Khaya senegalensis,17.7,56.5,11.43,P1,0.648
3,Khaya senegalensis,14.5,35.8,5.88,P1,0.648
4,Khaya senegalensis,18,49.8,8.78,P1,0.648
5,Khaya senegalensis,13.5,49.4,11.01,P1,0.648
6,Albizia zygia,12.6,39.5,6.30,P1,0.804
7,Albizia zygia,24.3,60,18.91,P1,0.804
8,Albizia zygia,12,45.8,8.83,P1,0.804
9,Khaya senegalensis,11,46.6,10.76,P1,0.648
10,Khaya senegalensis,19.2,50.3,13.90,P1,0.648
11,Khaya senegalensis,14,40.4,8.90,P1,0.648
12,Khaya senegalensis,9.4,42.1,5.27,P1,0.648
13,Khaya senegalensis,15.5,46.4,9.32,P1,0.648
14,Khaya senegalensis,14.5,47,9.21,P1,0.648
15,Khaya senegalensis,12,35.5,4.42,P1,0.648
16,Khaya senegalensis,15.5,54.1,12.02,P1,0.648
17,Daniellia oliveri,19.9,57,13.17,P1,0.533
18,Khaya senegalensis,12,34.8,5.57,P1,0.648
19,Khaya senegalensis,14,43.9,8.69,P1,0.648
20,Khaya senegalensis,10.4,39.5,5.71,P1,0.648
21,Khaya senegalensis,17.2,42.3,8.87,P1,0.648
22,Khaya senegalensis,10.2,37.8,6.27,P1,0.648
23,Khaya senegalensis,10.2,23.4,6.74,P1,0.648
24,Khaya senegalensis,10.3,49.8,9.70,P1,0.648
25,Albizia zygia,12.8,45,10.03,P1,0.804
26,Daniellia oliveri,12.5,33.9,4.68,P1,0.533
27,Eucalyptus camaldulensis,18,51,11.18,P1,0.73
28,Khaya senegalensis,10.6,42.6,9.26,P1,0.648
29,Khaya senegalensis,20.9,59,16.03,P1,0.648
30,Khaya senegalensis,10.3,43.8,6.00,P1,0.648
31,Khaya senegalensis,15.2,57,11.82,P1,0.648
32,Khaya senegalensis,12.4,42.3,9.97,P1,0.648
33,Khaya senegalensis,17.5,56,11.89,P1,0.648
34,Khaya senegalensis,11.9,34,7.72,P1,0.648
35,Khaya senegalensis,10,43.2,11.72,P1,0.648
36,Daniellia oliveri,10.3,41.7,8.71,P1,0.533
37,Daniellia oliveri,21.8,57.6,12.79,P1,0.533
38,Khaya senegalensis,12,40,6.86,P1,0.648
39,Khaya senegalensis,24.1,62,18.74,P1,0.648
40,Khaya senegalensis,11.5,39.3,7.50,P1,0.648
41,Khaya senegalensis,8.7,27.1,5.51,P1,0.648
42,Khaya senegalensis,11.3,40.8,10.95,P1,0.648
43,Khaya senegalensis,15.4,55.2,9.62,P1,0.648
44,Khaya senegalensis,23.6,61,18.01,P1,0.648
45,Khaya senegalensis,25.2,70,21.11,P1,0.648
46,Khaya senegalensis,23.7,62,16.21,P1,0.648
47,Khaya senegalensis,24.2,61.3,20.27,P1,0.648
48,Khaya senegalensis,10,42.7,10.67,P1,0.648
49,Daniellia oliveri,12.5,36.4,8.17,P1,0.533
50,Khaya senegalensis,14.2,42.3,7.30,P2,0.648
51,Albizia zygia,8.8,34.5,8.41,P2,0.804
52,Khaya senegalensis,18,45,5.91,P2,0.648
53,Daniellia oliveri,12.5,36.5,8.61,P2,0.533
54,Daniellia oliveri,13,38.6,5.94,P2,0.533
55,Daniellia oliveri,10.8,29.4,5.58,P2,0.533
56,Khaya senegalensis,9.7,30.2,10.68,P2,0.648
57,Khaya senegalensis,22,54.4,12.01,P2,0.648
58,Khaya senegalensis,11.4,31.2,10.90,P2,0.648
59,Khaya senegalensis,17.5,50.5,12.03,P2,0.648
60,Albizia zygia,10.4,39,11.65,P2,0.804
61,Albizia zygia,16.2,46.2,8.81,P2,0.804
62,Daniellia oliveri,18,43,8.70,P2,0.533
63,Albizia zygia,25.2,67,18.09,P2,0.804
64,Albizia zygia,9,33.9,10.24,P2,0.804
65,Albizia zygia,15.5,38.4,10.29,P2,0.804
66,Albizia zygia,24.1,60,17.82,P2,0.804
67,Albizia zygia,27.8,71,21.43,P2,0.804
68,Albizia zygia,18.4,55.7,10.85,P2,0.804
69,Albizia zygia,17.1,53.5,11.81,P2,0.804
70,Albizia zygia,15.2,38.7,10.00,P2,0.804
71,Khaya senegalensis,15.4,51.4,10.36,P2,0.648
72,Albizia zygia,10.7,31.2,7.97,P2,0.804
73,Albizia zygia,26.3,71.5,21.12,P2,0.804
74,Khaya senegalensis,23.4,60,16.58,P2,0.648
75,Khaya senegalensis,13.2,53.6,16.23,P2,0.648
76,Khaya senegalensis,12,45.9,9.59,P2,0.648
77,Daniellia oliveri,8.9,32.3,8.33,P2,0.533
78,Daniellia oliveri,21.3,58.8,16.04,P2,0.533
79,Khaya senegalensis,23.5,66,18.70,P2,0.648
80,Daniellia oliveri,20.9,57.3,14.87,P2,0.533
81,Albizia zygia,8.8,27.2,9.04,P2,0.804
82,Daniellia oliveri,18.6,57.8,11.71,P3,0.533
83,Daniellia oliveri,10.2,29,5.96,P3,0.533
84,Daniellia oliveri,11.5,26.2,7.74,P3,0.533
85,Daniellia oliveri,9.6,30,9.25,P3,0.533
