S/N,TREATMENT,DIAMETER,HEIGHT,NO.LEAVES
1,T1,6.2,12,43
2,T1,7.81,14,48
3,T1,5,16,29
4,T1,7.48,13,42
5,T1,6.83,12,42
6,T1,10.12,14,50
7,T1,5.65,8,30
8,T1,6.18,10,47
9,T1,5.61,12,45
10,T1,5.91,11,37
11,T1,7.72,13,52
12,T1,7.9,13,59
13,T1,7.94,13,55
14,T1,9.61,13,54
15,T1,8.56,13,50
16,T2,6.83,10,45
17,T2,4.29,8,30
18,T2,8.94,14,54
19,T2,5.95,11,38
20,T2,7.57,11,48
21,T2,5.5,11,39
22,T2,8.87,14,53
23,T2,7.77,13,54
24,T2,7.44,12,53
25,T2,8.38,15,58
26,T2,8.72,14,56
27,T2,8.1,13,56
28,T2,7.94,14,52
29,T2,7.18,12,44
30,T3,9.96,13,61
31,T3,9.74,13,58
32,T3,9.2,15,64.5
33,T3,9.01,15,65
34,T3,9.27,13,55
35,T3,9.17,14,61.5
36,T3,8.39,14,61
37,T3,9.18,14,63.2
38,T3,9.1,16,63.5
39,T3,8.93,14,53.2
40,T3,10.037,14,54.4
41,T3,7.08,13,44
42,T3,9.5,15,60
43,T3,8.53,14,53
44,TN,8,13,50
45,TN,6.71,12,48
46,TN,6.95,12,44
47,TN,6.72,12,50
48,TN,8.34,12,42
49,TN,5.84,10,36
50,TN,3.39,11,7
51,TN,6.55,12,49
52,TN,5.49,12,44
53,TN,19.29,14,55
54,TN,6.91,13,47
55,TN,6.98,13,46
56,TN,8.48,9,30
57,TN,7.03,11,45
58,TN,10.1,14,58
