S.N,SPECIES,HEIGHT,DIAMETER,PLOT,FOREST,COUNT,BA
1,Khaya senegalensis,18,40.6,P1,FOR,1,0.129461891661782
2,Khaya senegalensis,17.7,56.5,P1,FOR,1,0.25071872871055
3,Khaya senegalensis,14.5,35.8,P1,FOR,1,0.100659770213671
4,Khaya senegalensis,18,49.8,P1,FOR,1,0.194781886115221
5,Khaya senegalensis,13.5,49.4,P1,FOR,1,0.19166542620286
6,Albizia zygia,12.6,39.5,P1,FOR,1,0.122541748444087
7,Albizia zygia,24.3,60,P1,FOR,1,0.282743338823081
8,Albizia zygia,12,45.8,P1,FOR,1,0.164748260346902
9,Khaya senegalensis,11,46.6,P1,FOR,1,0.170553923570736
10,Khaya senegalensis,19.2,50.3,P1,FOR,1,0.198712803923025
11,Khaya senegalensis,14,40.4,P1,FOR,1,0.128189546637078
12,Khaya senegalensis,9.4,42.1,P1,FOR,1,0.139204755878727
13,Khaya senegalensis,15.5,46.4,P1,FOR,1,0.169093082986817
14,Khaya senegalensis,14.5,47,P1,FOR,1,0.173494454294496
15,Khaya senegalensis,12,35.5,P1,FOR,1,0.0989798035421634
16,Khaya senegalensis,15.5,54.1,P1,FOR,1,0.229871119861329
17,Daniellia oliveri,19.9,57,P1,FOR,1,0.255175863287831
18,Khaya senegalensis,12,34.8,P1,FOR,1,0.0951148591800846
19,Khaya senegalensis,14,43.9,P1,FOR,1,0.15136271944812
20,Khaya senegalensis,10.4,39.5,P1,FOR,1,0.122541748444087
21,Khaya senegalensis,17.2,42.3,P1,FOR,1,0.140530507978542
22,Khaya senegalensis,10.2,37.8,P1,FOR,1,0.112220831178881
23,Khaya senegalensis,10.2,23.4,P1,FOR,1,0.0430052618349907
24,Khaya senegalensis,10.3,49.8,P1,FOR,1,0.194781886115221
25,Albizia zygia,12.8,45,P1,FOR,1,0.159043128087983
26,Daniellia oliveri,12.5,33.9,P1,FOR,1,0.0902587423357981
27,Eucalyptus camaldulensis,18,51,P1,FOR,1,0.204282062299676
28,Khaya senegalensis,10.6,42.6,P1,FOR,1,0.142530917100715
29,Khaya senegalensis,20.9,59,P1,FOR,1,0.273397100678652
30,Khaya senegalensis,10.3,43.8,P1,FOR,1,0.15067392525882
31,Khaya senegalensis,15.2,57,P1,FOR,1,0.255175863287831
32,Khaya senegalensis,12.4,42.3,P1,FOR,1,0.140530507978542
33,Khaya senegalensis,17.5,56,P1,FOR,1,0.24630086404144
34,Khaya senegalensis,11.9,34,P1,FOR,1,0.090792027688745
35,Khaya senegalensis,10,43.2,P1,FOR,1,0.146574146845885
36,Daniellia oliveri,10.3,41.7,P1,FOR,1,0.136572101235019
37,Daniellia oliveri,21.8,57.6,P1,FOR,1,0.260576261059352
38,Khaya senegalensis,12,40,P1,FOR,1,0.125663706143592
39,Khaya senegalensis,24.1,62,P1,FOR,1,0.301907054009979
40,Khaya senegalensis,11.5,39.3,P1,FOR,1,0.121303960938572
41,Khaya senegalensis,8.7,27.1,P1,FOR,1,0.057680426518072
42,Khaya senegalensis,11.3,40.8,P1,FOR,1,0.130740519871793
43,Khaya senegalensis,15.4,55.2,P1,FOR,1,0.239313961979856
44,Khaya senegalensis,23.6,61,P1,FOR,1,0.292246656600191
45,Khaya senegalensis,25.2,70,P1,FOR,1,0.38484510006475
46,Khaya senegalensis,23.7,62,P1,FOR,1,0.301907054009979
47,Khaya senegalensis,24.2,61.3,P1,FOR,1,0.295128282461696
48,Khaya senegalensis,10,42.7,P1,FOR,1,0.143200861734093
49,Daniellia oliveri,12.5,36.4,P1,FOR,1,0.104062115057508
50,Khaya senegalensis,14.2,42.3,P2,FOR,1,0.140530507978542
51,Albizia zygia,8.8,34.5,P2,FOR,1,0.0934820163983813
52,Khaya senegalensis,18,45,P2,FOR,1,0.159043128087983
53,Daniellia oliveri,12.5,36.5,P2,FOR,1,0.104634670318625
54,Daniellia oliveri,13,38.6,P2,FOR,1,0.117021184753566
55,Daniellia oliveri,10.8,29.4,P2,FOR,1,0.0678866756514218
56,Khaya senegalensis,9.7,30.2,P2,FOR,1,0.0716314540945009
57,Khaya senegalensis,22,54.4,P2,FOR,1,0.232427590883187
58,Khaya senegalensis,11.4,31.2,P2,FOR,1,0.0764537988177612
59,Khaya senegalensis,17.5,50.5,P2,FOR,1,0.200296166620434
60,Albizia zygia,10.4,39,P2,FOR,1,0.119459060652752
61,Albizia zygia,16.2,46.2,P2,FOR,1,0.167638525588205
62,Daniellia oliveri,18,43,P2,FOR,1,0.145220120412188
63,Albizia zygia,25.2,67,P2,FOR,1,0.352565235549115
64,Albizia zygia,9,33.9,P2,FOR,1,0.0902587423357981
65,Albizia zygia,15.5,38.4,P2,FOR,1,0.115811671581934
66,Albizia zygia,24.1,60,P2,FOR,1,0.282743338823081
67,Albizia zygia,27.8,71,P2,FOR,1,0.395919214168654
68,Albizia zygia,18.4,55.7,P2,FOR,1,0.243668994795895
69,Albizia zygia,17.1,53.5,P2,FOR,1,0.224800589318435
70,Albizia zygia,15.2,38.7,P2,FOR,1,0.117628297533872
71,Khaya senegalensis,15.4,51.4,P2,FOR,1,0.207499053176952
72,Albizia zygia,10.7,31.2,P2,FOR,1,0.0764537988177612
73,Albizia zygia,26.3,71.5,P2,FOR,1,0.40151517608286
74,Khaya senegalensis,23.4,60,P2,FOR,1,0.282743338823081
75,Khaya senegalensis,13.2,53.6,P2,FOR,1,0.225641750751433
76,Khaya senegalensis,12,45.9,P2,FOR,1,0.165468470462738
77,Daniellia oliveri,8.9,32.3,P2,FOR,1,0.0819398049890924
78,Daniellia oliveri,21.3,58.8,P2,FOR,1,0.271546702605687
