S/N,SPECIES,HEIGHT,DIAMETER,PLOT,FOREST,COUNT
1,Khaya senegalensis,18,40.6,P1,FOR,1
2,Khaya senegalensis,17.7,56.5,P1,FOR,1
3,Khaya senegalensis,14.5,35.8,P1,FOR,1
4,Khaya senegalensis,18,49.8,P1,FOR,1
5,Khaya senegalensis,13.5,49.4,P1,FOR,1
6,Albizia zygia,12.6,39.5,P1,FOR,1
7,Albizia zygia,24.3,60,P1,FOR,1
8,Albizia zygia,12,45.8,P1,FOR,1
9,Khaya senegalensis,11,46.6,P1,FOR,1
10,Khaya senegalensis,19.2,50.3,P1,FOR,1
11,Khaya senegalensis,14,40.4,P1,FOR,1
12,Khaya senegalensis,9.4,42.1,P1,FOR,1
13,Khaya senegalensis,15.5,46.4,P1,FOR,1
14,Khaya senegalensis,14.5,47,P1,FOR,1
15,Khaya senegalensis,12,35.5,P1,FOR,1
16,Khaya senegalensis,15.5,54.1,P1,FOR,1
17,Daniellia oliveri,19.9,57,P1,FOR,1
18,Khaya senegalensis,12,34.8,P1,FOR,1
19,Khaya senegalensis,14,43.9,P1,FOR,1
20,Khaya senegalensis,10.4,39.5,P1,FOR,1
21,Khaya senegalensis,17.2,42.3,P1,FOR,1
22,Khaya senegalensis,10.2,37.8,P1,FOR,1
23,Khaya senegalensis,10.2,23.4,P1,FOR,1
24,Khaya senegalensis,10.3,49.8,P1,FOR,1
25,Albizia zygia,12.8,45,P1,FOR,1
26,Daniellia oliveri,12.5,33.9,P1,FOR,1
27,Eucalyptus camaldulensis,18,51,P1,FOR,1
28,Khaya senegalensis,10.6,42.6,P1,FOR,1
29,Khaya senegalensis,20.9,59,P1,FOR,1
30,Khaya senegalensis,10.3,43.8,P1,FOR,1
31,Khaya senegalensis,15.2,57,P1,FOR,1
32,Khaya senegalensis,12.4,42.3,P1,FOR,1
33,Khaya senegalensis,17.5,56,P1,FOR,1
34,Khaya senegalensis,11.9,34,P1,FOR,1
35,Khaya senegalensis,10,43.2,P1,FOR,1
36,Daniellia oliveri,10.3,41.7,P1,FOR,1
37,Daniellia oliveri,21.8,57.6,P1,FOR,1
38,Khaya senegalensis,12,40,P1,FOR,1
39,Khaya senegalensis,24.1,62,P1,FOR,1
40,Khaya senegalensis,11.5,39.3,P1,FOR,1
41,Khaya senegalensis,8.7,27.1,P1,FOR,1
42,Khaya senegalensis,11.3,40.8,P1,FOR,1
43,Khaya senegalensis,15.4,55.2,P1,FOR,1
44,Khaya senegalensis,23.6,61,P1,FOR,1
45,Khaya senegalensis,25.2,70,P1,FOR,1
46,Khaya senegalensis,23.7,62,P1,FOR,1
47,Khaya senegalensis,24.2,61.3,P1,FOR,1
48,Khaya senegalensis,10,42.7,P1,FOR,1
49,Daniellia oliveri,12.5,36.4,P1,FOR,1
50,Khaya senegalensis,14.2,42.3,P2,FOR,1
51,Albizia zygia,8.8,34.5,P2,FOR,1
52,Khaya senegalensis,18,45,P2,FOR,1
53,Daniellia oliveri,12.5,36.5,P2,FOR,1
54,Daniellia oliveri,13,38.6,P2,FOR,1
55,Daniellia oliveri,10.8,29.4,P2,FOR,1
56,Khaya senegalensis,9.7,30.2,P2,FOR,1
57,Khaya senegalensis,22,54.4,P2,FOR,1
58,Khaya senegalensis,11.4,31.2,P2,FOR,1
59,Khaya senegalensis,17.5,50.5,P2,FOR,1
60,Albizia zygia,10.4,39,P2,FOR,1
61,Albizia zygia,16.2,46.2,P2,FOR,1
62,Daniellia oliveri,18,43,P2,FOR,1
63,Albizia zygia,25.2,67,P2,FOR,1
64,Albizia zygia,9,33.9,P2,FOR,1
65,Albizia zygia,15.5,38.4,P2,FOR,1
66,Albizia zygia,24.1,60,P2,FOR,1
67,Albizia zygia,27.8,71,P2,FOR,1
68,Albizia zygia,18.4,55.7,P2,FOR,1
69,Albizia zygia,17.1,53.5,P2,FOR,1
70,Albizia zygia,15.2,38.7,P2,FOR,1
71,Khaya senegalensis,15.4,51.4,P2,FOR,1
72,Albizia zygia,10.7,31.2,P2,FOR,1
73,Albizia zygia,26.3,71.5,P2,FOR,1
74,Khaya senegalensis,23.4,60,P2,FOR,1
75,Khaya senegalensis,13.2,53.6,P2,FOR,1
76,Khaya senegalensis,12,45.9,P2,FOR,1
77,Daniellia oliveri,8.9,32.3,P2,FOR,1
78,Daniellia oliveri,21.3,58.8,P2,FOR,1
79,Khaya senegalensis,23.5,66,P2,FOR,1
80,Daniellia oliveri,20.9,57.3,P2,FOR,1
81,Albizia zygia,8.8,27.2,P2,FOR,1
82,Daniellia oliveri,18.6,57.8,P3,FOR,1
83,Daniellia oliveri,10.2,29,P3,FOR,1
84,Daniellia oliveri,11.5,26.2,P3,FOR,1
85,Daniellia oliveri,9.6,30,P3,FOR,1
86,Daniellia oliveri,15.6,35.2,P3,FOR,1
87,Daniellia oliveri,17.4,47.6,P3,FOR,1
88,Khaya senegalensis,16.7,50.7,P3,FOR,1
89,Khaya senegalensis,18.1,56.2,P3,FOR,1
90,Daniellia oliveri,15.4,34,P3,FOR,1
91,Daniellia oliveri,19.2,57.2,P3,FOR,1
92,Khaya senegalensis,10,40,P3,FOR,1
93,Khaya senegalensis,14.5,45.7,P3,FOR,1
94,Khaya senegalensis,13,35.5,P3,FOR,1
95,Khaya senegalensis,13.5,40.3,P3,FOR,1
96,Khaya senegalensis,13.5,35.5,P3,FOR,1
97,Khaya senegalensis,13.5,34.7,P3,FOR,1
98,Khaya senegalensis,21.9,65,P3,FOR,1
99,Khaya senegalensis,12.5,34.4,P3,FOR,1
100,Khaya senegalensis,15,42.7,P3,FOR,1
101,Parkia biglobosa,23.9,61,P3,FOR,1
102,Daniellia oliveri,13.9,39.2,P3,FOR,1
103,Khaya senegalensis,22.3,63,P3,FOR,1
104,Daniellia oliveri,12.8,52.7,P3,FOR,1
105,Daniellia oliveri,25.4,68,P3,FOR,1
106,Khaya senegalensis,24.6,62,P3,FOR,1
107,Khaya senegalensis,19.2,57.5,P3,FOR,1
108,Khaya senegalensis,17,55,P3,FOR,1
109,Daniellia oliveri,13.5,36.5,P3,FOR,1
110,Khaya senegalensis,16.5,46.5,P3,FOR,1
111,Khaya senegalensis,9.8,28.5,P3,FOR,1
112,Khaya senegalensis,18.5,53.2,P3,FOR,1
113,Khaya senegalensis,13,56.2,P3,FOR,1
114,Daniellia oliveri,22.9,60.5,P3,FOR,1
115,Khaya senegalensis,15.5,53.7,P3,FOR,1
116,Khaya senegalensis,9.7,45.3,P3,FOR,1
117,Khaya senegalensis,10.8,50,P3,FOR,1
118,Daniellia oliveri,11.5,46.5,P3,FOR,1
119,Daniellia oliveri,8.9,33.4,P3,FOR,1
120,Khaya senegalensis,28.1,73.4,P3,FOR,1
121,Khaya senegalensis,15,52.3,P3,FOR,1
122,Khaya senegalensis,16.4,58.9,P3,FOR,1
123,Khaya senegalensis,9,38.7,P3,FOR,1
124,Daniellia oliveri,10.6,33.1,P3,FOR,1
125,Daniellia oliveri,15.5,57.2,P3,FOR,1
126,Daniellia oliveri,8.8,28.9,P3,FOR,1
127,Daniellia oliveri,10.8,34.2,P3,FOR,1
