Tree SNO,Tree PNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,PLOT,WOOD-DENSITY,FOREST,COUNT
1,1,Parkia biglobosa,16.4,14.8,14.1,11.7,P1,0.525,FOR,1
2,2,Parkia biglobosa,12.8,12,9.2,7.05,P1,0.525,FOR,1
3,3,Parkia biglobosa,11.9,10.1,9,7.25,P1,0.525,FOR,1
4,4,Parkia biglobosa,16.3,15,11.2,12.1,P1,0.525,FOR,1
5,5,Anogeissus leiocarpus,9.6,8.8,7.9,6.15,P1,0.6,FOR,1
6,6,Anogeissus leiocarpus,10.1,3.4,2.9,7.9,P1,0.6,FOR,1
7,7,Maranthes polyandra,13.3,10.7,9,10.25,P1,0.6,FOR,1
8,8,Scacia nilotica,14.3,11.9,9.1,13.2,P1,0.6,FOR,1
9,9,Anogeissus leiocarpus,12,9.1,8.1,8.65,P1,0.6,FOR,1
10,10,Scacia nilotica,15.1,27.3,17.9,22.05,P1,0.6,FOR,1
11,11,Ficus sur,9,8.5,6.4,7.15,P1,0.4,FOR,1
12,12,Ficus sur,7.5,6.8,4.7,6.1,P1,0.4,FOR,1
13,13,Zanthoxylus zanthoxyloides,15.4,11.8,10.1,8.35,P1,0.6,FOR,1
14,14,Zanthoxylus zanthoxyloides,11.6,9.7,8.7,5.75,P1,0.6,FOR,1
15,15,Zanthoxylus zanthoxyloides,12.1,11.5,10.2,9.9,P1,0.6,FOR,1
16,16,Vitex doniana,14.4,11.5,9.1,10.15,P1,0.4,FOR,1
17,17,Lannea schimperianna,6.4,4.1,4.2,3.55,P1,0.6,FOR,1
18,18,Vitex doniana,15.3,13,10.3,11.15,P1,0.4,FOR,1
19,19,Parkia biglobosa,11.8,9.2,6.8,5.5,P1,0.525,FOR,1
20,20,Parkia biglobosa,13.7,12,9.5,11.65,P1,0.525,FOR,1
21,21,Parkia biglobosa,23.9,21.6,16.3,17.11,P1,0.525,FOR,1
22,22,Daniella oliveri,28.3,20.1,17.9,16.12,P1,0.533,FOR,1
23,23,Vitex doniana,9.8,7.7,5.5,5.05,P1,0.4,FOR,1
24,24,Khaya senegalensis,25.1,19.3,18,15.1,P1,0.648,FOR,1
25,25,Terminalia avicennoides,6.8,6.4,4.8,4.15,P1,0.6,FOR,1
26,26,Daniella oliveri,9.9,9,7.1,8.5,P1,0.533,FOR,1
27,1,Elaeis guineesis,14.9,11.5,8.5,5.65,P2,0.6,FOR,1
