Tree.SNO,Tree.PNO,SPECIES,DB.cm.,DIAMETER,HEIGHT,CROWN.DIAMETER,Plot
2,2,Parkia biglobosa,12.8,12,9.2,7.05,P1
3,3,Parkia biglobosa,11.9,10.1,9,7.25,P1
4,4,Parkia biglobosa,16.3,15,11.2,12.1,P1
6,6,Anogeissus leiocarpus,10.1,3.4,2.9,7.9,P1
7,7,Maranthes polyandra,13.3,10.7,9,10.25,P1
8,8,Scacia nilotica,14.3,11.9,9.1,13.2,P1
10,10,Scacia nilotica,15.1,27.3,17.9,22.05,P1
11,11,Ficus sur,9,8.5,6.4,7.15,P1
12,12,Ficus sur,7.5,6.8,4.7,6.1,P1
14,14,Zanthoxylus zanthoxyloides,11.6,9.7,8.7,5.75,P1
15,15,Zanthoxylus zanthoxyloides,12.1,11.5,10.2,9.9,P1
16,16,Vitex doniana,14.4,11.5,9.1,10.15,P1
18,18,Vitex doniana,15.3,13,10.3,11.15,P1
19,19,Parkia biglobosa,11.8,9.2,6.8,5.5,P1
20,20,Parkia biglobosa,13.7,12,9.5,11.65,P1
22,22,Daniella oliveri,28.3,20.1,17.9,16.12,P1
23,23,Vitex doniana,9.8,7.7,5.5,5.05,P1
24,24,Khaya senegalensis,25.1,19.3,18,15.1,P1
26,26,Daniella oliveri,9.9,9,7.1,8.5,P1
27,1,Elaeis guineesis,14.9,11.5,8.5,5.65,P2
28,2,Vitex doniana,9.2,9.1,7.1,6.9,P2
30,4,Vitex doniana,10.8,9.5,7.6,8.15,P2
31,5,Daniella oliveri,6.4,6,5.5,4.1,P2
32,6,Elaeis guineesis,10,7.5,4.3,5.95,P2
34,8,Elaeis guineesis,14.3,12.8,7.3,10.14,P2
35,9,Anacardium occidentale,19.1,14.6,13.3,11.65,P2
36,10,Anogeissus leiocarpus,12.4,9.9,7.2,10.85,P2
38,12,Elaeis guineesis,14,11.8,6,7.5,P2
39,13,Elaeis guineesis,19.1,14,7,8.1,P2
40,14,Elaeis guineesis,17.2,19.1,9,11.9,P2
42,16,Kigelia africana,12.7,6.7,5,4.5,P2
43,17,Khaya senegalensis,10.3,8.7,6.9,7,P2
44,18,Elaeis guineesis,16.2,13.3,8.3,10,P2
