,Species,Frequency
1,Parkia biglobosa,25
2,Anogeissus leiocarpus,11
3,Maranthes polyandra,1
4,Scacia nilotica,2
5,Ficus sur,4
6,Zanthoxylus zanthoxyloides,3
7,Vitex doniana,15
8,Lannea schimperianna,5
9,Daniella oliveri,25
10,Khaya senegalensis,18
11,Terminalia avicennoides,1
12,Elaeis guineesis,29
13,Afzelia africana,2
14,Anacardium occidentale,1
15,Kigelia africana,5
16,Prosopis africana,9
17,Gmelina aborea,1
18,Sterculia setigera,5
19,Acacia polyacanta,2
20,Pterocarpus erinaceus,1
21,Sarcocephalus latifolius,1
22,Pseuplocedela kotshyi,1
23,Melicia excelsa,1
24,Crosopteryx febrifuga,2
25,Ficus sycomorus,4
26,Acacia nilotica,1
27,Diospyros mespiliformis,1
28,Ficus trichopoda,1
29,Bukia africana,3
30,Strychinof spinosa,1
31,Stereosperimum kunthianum,1
32,Magifera indica,1
33,Ficus exaspirata,1
34,Lophira lanceolata,1
35,Vitellaria paradoxa,1
36,Total,186
