Tree SNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,LOCATION
1,Daniella oliveri,13.4,11.1,12,11.3,L1
2,Daniella oliveri,11.8,10.2,12.6,8.3,L1
3,Daniella oliveri,15.4,13.5,11.5,11.7,L1
4,Daniella oliveri,9.2,7.4,10.8,6.3,L1
5,Daniella oliveri,10.0,8.8,8,6.5,L1
6,Daniella oliveri,11.9,10.4,10,6.9,L1
7,Daniella oliveri,11.5,10.2,8,7.9,L1
8,Daniella oliveri,15.5,13.7,10,9.8,L1
9,Daniella oliveri,16.1,13.4,8.5,8.1,L1
10,Daniella oliveri,13.0,10.3,8.5,7.2,L1
11,Daniella oliveri,9.1,7.8,8,5.0,L1
12,Daniella oliveri,15.8,13.0,11.5,7.7,L1
13,Daniella oliveri,13.5,12.0,10.2,5.7,L1
14,Daniella oliveri,11.9,10.3,9.5,7.7,L1
15,Daniella oliveri,10.5,8.8,5.5,6.8,L1
16,Daniella oliveri,10.2,8.0,6,5.5,L1
17,Daniella oliveri,10.0,8.1,8.5,6.0,L1
18,Daniella oliveri,10.5,7.4,6,5.6,L1
19,Daniella oliveri,15.3,10.5,10,6.9,L1
20,Daniella oliveri,15.3,10.2,10,6.9,L1
21,Daniella oliveri,15.6,12.7,11,7.9,L1
22,Daniella oliveri,12.9,11.3,10,8.2,L1
23,Daniella oliveri,8.8,7.3,10,6.0,L1
24,Daniella oliveri,12.3,8.6,9.8,6.8,L1
25,Daniella oliveri,20.5,15.3,10.5,9.5,L1
26,Daniella oliveri,9.2,8.1,6,7.1,L1
27,Daniella oliveri,20.7,17.7,16.9,11.5,L1
28,Daniella oliveri,16.4,14.2,9,10.1,L1
29,Daniella oliveri,15.9,12.7,11.1,8.8,L1
30,Daniella oliveri,14.5,10.1,10.5,6.3,L1
31,Daniella oliveri,10.5,8.4,6.5,6.7,L1
32,Daniella oliveri,11.5,9.5,9.8,6.4,L1
