,Species,Initials,Frequency,Trees.HA,Proportion...
1,Tectona grandis,T.g,46,8.8,7.8
2,Gmelina arborea,G.a,390,74.3,66.1
3,Senna siamea,S.s,18,3.4,3.1
4,Khaya senegalensis,K.s,19,3.6,3.2
5,Daniella olivera,D.o,58,11,9.8
6,Vitex doniana,V.d,10,1.9,1.7
7,Anthocleista djalonensis,A.d,17,3.2,2.9
8,Mangifera indica,M.i,1,0.2,0.2
9,Afzelia africana,A.a,8,1.5,1.4
10,Pterocarpus erinaceus,P.e,9,1.7,1.5
11,Parkia biglobosa,P.b,2,0.4,0.3
12,Lannea schimperi,L.s,9,1.7,1.5
13,Sarcocephalus latifolius,S.l,2,0.4,0.3
14,Ficus sur,F.s,1,0.2,0.2
15,Total, ,590,112.3809524,100
