PLOT.NO,S.N,SPECIES,DIAMETER,HEIGHT
P1,1,Tectona grandis,28.6,13.7
P1,3,Kashier(Tiv),46.1,18.5
P1,4,Kashier(Tiv),22,9.3
P1,5,Kashier(Tiv),25.8,11
P1,6,Kashier(Tiv),24.5,10.5
P1,8,Kashier(Tiv),25.1,11
P1,9,Kashier(Tiv),22.9,10.4
P1,10,Kashier(Tiv),27.1,13
P1,11,Kashier(Tiv),23.9,10.3
P1,13,Kashier(Tiv),29,14
P1,14,Kashier(Tiv),27.4,13
P1,15,Khaya senegalensis,22.3,9.8
P1,16,Gmelina arborea,36,15.4
P1,18,Khaya senegalensis,25.8,11.5
P1,19,Khaya senegalensis,21.6,7.8
P1,20,Khaya senegalensis,12.7,4.1
P1,21,Gmelina arborea,25.3,12.2
P1,23,Tectona grandis,28.5,14.9
P1,24,Gmelina arborea,25.5,11.5
P2,25,Tectona grandis,17.8,9.4
P2,26,Kashier(Tiv),31.2,19.7
P2,28,Tectona grandis,22,15.7
P2,29,Tectona grandis,16.2,7.4
P2,30,Tectona grandis,19.7,8.5
P2,31,Tectona grandis,16.2,7.4
P2,33,Gmelina arborea,20.7,13
P2,34,Tectona grandis,24.8,13
P2,35,Tectona grandis,20.7,12.3
P2,36,Tectona grandis,22.3,13.4
P2,38,Gmelina arborea,19.1,8
P2,39,Gmelina arborea,23.2,14
P2,40,Gmelina arborea,20.4,11.5
P2,41,Tectona grandis,16.5,7
P3,43,Gmelina arborea,25.1,14.2
P3,44,Gmelina arborea,24,13.5
P3,45,Gmelina arborea,29.9,16.5
P3,46,Gmelina arborea,38.5,18.4
P3,48,Gmelina arborea,23.9,13.4
P3,49,Gmelina arborea,24.5,13.4
P3,50,Gmelina arborea,54.7,20.4
P3,51,Gmelina arborea,36.3,18.2
P3,53,Gmelina arborea,35,18
P3,54,Gmelina arborea,35.6,18.4
P3,55,Gmelina arborea,22.9,13.3
P3,56,Gmelina arborea,19.7,8.3
P3,58,Gmelina arborea,26.1,14.2
P3,59,Gmelina arborea,32.5,17
P3,60,Gmelina arborea,30.6,17
P3,61,Gmelina arborea,24.2,12.5
P3,63,Gmelina arborea,45.2,20.3
P3,64,Gmelina arborea,21.3,10.5
P3,65,Gmelina arborea,25.5,14
P3,66,Gmelina arborea,29.9,16.3
P3,68,Gmelina arborea,46.5,20.5
P4,69,Tectona grandis,14.5,4.8
P4,70,Tectona grandis,15,4
P4,71,Tectona grandis,17.8,6.3
P4,73,Tectona grandis,14.3,5.1
P4,74,Tectona grandis,12.6,4.3
P4,75,Tectona grandis,13,4
P4,76,Tectona grandis,14.5,4.3
P4,78,Tectona grandis,17.7,6.5
P4,79,Tectona grandis,16.9,4.3
P4,80,Tectona grandis,14,4.4
P4,81,Daniella olivera,17.2,6.3
P4,83,Kashier(Tiv),16.2,4.3
P4,84,Kashier(Tiv),31.5,15
P4,85,Tectona grandis,15,4
P4,86,Tectona grandis,18.3,6.2
P4,88,Tectona grandis,21.3,8
P4,89,Tectona grandis,20.1,8.3
P4,90,Tectona grandis,17.2,6.3
P4,91,Tectona grandis,24.2,11.6
P4,93,Tectona grandis,20.7,9.1
P4,94,Tectona grandis,24.2,10.3
P4,95,Tectona grandis,26.6,12.4
P4,96,Kashier(Tiv),22.3,10.2
P5,98,Gmelina arborea,22.3,14
P5,99,Gmelina arborea,37.2,17.3
P5,100,Gmelina arborea,20.4,11.4
P5,101,Khaya senegalensis,16.9,5.3
P5,103,Gmelina arborea,26.4,13.4
P5,104,Gmelina arborea,20.5,9.4
P5,105,Gmelina arborea,29.6,15.4
P5,106,Gmelina arborea,23.7,13
P5,108,Gmelina arborea,19.1,8.4
P5,109,Gmelina arborea,23.9,12.8
P5,110,Gmelina arborea,22.3,13.4
P5,111,Gmelina arborea,17.2,7.2
P5,113,Gmelina arborea,29,17.4
P5,114,Gmelina arborea,17.2,6.4
P5,115,Gmelina arborea,21.8,10.3
P5,116,Daniella olivera,17.2,6.4
P5,118,Gmelina arborea,26.4,14.4
P5,119,Gmelina arborea,20.7,11.6
P5,120,Gmelina arborea,22.3,14
P5,121,Gmelina arborea,18,7.2
P5,123,Gmelina arborea,18.8,7.4
P5,124,Gmelina arborea,25.9,14.2
P5,125,Gmelina arborea,21,10.5
P5,126,Gmelina arborea,22,12.2
P5,128,Vitex doniana,24.8,13.4
P5,129,Anthocleista djalonensis,25.5,14
P6,130,Gmelina arborea,25.1,13.7
P6,131,Daniella olivera,17.2,6.8
P6,133,Daniella olivera,18.5,6.8
P6,134,Mangifera indica,51.6,20.4
P6,135,Gmelina arborea,19.1,8.4
P6,136,Gmelina arborea,19.7,8.6
P6,138,Gmelina arborea,19.4,8.4
P6,139,Gmelina arborea,29.6,16.4
P6,140,Afzelia africana,22.3,12.3
P6,141,Afzelia africana,24.5,12.5
P6,143,Gmelina arborea,18.8,7.3
P6,144,Daniella olivera,15.9,5.8
P6,145,Gmelina arborea,18.5,7.4
P6,146,Afzelia africana,19.4,6
P6,148,Afzelia africana,17,6.9
P6,149,Afzelia africana,20.1,11.1
P6,150,Gmelina arborea,17.8,6.2
P6,151,Gmelina arborea,19.1,8.1
P6,153,Gmelina arborea,20.1,11.3
P6,154,Gmelina arborea,18.5,7
P6,155,Gmelina arborea,19.7,8.4
P6,156,Gmelina arborea,23.9,13.2
P6,158,Anthocleista djalonensis,24.2,13.4
P7,159,Gmelina arborea,26.4,13.1
P7,160,Gmelina arborea,24.8,12.1
P7,161,Gmelina arborea,26.4,13.5
P7,163,Gmelina arborea,25,12.4
P7,164,Gmelina arborea,22.9,12
P7,165,Gmelina arborea,30.6,17.4
P7,166,Gmelina arborea,24.2,13.1
P7,168,Gmelina arborea,30.9,17.5
P7,169,Kashier(Tiv),32.1,17
P7,170,Gmelina arborea,29.3,15.4
P7,171,Pterocarpus erinaceus,23.6,13.4
P7,173,Gmelina arborea,27.2,16.4
P7,174,Gmelina arborea,35,18.6
P7,175,Gmelina arborea,25.3,14.2
P7,176,Gmelina arborea,24.8,13.4
P7,178,Gmelina arborea,42,18.6
P7,179,Gmelina arborea,25.5,14.4
P7,180,Gmelina arborea,29.8,16.2
P7,181,Gmelina arborea,29,16.4
P7,183,Gmelina arborea,23.6,13.4
P7,184,Gmelina arborea,26.7,14.3
P7,185,Gmelina arborea,22.9,13.2
P7,186,Gmelina arborea,30.6,16.5
P7,188,Gmelina arborea,23.6,12.2
P7,189,Gmelina arborea,22.8,12.8
P8,190,Gmelina arborea,42.5,18.4
P8,191,Gmelina arborea,45.4,19.5
P8,193,Tectona grandis,23.4,12.3
P8,194,Gmelina arborea,21.8,10.4
P8,195,Gmelina arborea,21.3,9.9
P8,196,Gmelina arborea,22.8,13.1
P8,198,Gmelina arborea,31.5,16.8
P8,199,Khaya senegalensis,17.2,6.4
P8,200,Gmelina arborea,26.7,13.3
P8,201,Gmelina arborea,26.9,12.8
P8,203,Anthocleista djalonensis,29.3,16.3
P8,204,Gmelina arborea,31.8,17.1
P8,205,Gmelina arborea,17.8,6.2
P8,206,Gmelina arborea,36.6,18.4
P8,208,Gmelina arborea,36.3,18.5
P8,209,Gmelina arborea,36,17.9
P8,210,Gmelina arborea,32.1,16.9
P9,211,Tectona grandis,10.2,4.8
P9,213,Khaya senegalensis,28.5,17.4
P9,214,Gmelina arborea,15.9,8
P9,215,Gmelina arborea,20.5,11.4
P9,216,Gmelina arborea,24.2,13.1
P9,218,Gmelina arborea,27.4,16.2
