S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha,LIVE.CROWN.LEAVES,TREE.BRANCHES,TREE.BARK,TREE.STEM,FOLIAGE.BIOMASS,FOLIAGE_LEAVES
1,Yew,Taxus baccata,22.5,54.4,8.5,0.64,1,P1,0.232427591,5.229620795,2220.577366,2.220577366,592.1539642,0.592153964,1043.671362,1.043671362,157.9077238,0.157907724,1.394565545,418.9752675,379.9812139,371.4031203,373.5325505,42.49685577,921.1897932
2,Birch,Betula pendula,22.7,52.3,4.3,0.67,1,P1,0.214829174,4.876622255,2169.005259,2.169005259,578.4014023,0.578401402,1019.432472,1.019432472,154.240374,0.154240374,1.300432601,371.9390911,159.5725689,330.1141617,37.22866083,189.5297567,662.1598024
3,Oak,Quercus robur,37.8,74,7,0.7,1,P1,0.430084034,16.2571765,7331.67263,7.33167263,1955.112701,1.955112701,3445.886136,3.445886136,521.363387,0.521363387,4.335247066,361.2405218,619.4485944,224.3086105,671.1186826,104.9509161,585.5062717
4,Pine,Pinus sylvestris,21.2,48.3,6.7,0.45,1,P1,0.183224752,3.884364745,1177.9289,1.1779289,314.1143733,0.314114373,553.626583,0.553626583,83.76383289,0.083763833,1.035830599,176.9060669,839.9953495,36.58446882,1517.506876,89.51388466,699.0248183
5,Oak,Quercus robur,22,45.5,5.2,0.7,1,P1,0.162597055,3.577135205,1672.913686,1.672913686,446.1103162,0.446110316,786.2694323,0.786269432,118.962751,0.118962751,0.953902721,475.1808607,731.5278942,28.08691248,1056.375519,45.94544255,558.2272754
6,Yew,Taxus baccata,39.9,64.6,10.5,0.64,1,P1,0.32775922,13.07759288,5432.129817,5.432129817,1448.567951,1.448567951,2553.101014,2.553101014,386.284787,0.386284787,3.4873581,194.0417877,377.6316415,295.8241466,1631.378868,49.37281295,326.2659481
7,Redwood,Sequoia sempervirens,28.9,40.8,5,0.48,1,P1,0.13074052,3.778401024,1221.1006,1.2211006,325.6268268,0.325626827,573.9172822,0.573917282,86.83382047,0.08683382,1.007573606,112.992749,97.51564033,357.7656667,121.1705543,68.58664582,677.5583505
8,Maple,Acer saccharum,32.7,63.7,8.1,0.71,1,P1,0.318690227,10.42117043,4816.393827,4.816393827,1284.371687,1.284371687,2263.705099,2.263705099,342.4991166,0.342499117,2.778978783,218.3015697,662.2358484,209.103712,228.3221563,156.5138678,883.8467166
9,Yew,Taxus baccata,31.7,43.5,5.6,0.64,1,P1,0.148616967,4.711157869,2005.448844,2.005448844,534.7863585,0.534786358,942.5609568,0.942560957,142.6096956,0.142609696,1.256308765,238.0839973,969.3152324,242.5981415,-4.661758696,157.5312077,718.0039598
10,Pine,Pinus sylvestris,25.2,44.4,5.4,0.45,1,P1,0.154830252,3.901722359,1183.065972,1.183065972,315.4842592,0.315484259,556.0410069,0.556041007,84.12913579,0.084129136,1.040459296,359.8912815,401.8255383,135.8928188,82.68451741,162.4760689,657.6979208
11,Pine,Pinus sylvestris,30.7,67.8,7.6,0.45,1,P1,0.361034969,11.08377356,3277.614668,3.277614668,874.0305782,0.874030578,1540.478894,1.540478894,233.0748209,0.233074821,2.955672949,318.7558681,587.6667295,67.95192894,288.4216089,137.7869049,251.1244555
12,Beech,Fagus sylvatica,23.3,43,7.1,0.67,1,P1,0.14522012,3.383628806,1518.21709,1.51821709,404.8578907,0.404857891,713.5620324,0.713562032,107.9621042,0.107962104,0.902301015,369.38607,366.3739885,92.18210865,601.4571459,121.4069693,817.7392825
13,Ash,Fraxinus excelsior,27.4,41.1,5,0.67,1,P1,0.132670243,3.635164663,1628.275384,1.628275384,434.206769,0.434206769,765.2894304,0.76528943,115.7884717,0.115788472,0.969377243,456.0842417,628.924242,319.0304394,1214.844602,141.5244274,173.4477747
14,Cherry,Prunus avium,22.2,46.3,4.1,0.72,1,P1,0.168365019,3.737703419,1794.841813,1.794841813,478.6244833,0.478624483,843.5756519,0.843575652,127.6331956,0.127633196,0.996720912,487.7779441,712.0954638,146.716201,138.2373289,193.2071213,883.6396048
15,Ash,Fraxinus excelsior,30.6,44.3,6.3,0.67,1,P1,0.154133604,4.716488288,2099.463156,2.099463156,559.8568416,0.559856842,986.7476833,0.986747683,149.2951578,0.149295158,1.25773021,220.7787395,355.0464491,67.7459212,194.0673298,102.7549349,368.8294699
16,Redwood,Sequoia sempervirens,39.4,67.3,11.1,0.48,1,P1,0.355729605,14.01574643,4389.30975,4.38930975,1170.4826,1.1704826,2062.975583,2.062975583,312.1286934,0.312128693,3.737532381,230.1662125,600.4902908,159.0829541,677.0813045,87.15585664,261.2509352
17,Willow,Salix alba,24.6,56.9,3.3,0.47,1,P1,0.254281295,6.255319852,1956.655564,1.956655564,521.7748169,0.521774817,919.6281148,0.919628115,139.1399512,0.139139951,1.668085294,332.5686991,651.4321131,164.6224285,1477.239825,30.28806743,183.7409365
18,Poplar,Populus tremula,37.4,70.3,13.9,0.42,1,P1,0.388150841,14.51684145,3987.363691,3.987363691,1063.296984,1.063296984,1874.060935,1.874060935,283.5458625,0.283545862,3.87115772,436.4311535,723.881127,257.6912417,625.0240027,104.9051899,976.6839599
19,Walnut,Juglans regia,22.3,41.5,11.3,0.61,1,P1,0.135265199,3.016413931,1238.43271,1.23843271,330.2487227,0.330248723,582.0633738,0.582063374,88.06632606,0.088066326,0.804377048,12.98111299,514.0276969,144.3938979,1339.989904,81.68726592,318.0428987
20,Walnut,Juglans regia,26.8,44.7,7.2,0.61,1,P1,0.156929622,4.20571386,1712.997887,1.712997887,456.7994366,0.456799437,805.109007,0.805109007,121.8131831,0.121813183,1.121523696,449.2413336,653.1826278,290.4243083,1305.260322,53.3574542,433.1712959
21,Fir,Abies alba,30.8,51.8,9.4,0.42,1,P1,0.210741177,6.490828245,1817.621964,1.817621964,484.6991903,0.48469919,854.282323,0.854282323,129.2531174,0.129253117,1.730887532,410.7130593,923.1265679,130.6656525,440.2584228,139.8331275,463.0982214
22,Birch,Betula pendula,24.8,46.6,6.9,0.67,1,P1,0.170553924,4.229737305,1887.722801,1.887722801,503.3927469,0.503392747,887.2297165,0.887229716,134.2380659,0.134238066,1.127929948,355.8321256,337.3499826,285.3380412,367.299398,100.399352,469.1361082
23,Maple,Acer saccharum,24,59.9,10.3,0.71,1,P1,0.281801646,6.763239514,3158.395715,3.158395715,842.2388573,0.842238857,1484.445986,1.484445986,224.5970286,0.224597029,1.803530537,327.3012722,585.6359171,141.0555437,1595.406949,106.6816195,121.8338277
24,Redwood,Sequoia sempervirens,26.8,44.6,8.5,0.48,1,P1,0.156228261,4.186917397,1349.794689,1.349794689,359.9452505,0.35994525,634.4035039,0.634403504,95.98540012,0.0959854,1.116511306,372.8676672,50.25040797,421.1780235,1514.177101,134.3684271,218.2464578
25,Oak,Quercus robur,22.4,53.5,7.1,0.7,1,P1,0.224800589,5.035533201,2335.712579,2.335712579,622.8566878,0.622856688,1097.784912,1.097784912,166.0951167,0.166095117,1.342808854,300.495402,603.8350364,425.9875584,-93.74417382,42.14064358,341.0109553
26,Beech,Fagus sylvatica,37.8,60.6,12.2,0.67,1,P1,0.28842648,10.90252094,4756.446658,4.756446658,1268.385776,1.268385776,2235.529929,2.235529929,338.2362068,0.338236207,2.907338918,498.8437319,494.7773725,154.8957499,1591.43405,76.29770289,237.5380349
27,Cherry,Prunus avium,26.7,46.1,9.7,0.72,1,P1,0.166913603,4.456593202,2131.03596,2.13103596,568.2762559,0.568276256,1001.586901,1.001586901,151.5403349,0.151540335,1.188424854,277.4987166,89.10524774,493.0275705,-206.0655183,196.0550415,465.6132024
28,Spruce,Picea abies,21.2,42.1,4,0.43,1,P1,0.139204756,2.951140825,861.7528496,0.86175285,229.8007599,0.22980076,405.0238393,0.405023839,61.28020264,0.061280203,0.786970887,285.1519122,117.5245215,133.8904492,527.8920171,92.3492244,79.34063035
29,Cedar,Cedrus libani,35.4,62.4,5.3,0.56,1,P1,0.305815195,10.82585791,3965.282025,3.965282025,1057.40854,1.05740854,1863.682552,1.863682552,281.9756107,0.281975611,2.886895443,468.8609919,569.4270998,110.6385406,1442.098681,199.6013125,797.8290765
30,Magnolia,Magnolia grandiflora,31.8,73.6,6,0.6,1,P1,0.425447044,13.52921598,5272.359888,5.272359888,1405.962637,1.405962637,2478.009147,2.478009147,374.9233698,0.37492337,3.607790929,397.549929,540.1597832,497.5822693,1151.450707,179.608422,244.5202063
31,Larch,Larix decidua,24.8,47,4.7,0.59,1,P1,0.173494454,4.302662467,1695.455856,1.695455856,452.1215617,0.452121562,796.8642525,0.796864252,120.5657498,0.12056575,1.147376658,353.1001704,169.8398552,67.02062171,627.4322925,51.90900451,354.352113
32,Cedar,Cedrus libani,26.5,45.7,3.7,0.56,1,P1,0.164029621,4.346784957,1627.387493,1.627387493,433.9699982,0.433969998,764.8721219,0.764872122,115.7253329,0.115725333,1.159142655,406.7535425,494.2393948,284.6645137,144.4355469,142.3290284,910.4390669
33,Maple,Acer saccharum,23.6,60.5,8.5,0.71,1,P1,0.287475363,6.784418561,3168.048479,3.168048479,844.8129278,0.844812928,1488.982785,1.488982785,225.2834474,0.225283447,1.809178283,225.1918147,151.9219384,338.5985828,-220.5574296,143.5482347,969.656264
34,Birch,Betula pendula,38.2,45.4,4.4,0.67,1,P1,0.161883128,6.183935484,2734.833799,2.734833799,729.2890132,0.729289013,1285.371886,1.285371886,194.4770702,0.19447707,1.649049462,69.71875465,767.8585517,96.61219995,130.6929879,71.03032521,941.8067654
35,Birch,Betula pendula,26.2,64.5,5.1,0.67,1,P1,0.326745271,8.560726098,3756.528559,3.756528559,1001.740949,1.001740949,1765.568423,1.765568423,267.1309198,0.26713092,2.282860293,451.040634,145.426539,71.56000532,123.6192455,56.34644698,61.69942756
36,Locust,Robinia pseudoacacia,28,55.8,4.5,0.69,1,P1,0.244544714,6.847251985,3108.765558,3.108765558,829.0041487,0.829004149,1461.119812,1.461119812,221.067773,0.221067773,1.825933863,462.7785705,950.5858555,272.5463947,393.5289311,135.0416524,501.7443836
