S/N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
1,Yew,Taxus baccata,22.5,54.4,8.5,0.64,1,P1
2,Birch,Betula pendula,22.7,52.3,4.3,0.67,1,P1
3,Oak,Quercus robur,37.8,74.0,7.0,0.7,1,P1
4,Pine,Pinus sylvestris,21.2,48.3,6.7,0.45,1,P1
5,Oak,Quercus robur,22.0,45.5,5.2,0.7,1,P1
6,Yew,Taxus baccata,39.9,64.6,10.5,0.64,1,P1
7,Redwood,Sequoia sempervirens,28.9,40.8,5.0,0.48,1,P1
8,Maple,Acer saccharum,32.7,63.7,8.1,0.71,1,P1
9,Yew,Taxus baccata,31.7,43.5,5.6,0.64,1,P1
10,Pine,Pinus sylvestris,25.2,44.4,5.4,0.45,1,P1
11,Pine,Pinus sylvestris,30.7,67.8,7.6,0.45,1,P1
12,Beech,Fagus sylvatica,23.3,43.0,7.1,0.67,1,P1
13,Ash,Fraxinus excelsior,27.4,41.1,5.0,0.67,1,P1
14,Cherry,Prunus avium,22.2,46.3,4.1,0.72,1,P1
15,Ash,Fraxinus excelsior,30.6,44.3,6.3,0.67,1,P1
16,Redwood,Sequoia sempervirens,39.4,67.3,11.1,0.48,1,P1
17,Willow,Salix alba,24.6,56.9,3.3,0.47,1,P1
18,Poplar,Populus tremula,37.4,70.3,13.9,0.42,1,P1
19,Walnut,Juglans regia,22.3,41.5,11.3,0.61,1,P1
20,Walnut,Juglans regia,26.8,44.7,7.2,0.61,1,P1
21,Fir,Abies alba,30.8,51.8,9.4,0.42,1,P1
22,Birch,Betula pendula,24.8,46.6,6.9,0.67,1,P1
23,Maple,Acer saccharum,24.0,59.9,10.3,0.71,1,P1
24,Redwood,Sequoia sempervirens,26.8,44.6,8.5,0.48,1,P1
25,Oak,Quercus robur,22.4,53.5,7.1,0.7,1,P1
26,Beech,Fagus sylvatica,37.8,60.6,12.2,0.67,1,P1
27,Cherry,Prunus avium,26.7,46.1,9.7,0.72,1,P1
28,Spruce,Picea abies,21.2,42.1,4.0,0.43,1,P1
29,Cedar,Cedrus libani,35.4,62.4,5.3,0.56,1,P1
30,Magnolia,Magnolia grandiflora,31.8,73.6,6.0,0.6,1,P1
31,Larch,Larix decidua,24.8,47.0,4.7,0.59,1,P1
32,Cedar,Cedrus libani,26.5,45.7,3.7,0.56,1,P1
33,Maple,Acer saccharum,23.6,60.5,8.5,0.71,1,P1
34,Birch,Betula pendula,38.2,45.4,4.4,0.67,1,P1
35,Birch,Betula pendula,26.2,64.5,5.1,0.67,1,P1
36,Locust,Robinia pseudoacacia,28.0,55.8,4.5,0.69,1,P1
37,Redwood,Sequoia sempervirens,23.5,54.9,5.2,0.48,1,P1
38,Magnolia,Magnolia grandiflora,24.5,40.2,6.2,0.6,1,P1
39,Hemlock,Tsuga canadensis,24.1,50.2,3.4,0.45,1,P1
40,Locust,Robinia pseudoacacia,22.1,62.1,4.3,0.69,1,P1
41,Spruce,Picea abies,24.1,65.3,4.2,0.43,1,P1
42,Spruce,Picea abies,23.7,45.2,3.3,0.43,1,P1
43,Oak,Quercus robur,34.0,59.8,8.4,0.7,1,P1
44,Cherry,Prunus avium,44.0,71.2,13.0,0.72,1,P1
45,Cherry,Prunus avium,35.7,63.5,5.8,0.72,1,P1
46,Poplar,Populus tremula,29.9,63.1,7.8,0.42,1,P1
47,Fir,Abies alba,27.9,44.3,3.4,0.42,1,P1
48,Cedar,Cedrus libani,21.7,46.9,10.4,0.56,1,P1
49,Willow,Salix alba,24.9,42.0,10.8,0.47,1,P1
50,Fir,Abies alba,21.3,49.4,5.8,0.42,1,P1
51,Cypress,Cupressus sempervirens,26.9,60.3,8.1,0.47,1,P1
52,Maple,Acer saccharum,25.7,45.1,4.3,0.71,1,P1
53,Poplar,Populus tremula,22.0,44.2,3.6,0.42,1,P1
54,Locust,Robinia pseudoacacia,33.9,63.9,8.9,0.69,1,P1
55,Willow,Salix alba,21.2,46.1,4.0,0.47,1,P1
56,Locust,Robinia pseudoacacia,35.2,75.8,7.4,0.69,1,P1
57,Magnolia,Magnolia grandiflora,35.6,71.6,8.6,0.6,1,P1
58,Oak,Quercus robur,26.0,40.6,8.2,0.7,1,P1
59,Walnut,Juglans regia,20.1,49.9,3.8,0.61,1,P1
60,Cypress,Cupressus sempervirens,22.9,40.7,4.4,0.47,1,P1
61,Birch,Betula pendula,21.6,51.1,4.7,0.67,1,P1
62,Cedar,Cedrus libani,23.7,49.7,5.7,0.56,1,P1
63,Willow,Salix alba,21.7,58.6,3.9,0.47,1,P1
64,Yew,Taxus baccata,32.7,57.4,6.3,0.64,1,P1
65,Locust,Robinia pseudoacacia,31.7,72.8,3.7,0.69,1,P1
66,Cherry,Prunus avium,21.0,50.0,4.2,0.72,1,P1
67,Walnut,Juglans regia,28.1,47.4,6.9,0.61,1,P1
68,Poplar,Populus tremula,20.6,45.6,3.4,0.42,1,P1
69,Ash,Fraxinus excelsior,31.9,55.1,5.9,0.67,1,P1
70,Walnut,Juglans regia,39.2,79.9,11.7,0.61,1,P1
71,Yew,Taxus baccata,26.7,48.9,4.1,0.64,1,P1
72,Hemlock,Tsuga canadensis,39.1,88.3,13.3,0.45,1,P1
73,Walnut,Juglans regia,27.4,59.3,8.4,0.61,1,P1
74,Magnolia,Magnolia grandiflora,28.3,55.9,4.6,0.6,1,P1
75,Walnut,Juglans regia,28.1,44.8,7.2,0.61,1,P1
76,Locust,Robinia pseudoacacia,32.8,57.2,6.4,0.69,1,P1
77,Larch,Larix decidua,24.2,57.4,4.8,0.59,1,P1
78,Yew,Taxus baccata,35.9,65.6,5.4,0.64,1,P1
79,Cherry,Prunus avium,21.1,43.6,5.2,0.72,1,P1
80,Hemlock,Tsuga canadensis,24.7,44.5,4.6,0.45,1,P1
81,Fir,Abies alba,24.1,42.0,5.7,0.42,1,P1
82,Oak,Quercus robur,24.2,41.6,5.8,0.7,1,P1
83,Cedar,Cedrus libani,23.0,45.5,5.2,0.56,1,P1
84,Beech,Fagus sylvatica,24.9,54.2,5.9,0.67,1,P1
85,Locust,Robinia pseudoacacia,23.7,47.1,3.6,0.69,1,P1
86,Beech,Fagus sylvatica,25.2,47.4,3.1,0.67,1,P1
87,Willow,Salix alba,23.7,67.9,9.5,0.47,1,P1
88,Cypress,Cupressus sempervirens,28.4,44.1,3.7,0.47,1,P1
89,Birch,Betula pendula,22.7,46.0,7.6,0.67,1,P1
90,Beech,Fagus sylvatica,33.7,55.3,8.1,0.67,1,P1
91,Cherry,Prunus avium,29.1,53.9,8.7,0.72,1,P1
92,Cedar,Cedrus libani,25.3,50.3,5.3,0.56,1,P1
93,Cypress,Cupressus sempervirens,21.3,48.6,7.8,0.47,1,P1
94,Walnut,Juglans regia,27.8,48.1,5.7,0.61,1,P1
95,Locust,Robinia pseudoacacia,36.2,56.7,9.4,0.69,1,P1
96,Cherry,Prunus avium,25.4,55.3,4.8,0.72,1,P1
97,Birch,Betula pendula,36.7,77.7,15.5,0.67,1,P1
98,Cedar,Cedrus libani,35.8,63.1,10.4,0.56,1,P1
99,Poplar,Populus tremula,25.2,40.3,3.7,0.42,1,P1
100,Pine,Pinus sylvestris,36.8,55.6,4.7,0.45,1,P1
101,Locust,Robinia pseudoacacia,27.1,54.4,5.6,0.69,1,P1
102,Hemlock,Tsuga canadensis,22.1,43.1,4.7,0.45,1,P1
103,Larch,Larix decidua,20.8,51.6,3.1,0.59,1,P1
104,Pine,Pinus sylvestris,21.2,57.0,4.2,0.45,1,P1
105,Willow,Salix alba,26.0,60.3,8.1,0.47,1,P1
106,Poplar,Populus tremula,22.9,44.8,3.3,0.42,1,P1
107,Beech,Fagus sylvatica,25.6,66.4,4.5,0.67,1,P1
108,Larch,Larix decidua,35.5,70.9,10.5,0.59,1,P1
109,Redwood,Sequoia sempervirens,22.0,45.7,5.9,0.48,1,P1
110,Cypress,Cupressus sempervirens,27.4,65.3,5.7,0.47,1,P1
111,Yew,Taxus baccata,27.6,50.2,4.5,0.64,1,P1
112,Locust,Robinia pseudoacacia,29.1,44.5,5.6,0.69,1,P1
113,Pine,Pinus sylvestris,34.9,60.9,12.6,0.45,1,P1
114,Oak,Quercus robur,21.7,47.1,6.4,0.7,1,P1
115,Willow,Salix alba,22.8,50.2,6.3,0.47,1,P1
116,Hemlock,Tsuga canadensis,26.2,61.3,5.1,0.45,1,P1
117,Locust,Robinia pseudoacacia,20.5,46.9,6.5,0.69,1,P1
118,Pine,Pinus sylvestris,25.6,43.5,8.2,0.45,1,P1
119,Walnut,Juglans regia,21.4,50.3,11.6,0.61,1,P1
120,Walnut,Juglans regia,29.8,57.9,7.7,0.61,1,P1
121,Cherry,Prunus avium,26.4,46.3,6.4,0.72,1,P1
122,Beech,Fagus sylvatica,30.5,56.7,6.6,0.67,1,P1
123,Fir,Abies alba,27.9,44.6,4.6,0.42,1,P1
124,Cedar,Cedrus libani,20.8,49.3,3.9,0.56,1,P1
125,Hemlock,Tsuga canadensis,36.6,80.2,10.1,0.45,1,P1
126,Maple,Acer saccharum,24.1,55.8,6.1,0.71,1,P1
127,Hemlock,Tsuga canadensis,25.2,47.6,4.3,0.45,1,P1
128,Maple,Acer saccharum,22.3,50.8,3.4,0.71,1,P1
129,Birch,Betula pendula,25.6,61.9,8.1,0.67,1,P1
130,Larch,Larix decidua,23.0,42.0,4.1,0.59,1,P1
131,Yew,Taxus baccata,33.0,73.5,8.0,0.64,1,P1
132,Ash,Fraxinus excelsior,23.1,61.4,3.7,0.67,1,P1
133,Hemlock,Tsuga canadensis,26.5,55.9,3.0,0.45,1,P1
134,Magnolia,Magnolia grandiflora,25.2,49.1,8.5,0.6,1,P1
135,Ash,Fraxinus excelsior,46.2,71.1,10.3,0.67,1,P1
136,Redwood,Sequoia sempervirens,25.8,61.1,10.5,0.48,1,P1
137,Willow,Salix alba,33.1,81.1,6.3,0.47,1,P1
138,Pine,Pinus sylvestris,28.1,59.2,4.3,0.45,1,P1
139,Beech,Fagus sylvatica,40.3,75.9,10.1,0.67,1,P1
140,Spruce,Picea abies,35.8,63.1,9.2,0.43,1,P1
141,Birch,Betula pendula,28.3,49.2,6.2,0.67,1,P1
142,Larch,Larix decidua,21.3,42.5,6.7,0.59,1,P1
143,Yew,Taxus baccata,36.4,74.1,7.9,0.64,1,P1
144,Willow,Salix alba,32.5,66.4,11.1,0.47,1,P1
145,Walnut,Juglans regia,40.6,70.9,6.9,0.61,1,P1
146,Maple,Acer saccharum,26.3,44.3,8.2,0.71,1,P1
147,Willow,Salix alba,33.8,65.2,9.9,0.47,1,P1
148,Birch,Betula pendula,28.2,48.0,6.3,0.67,1,P1
149,Pine,Pinus sylvestris,36.8,85.1,12.4,0.45,1,P1
150,Redwood,Sequoia sempervirens,33.0,58.7,9.5,0.48,1,P1
151,Fir,Abies alba,27.8,58.8,5.2,0.42,1,P1
152,Magnolia,Magnolia grandiflora,30.2,50.0,5.9,0.6,1,P1
153,Redwood,Sequoia sempervirens,25.7,46.5,6.3,0.48,1,P1
154,Larch,Larix decidua,30.1,49.8,9.4,0.59,1,P1
155,Larch,Larix decidua,20.2,42.4,4.0,0.59,1,P1
156,Cypress,Cupressus sempervirens,21.7,42.3,5.5,0.47,1,P1
157,Poplar,Populus tremula,22.8,41.9,9.0,0.42,1,P1
158,Fir,Abies alba,24.3,69.8,3.0,0.42,1,P1
159,Locust,Robinia pseudoacacia,29.9,53.1,8.2,0.69,1,P1
160,Hemlock,Tsuga canadensis,22.0,48.9,5.0,0.45,1,P1
161,Locust,Robinia pseudoacacia,25.6,53.0,11.6,0.69,1,P1
162,Larch,Larix decidua,30.7,54.6,8.4,0.59,1,P1
163,Willow,Salix alba,32.5,61.8,8.7,0.47,1,P1
164,Hemlock,Tsuga canadensis,53.3,87.8,19.0,0.45,1,P1
165,Poplar,Populus tremula,22.3,50.0,5.1,0.42,1,P1
166,Yew,Taxus baccata,22.1,49.8,3.6,0.64,1,P1
167,Larch,Larix decidua,27.6,48.5,5.8,0.59,1,P1
168,Cypress,Cupressus sempervirens,23.3,46.6,6.4,0.47,1,P1
169,Ash,Fraxinus excelsior,28.3,48.7,8.1,0.67,1,P1
170,Cypress,Cupressus sempervirens,27.2,45.8,3.0,0.47,1,P1
171,Willow,Salix alba,20.4,52.9,3.4,0.47,1,P1
172,Fir,Abies alba,23.2,45.1,4.3,0.42,1,P1
173,Larch,Larix decidua,21.3,49.9,5.7,0.59,1,P1
174,Birch,Betula pendula,38.9,72.6,14.8,0.67,1,P1
175,Willow,Salix alba,22.0,53.6,8.9,0.47,1,P1
176,Locust,Robinia pseudoacacia,31.0,61.3,7.2,0.69,1,P1
177,Spruce,Picea abies,21.8,44.0,3.4,0.43,1,P1
178,Cherry,Prunus avium,29.4,45.0,3.7,0.72,1,P1
179,Poplar,Populus tremula,29.3,42.9,3.5,0.42,1,P1
180,Redwood,Sequoia sempervirens,24.7,51.6,4.1,0.48,1,P1
181,Willow,Salix alba,28.4,60.1,8.5,0.47,1,P1
182,Hemlock,Tsuga canadensis,28.2,59.4,11.5,0.45,1,P1
183,Maple,Acer saccharum,21.4,50.8,4.5,0.71,1,P1
184,Yew,Taxus baccata,30.0,43.6,9.0,0.64,1,P1
185,Larch,Larix decidua,22.7,43.6,4.0,0.59,1,P1
186,Larch,Larix decidua,24.6,41.9,3.8,0.59,1,P1
187,Hemlock,Tsuga canadensis,23.5,58.7,12.0,0.45,1,P1
188,Fir,Abies alba,23.8,55.2,3.7,0.42,1,P1
189,Pine,Pinus sylvestris,29.9,66.6,4.3,0.45,1,P1
190,Fir,Abies alba,29.1,48.1,3.2,0.42,1,P1
191,Hemlock,Tsuga canadensis,20.1,41.4,6.3,0.45,1,P1
192,Oak,Quercus robur,26.2,46.1,3.2,0.7,1,P1
193,Birch,Betula pendula,20.4,48.3,6.2,0.67,1,P1
194,Pine,Pinus sylvestris,26.5,65.2,5.8,0.45,1,P1
195,Oak,Quercus robur,33.5,55.4,10.4,0.7,1,P1
196,Beech,Fagus sylvatica,35.7,72.3,14.7,0.67,1,P1
197,Cypress,Cupressus sempervirens,27.6,53.4,4.1,0.47,1,P1
198,Maple,Acer saccharum,31.4,71.6,6.6,0.71,1,P1
199,Birch,Betula pendula,21.1,63.7,5.1,0.67,1,P1
200,Magnolia,Magnolia grandiflora,31.5,60.8,8.4,0.6,1,P1
201,Beech,Fagus sylvatica,44.1,68.1,14.2,0.67,1,P1
202,Cherry,Prunus avium,31.1,67.2,8.8,0.72,1,P1
203,Cedar,Cedrus libani,20.6,55.8,3.0,0.56,1,P1
