,S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
1,1,Yew,Taxus baccata,22.5,54.4,8.5,0.64,1,P1
2,2,Birch,Betula pendula,22.7,52.3,4.3,0.67,1,P1
3,3,Oak,Quercus robur,37.8,74,7,0.7,1,P1
5,5,Oak,Quercus robur,22,45.5,5.2,0.7,1,P1
6,6,Yew,Taxus baccata,39.9,64.6,10.5,0.64,1,P1
8,8,Maple,Acer saccharum,32.7,63.7,8.1,0.71,1,P1
9,9,Yew,Taxus baccata,31.7,43.5,5.6,0.64,1,P1
10,10,Pine,Pinus sylvestris,25.2,44.4,5.4,0.45,1,P1
11,11,Pine,Pinus sylvestris,30.7,67.8,7.6,0.45,1,P1
12,12,Beech,Fagus sylvatica,23.3,43,7.1,0.67,1,P1
14,14,Cherry,Prunus avium,22.2,46.3,4.1,0.72,1,P1
15,15,Ash,Fraxinus excelsior,30.6,44.3,6.3,0.67,1,P1
17,17,Willow,Salix alba,24.6,56.9,3.3,0.47,1,P1
18,18,Poplar,Populus tremula,37.4,70.3,13.9,0.42,1,P1
19,19,Walnut,Juglans regia,22.3,41.5,11.3,0.61,1,P1
20,20,Walnut,Juglans regia,26.8,44.7,7.2,0.61,1,P1
21,21,Fir,Abies alba,30.8,51.8,9.4,0.42,1,P1
23,23,Maple,Acer saccharum,24,59.9,10.3,0.71,1,P1
24,24,Redwood,Sequoia sempervirens,26.8,44.6,8.5,0.48,1,P1
26,26,Beech,Fagus sylvatica,37.8,60.6,12.2,0.67,1,P1
27,27,Cherry,Prunus avium,26.7,46.1,9.7,0.72,1,P1
28,28,Spruce,Picea abies,21.2,42.1,4,0.43,1,P1
29,29,Cedar,Cedrus libani,35.4,62.4,5.3,0.56,1,P1
30,30,Magnolia,Magnolia grandiflora,31.8,73.6,6,0.6,1,P1
32,32,Cedar,Cedrus libani,26.5,45.7,3.7,0.56,1,P1
33,33,Maple,Acer saccharum,23.6,60.5,8.5,0.71,1,P1
35,35,Birch,Betula pendula,26.2,64.5,5.1,0.67,1,P1
36,36,Locust,Robinia pseudoacacia,28,55.8,4.5,0.69,1,P1
37,37,Redwood,Sequoia sempervirens,23.5,54.9,5.2,0.48,1,P1
38,38,Magnolia,Magnolia grandiflora,24.5,40.2,6.2,0.6,1,P1
39,39,Hemlock,Tsuga canadensis,24.1,50.2,3.4,0.45,1,P1
41,41,Spruce,Picea abies,24.1,65.3,4.2,0.43,1,P1
42,42,Spruce,Picea abies,23.7,45.2,3.3,0.43,1,P1
44,44,Cherry,Prunus avium,44,71.2,13,0.72,1,P1
45,45,Cherry,Prunus avium,35.7,63.5,5.8,0.72,1,P1
46,46,Poplar,Populus tremula,29.9,63.1,7.8,0.42,1,P1
47,47,Fir,Abies alba,27.9,44.3,3.4,0.42,1,P1
48,48,Cedar,Cedrus libani,21.7,46.9,10.4,0.56,1,P1
50,50,Fir,Abies alba,21.3,49.4,5.8,0.42,1,P1
51,51,Cypress,Cupressus sempervirens,26.9,60.3,8.1,0.47,1,P1
53,53,Poplar,Populus tremula,22,44.2,3.6,0.42,1,P1
54,54,Locust,Robinia pseudoacacia,33.9,63.9,8.9,0.69,1,P1
55,55,Willow,Salix alba,21.2,46.1,4,0.47,1,P1
56,56,Locust,Robinia pseudoacacia,35.2,75.8,7.4,0.69,1,P1
57,57,Magnolia,Magnolia grandiflora,35.6,71.6,8.6,0.6,1,P1
59,59,Walnut,Juglans regia,20.1,49.9,3.8,0.61,1,P1
60,60,Cypress,Cupressus sempervirens,22.9,40.7,4.4,0.47,1,P1
62,62,Cedar,Cedrus libani,23.7,49.7,5.7,0.56,1,P1
63,63,Willow,Salix alba,21.7,58.6,3.9,0.47,1,P1
64,64,Yew,Taxus baccata,32.7,57.4,6.3,0.64,1,P1
65,65,Locust,Robinia pseudoacacia,31.7,72.8,3.7,0.69,1,P1
66,66,Cherry,Prunus avium,21,50,4.2,0.72,1,P1
68,68,Poplar,Populus tremula,20.6,45.6,3.4,0.42,1,P1
69,69,Ash,Fraxinus excelsior,31.9,55.1,5.9,0.67,1,P1
71,71,Yew,Taxus baccata,26.7,48.9,4.1,0.64,1,P1
72,72,Hemlock,Tsuga canadensis,39.1,88.3,13.3,0.45,1,P1
73,73,Walnut,Juglans regia,27.4,59.3,8.4,0.61,1,P1
74,74,Magnolia,Magnolia grandiflora,28.3,55.9,4.6,0.6,1,P1
75,75,Walnut,Juglans regia,28.1,44.8,7.2,0.61,1,P1
77,77,Larch,Larix decidua,24.2,57.4,4.8,0.59,1,P1
78,78,Yew,Taxus baccata,35.9,65.6,5.4,0.64,1,P1
80,80,Hemlock,Tsuga canadensis,24.7,44.5,4.6,0.45,1,P1
81,81,Fir,Abies alba,24.1,42,5.7,0.42,1,P1
82,82,Oak,Quercus robur,24.2,41.6,5.8,0.7,1,P1
83,83,Cedar,Cedrus libani,23,45.5,5.2,0.56,1,P1
84,84,Beech,Fagus sylvatica,24.9,54.2,5.9,0.67,1,P1
86,86,Beech,Fagus sylvatica,25.2,47.4,3.1,0.67,1,P1
87,87,Willow,Salix alba,23.7,67.9,9.5,0.47,1,P1
89,89,Birch,Betula pendula,22.7,46,7.6,0.67,1,P1
90,90,Beech,Fagus sylvatica,33.7,55.3,8.1,0.67,1,P1
91,91,Cherry,Prunus avium,29.1,53.9,8.7,0.72,1,P1
92,92,Cedar,Cedrus libani,25.3,50.3,5.3,0.56,1,P1
93,93,Cypress,Cupressus sempervirens,21.3,48.6,7.8,0.47,1,P1
95,95,Locust,Robinia pseudoacacia,36.2,56.7,9.4,0.69,1,P1
96,96,Cherry,Prunus avium,25.4,55.3,4.8,0.72,1,P1
98,98,Cedar,Cedrus libani,35.8,63.1,10.4,0.56,1,P1
99,99,Poplar,Populus tremula,25.2,40.3,3.7,0.42,1,P1
100,100,Pine,Pinus sylvestris,36.8,55.6,4.7,0.45,1,P1
101,101,Locust,Robinia pseudoacacia,27.1,54.4,5.6,0.69,1,P1
102,102,Hemlock,Tsuga canadensis,22.1,43.1,4.7,0.45,1,P1
104,104,Pine,Pinus sylvestris,21.2,57,4.2,0.45,1,P1
105,105,Willow,Salix alba,26,60.3,8.1,0.47,1,P1
107,107,Beech,Fagus sylvatica,25.6,66.4,4.5,0.67,1,P1
108,108,Larch,Larix decidua,35.5,70.9,10.5,0.59,1,P1
109,109,Redwood,Sequoia sempervirens,22,45.7,5.9,0.48,1,P1
110,110,Cypress,Cupressus sempervirens,27.4,65.3,5.7,0.47,1,P1
111,111,Yew,Taxus baccata,27.6,50.2,4.5,0.64,1,P1
113,113,Pine,Pinus sylvestris,34.9,60.9,12.6,0.45,1,P1
114,114,Oak,Quercus robur,21.7,47.1,6.4,0.7,1,P1
