,RF,RD,RDo,IVI
Daniella oliveri,9.4,18.4,22.8,50.5
Gmelina arborea,9.4,18.4,14,41.8
Azadirachta indica,10.4,14.4,14.2,39
Hannoa undulata,8.3,6,4,18.4
Mangifera indica,2.1,2.7,10.7,15.5
Lophira lanceolata,6.2,6.4,2.2,14.8
Detarium microcarpum,5.2,5.7,3.6,14.5
Anacadium occidentale,3.1,2.3,7.8,13.3
Syzygium guineenses,3.1,4,4.2,11.3
Albizia zygia,4.2,3.3,1.3,8.8
Burkea africana,4.2,2.7,1,7.9
Crossopteryx febrifuga,4.2,1.7,1.3,7.1
Parinari curitellifolia,4.2,1.7,0.9,6.7
Khaya senegalensis,1,0.3,3.9,5.2
Terminalia mentalis,3.1,1.3,0.7,5.2
Kuassia undulata,2.1,1.7,1.4,5.2
Elaeis guineensis,2.1,1,1.3,4.4
Vitellaria paradoxa,2.1,1.3,1,4.4
Ficus sycomorus,2.1,1,0.9,4
Maranthes polyandra,2.1,0.7,0.3,3
Scrychinos spinosa,2.1,0.7,0.2,3
Ptericarpus eriaceus,1,0.3,1.1,2.4
Lannea schrimperiana,1,1,0.3,2.3
Trichilia emetica,1,1,0.3,2.3
Combretum nigricans,1,0.3,0.2,1.6
Terminalia schimperiana,1,0.3,0.2,1.5
Parkia biglobosa,1,0.3,0.1,1.5
Terminalia avicennoides,1,0.3,0.1,1.5
Anthocleista djalonensis,1,0.3,0.1,1.5
Pericopsis laxiflora,1,0.3,0.1,1.4
Total,100,100,100,300
