,Common_Name,Scientific_Name,Tree_Height,Aboveground_Biomass,Live_Crown_Leaves,Tree_Branches,Tree_Bark,Tree_Stem,DBH,Crown_Diameter,Total_Aboveground_Carbon,Foliage_Biomass,Foliage_Leaves,Wood_Density
1,Yew,Taxus baccata,22.47227941135,744.935670890845,418.975267503411,379.981213947758,371.403120346367,373.532550544478,54.4282374730172,8.52098657319905,372.467835445423,42.4968557734974,921.189793152735,0.64
2,Birch,Betula pendula,22.7212732924614,367.342822533101,371.939091063105,159.572568919975,330.114161707461,37.22866082564,52.3350868969253,4.28337899153379,183.67141126655,189.529756740667,662.159802438691,0.67
3,Oak,Quercus robur,37.7638473792504,895.427293120883,361.240521755535,619.448594434652,224.308610521257,671.118682599626,73.960339018452,7.04796825400556,447.713646560442,104.950916056987,585.506271710619,0.7
4,Pine,Pinus sylvestris,21.1953789941353,1554.09134491347,176.906066867523,839.99534950126,36.584468819201,1517.50687609427,48.2530364230498,6.67270125617513,777.045672456734,89.5138846593909,699.024818325415,0.45
5,Oak,Quercus robur,21.9590148179864,1084.46243144572,475.180860718247,731.527894246392,28.0869124829769,1056.37551896274,45.5232253834293,5.16758696193565,542.231215722859,45.9454425494187,558.227275393438,0.7
6,Yew,Taxus baccata,39.912864827243,1927.20301423687,194.041787695605,377.63164145872,295.824146643281,1631.37886759359,64.6127968530933,10.4511560613176,963.601507118437,49.3728129542433,326.265948067885,0.64
7,Redwood,Sequoia sempervirens,28.8778647881778,478.936220961623,112.992748960387,97.5156403263099,357.765666656196,121.170554305427,40.8166330313237,5.02154971882681,239.468110480811,68.5866458201781,677.558350469917,0.48
8,Maple,Acer saccharum,32.7150710794067,437.425868329592,218.301569749601,662.235848361161,209.103711992502,228.32215633709,63.7043621315012,8.137474973428,218.712934164796,156.513867799658,883.846716594417,0.71
9,Yew,Taxus baccata,31.7338706648248,237.936382810585,238.083997301292,969.315232394729,242.598141506314,-4.66175869572908,43.5136707269991,5.60980077351809,118.968191405293,157.531207653228,718.00395976752,0.64
10,Pine,Pinus sylvestris,25.1882153948599,218.57733624056,359.891281479504,401.825538277626,135.892818830907,82.6845174096525,44.3948571881776,5.429184493457,109.28866812028,162.476068916731,657.697920827195,0.45
11,Pine,Pinus sylvestris,30.6620412616285,356.373537797481,318.755868128501,587.666729500052,67.951928935945,288.421608861536,67.7991074540766,7.61113087994381,178.18676889874,137.786904948298,251.124455488753,0.45
12,Beech,Fagus sylvatica,23.30015828744,693.63925459329,369.386069972534,366.373988497071,92.1821086481214,601.457145945169,42.9713636344998,7.05451712682277,346.819627296645,121.406969318632,817.739282525145,0.67
13,Ash,Fraxinus excelsior,27.3557155470605,1533.87504145503,456.084241704084,628.924241964705,319.030439443886,1214.84460201114,41.1039032345975,5.04584692998968,766.937520727515,141.524427388795,173.447774711531,0.67
14,Cherry,Prunus avium,22.2485217875285,284.95352989994,487.777944062836,712.095463764854,146.716200970113,138.237328929827,46.2831676517309,4.14966788059184,142.47676494997,193.207121316809,883.639604842756,0.72
15,Ash,Fraxinus excelsior,30.600569242912,261.813251045533,220.778739517555,355.04644906614,67.745921202004,194.067329843529,44.3279833931003,6.32877820992521,130.906625522766,102.75493494235,368.829469871707,0.67
16,Redwood,Sequoia sempervirens,39.4172504129831,836.164258606732,230.166212515905,600.490290776361,159.082954116166,677.081304490566,67.2577400025231,11.0532294000628,418.082129303366,87.1558566414751,261.250935168937,0.48
17,Willow,Salix alba,24.6112651770168,1641.86225312296,332.568699102849,651.432113058399,164.622428528965,1477.239824594,56.9139952134978,3.33015464312323,820.931126561482,30.2880674251355,183.740936534014,0.47
18,Poplar,Populus tremula,37.4133063280315,882.715244335122,436.431153460871,723.881126986817,257.691241651773,625.024002683349,70.2553323146009,13.8621123379604,441.357622167561,104.905189897399,976.683959853835,0.42
19,Walnut,Juglans regia,22.2785317060287,1484.38380169682,12.9811129928567,514.027696917765,144.393897913396,1339.98990378343,41.4501593801092,11.2587242426281,742.191900848411,81.6872659232467,318.042898678686,0.61
20,Walnut,Juglans regia,26.775339566709,1595.68463019095,449.241333552636,653.182627796195,290.424308255315,1305.26032193564,44.653672692392,7.24319773044588,797.842315095477,53.3574541960843,433.171295921784,0.61
21,Fir,Abies alba,30.8103374474323,570.924075250514,410.713059266564,923.126567923464,130.665652453899,440.258422796614,51.7565883358115,9.35897200367718,285.462037625257,139.833127453458,463.098221411929,0.42
22,Birch,Betula pendula,24.7992043446501,652.637439174578,355.832125595771,337.349982617889,285.338041223586,367.299397950992,46.603198332641,6.90025205163901,326.318719587289,100.39935199311,469.136108178645,0.67
23,Maple,Acer saccharum,24.0238068044478,1736.46249282174,327.301272167824,585.635917063337,141.055543683469,1595.40694913827,59.8890106468751,10.2796045149685,868.231246410869,106.681619549636,121.833827730734,0.71
24,Redwood,Sequoia sempervirens,26.7692188700583,1935.355124739,372.867667186074,50.2504079719074,421.178023479879,1514.17710125912,44.6114099756765,8.51199355411115,967.677562369499,134.36842705356,218.246457830537,0.48
25,Oak,Quercus robur,22.4161391839159,332.243384583853,300.495401977096,603.835036430974,425.987558402121,-93.7441738182679,53.510143836168,7.10459365079729,166.121692291927,42.1406435826793,341.01095526712,0.7
26,Beech,Fagus sylvatica,37.7962014035097,1746.32979969028,498.84373186389,494.777372537646,154.895749911666,1591.43404977862,60.5817860836368,12.1657660666965,873.164899845142,76.2977028894238,237.538034864701,0.67
27,Cherry,Prunus avium,26.6787272711196,286.962052225135,277.498716630507,89.1052477410994,493.02757050842,-206.065518283285,46.0714929294361,9.71720057217923,143.481026112568,196.055041544605,465.613202436361,0.72
28,Spruce,Picea abies,21.1568247053728,661.782466270961,285.151912178844,117.524521483574,133.890449218452,527.892017052509,42.1271182533684,4.01014306601766,330.89123313548,92.3492244025692,79.3406303506345,0.43
29,Cedar,Cedrus libani,35.3968543950844,1552.73722207639,468.860991904512,569.427099789027,110.638540647924,1442.09868142847,62.4272557079303,5.28322182713285,776.368611038197,199.601312465966,797.829076484777,0.56
30,Magnolia,Magnolia grandiflora,31.8220653035286,1649.03297673445,397.549928973895,540.159783232957,497.582269310951,1151.4507074235,73.6302035495098,5.96435194578257,824.516488367226,179.608421998564,244.520206260495,0.6
