TRT,D,H,NL
T1,3,18,8
T1,3,17,8
T1,2.9,16,9
T1,2.5,19,8
T1,2.5,16,11
T1,2,10,10
T1,2.5,20,9
T1,2,19,10
T1,2,18,10
T1,3,13,10
T1,2.9,10,8
T1,2.9,18,10
T1,2,19,8
T1,2,18,10
T1,2,14,7
T2,2.5,20,8
T2,3,17,9
T2,2.5,16,10
T2,3.1,15,10
T2,2.5,16,10
T2,2.5,18,8
T2,2.5,12,12
T2,3,20,9
T2,2.5,20,10
T2,2.5,15,7
T2,3,20,8
T2,2.5,15,8
T2,2.5,16,8
T2,2,16,10
T2,3,17,9
T3,2.9,18,10
T3,3.1,18,11
T3,2.9,22,11
T3,2.9,16,12
T3,3,11,8
T3,2.5,13,8
T3,2.5,13,10
T3,2.5,15,10
T3,2,16,9
T3,3.1,15,11
T3,2.9,16,8
T3,3.1,21,9
T3,2,14,12
T3,2,15,11
T3,2.5,14,10
