S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
1,P1,Tectona grandis,34.1,28.6,4.7,0.0644,0.615,132.352,0.529,70.014
2,P1,Gmelina arborea,52.5,34.7,5.3,0.0945,0.425,150.759,0.529,79.752
3,P1,Kashier,53.5,46.1,5.5,0.1673,0.600,382.409,0.529,202.295
4,P1,Kashier,26.1,22.0,3.9,0.0379,0.600,64.159,0.529,33.940
5,P1,Kashier,34.4,25.8,4,0.0522,0.600,89.933,0.529,47.574
6,P1,Kashier,37.9,24.5,4.5,0.0472,0.600,91.392,0.529,48.347
7,P1,Gmelina arborea,64.9,50.9,5.9,0.2037,0.425,354.102,0.529,187.320
8,P1,Kashier,36.9,25.1,4,0.0497,0.600,85.649,0.529,45.308
9,P1,Kashier,31.2,22.9,4.4,0.0412,0.600,78.427,0.529,41.488
10,P1,Kashier,31.5,27.1,4,0.0575,0.600,98.805,0.529,52.268
11,P1,Kashier,29.9,23.9,4.3,0.0448,0.600,83.048,0.529,43.932
12,P1,Kashier,37.6,36.0,4,0.1016,0.600,172.252,0.529,91.121
13,P1,Kashier,38.2,29.0,5,0.0659,0.600,140.342,0.529,74.241
14,P1,Kashier,35.6,27.4,4,0.0588,0.600,101.087,0.529,53.475
15,P1,Khaya senegalensis,26.1,22.3,3.8,0.0390,0.648,69.343,0.529,36.682
16,P1,Gmelina arborea,53.5,36.0,4.4,0.1016,0.425,134.882,0.529,71.352
17,P1,Tectona grandis,28.5,20.8,3.8,0.0341,0.615,57.843,0.529,30.599
18,P1,Khaya senegalensis,30.9,25.8,4.5,0.0522,0.648,108.743,0.529,57.525
19,P1,Khaya senegalensis,25.1,21.6,3.8,0.0368,0.648,65.528,0.529,34.664
20,P1,Khaya senegalensis,16.5,12.7,3.1,0.0127,0.648,19.067,0.529,10.087
21,P1,Gmelina arborea,33.7,25.3,5.2,0.0503,0.425,79.923,0.529,42.279
22,P1,Tectona grandis,29.6,24.7,5.6,0.0478,0.615,117.281,0.529,62.042
23,P1,Tectona grandis,33.3,28.5,5.9,0.0637,0.615,163.452,0.529,86.466
24,P1,Gmelina arborea,34.1,25.5,4.5,0.0509,0.425,70.259,0.529,37.167
25,P2,Tectona grandis,22.3,17.8,9.4,0.0249,0.615,103.114,0.529,54.547
26,P2,Kashier,39.5,31.2,9.7,0.0764,0.600,309.675,0.529,163.818
27,P2,Kashier,21.3,15.0,9.7,0.0176,0.600,73.785,0.529,39.032
28,P2,Tectona grandis,26.1,22.0,9.7,0.0379,0.615,159.810,0.529,84.539
29,P2,Tectona grandis,19.1,16.2,7.4,0.0207,0.615,68.019,0.529,35.982
30,P2,Tectona grandis,22.6,19.7,7.5,0.0306,0.615,100.899,0.529,53.376
31,P2,Tectona grandis,20.7,16.2,7.4,0.0207,0.615,68.019,0.529,35.982
32,P2,Tectona grandis,25.1,21.0,7,0.0347,0.615,106.573,0.529,56.377
33,P2,Gmelina arborea,25.8,20.7,9,0.0336,0.425,92.147,0.529,48.746
34,P2,Tectona grandis,27.1,24.8,7,0.0484,0.615,147.661,0.529,78.112
35,P2,Tectona grandis,24.5,20.7,8.3,0.0336,0.615,122.154,0.529,64.619
36,P2,Tectona grandis,28.3,22.3,7.4,0.0390,0.615,126.207,0.529,66.763
37,P2,Gmelina arborea,29.6,23.6,7.5,0.0436,0.425,99.342,0.529,52.552
38,P2,Gmelina arborea,22.6,19.1,7,0.0286,0.425,61.674,0.529,32.625
39,P2,Gmelina arborea,27.1,23.2,8,0.0424,0.425,103.028,0.529,54.502
40,P2,Gmelina arborea,23.9,20.4,7.5,0.0326,0.425,74.827,0.529,39.583
41,P2,Tectona grandis,20.4,16.5,7,0.0215,0.615,66.917,0.529,35.399
42,P3,Gmelina arborea,54.7,44.2,7.2,0.1537,0.425,326.780,0.529,172.867
43,P3,Gmelina arborea,54.7,25.1,7.2,0.0497,0.425,108.457,0.529,57.374
44,P3,Gmelina arborea,24.5,24.0,7.5,0.0453,0.425,103.311,0.529,54.652
45,P3,Gmelina arborea,31.8,29.9,7.5,0.0703,0.425,158.467,0.529,83.829
46,P3,Gmelina arborea,55.7,38.5,7.4,0.1165,0.425,256.036,0.529,135.443
47,P3,Gmelina arborea,42.0,29.0,7.4,0.0659,0.425,146.809,0.529,77.662
48,P3,Gmelina arborea,42.0,23.9,7.4,0.0448,0.425,100.652,0.529,53.245
49,P3,Gmelina arborea,29.6,24.5,7.4,0.0472,0.425,105.958,0.529,56.052
50,P3,Gmelina arborea,57.3,54.7,7.4,0.2354,0.425,508.693,0.529,269.099
51,P3,Gmelina arborea,40.1,36.3,7.2,0.1034,0.425,221.906,0.529,117.388
52,P3,Gmelina arborea,33.1,27.7,7.2,0.0602,0.425,130.928,0.529,69.261
53,P3,Gmelina arborea,44.6,35.0,7,0.0963,0.425,201.349,0.529,106.513
54,P3,Gmelina arborea,46.5,35.6,7.4,0.0998,0.425,220.180,0.529,116.475
55,P3,Gmelina arborea,41.4,22.9,7.3,0.0412,0.425,91.717,0.529,48.518
56,P3,Gmelina arborea,41.4,19.7,7.3,0.0306,0.425,68.499,0.529,36.236
57,P3,Gmelina arborea,41.1,32.5,7.5,0.0828,0.425,185.858,0.529,98.319
58,P3,Gmelina arborea,32.1,26.1,7.2,0.0535,0.425,116.642,0.529,61.704
59,P3,Gmelina arborea,38.2,32.5,7,0.0828,0.425,173.755,0.529,91.916
60,P3,Gmelina arborea,35.0,30.6,7,0.0733,0.425,154.363,0.529,81.658
61,P3,Gmelina arborea,28.6,24.2,6.5,0.0460,0.425,91.009,0.529,48.144
62,P3,Gmelina arborea,27.7,22.0,7,0.0379,0.425,81.018,0.529,42.859
63,P3,Gmelina arborea,47.7,45.2,7.3,0.1604,0.425,345.306,0.529,182.667
64,P3,Gmelina arborea,43.3,21.3,6.5,0.0357,0.425,71.160,0.529,37.644
65,P3,Gmelina arborea,43.3,25.5,7,0.0509,0.425,108.139,0.529,57.205
