PLOT ID,SPECIES,DB,DBH,THT,BA,AGBKg,T/ha,AGB/hakg,AGB/haTn
P1,Tectona grandis,34.1,28.6,4.7,0.0644,132.352,0.529,70.014,0.07
P1,Gmelina arborea,52.5,34.7,5.3,0.0945,150.759,0.529,79.752,0.08
P1,Kashier,53.5,46.1,5.5,0.1673,382.409,0.529,202.295,0.202
P1,Kashier,26.1,22,3.9,0.0379,64.159,0.529,33.94,0.034
P1,Kashier,34.4,25.8,4,0.0522,89.933,0.529,47.574,0.048
P1,Kashier,37.9,24.5,4.5,0.0472,91.392,0.529,48.347,0.048
P1,Gmelina arborea,64.9,50.9,5.9,0.2037,354.102,0.529,187.32,0.187
P1,Kashier,36.9,25.1,4,0.0497,85.649,0.529,45.308,0.045
P1,Kashier,31.2,22.9,4.4,0.0412,78.427,0.529,41.488,0.041
P1,Kashier,31.5,27.1,4,0.0575,98.805,0.529,52.268,0.052
P1,Kashier,29.9,23.9,4.3,0.0448,83.048,0.529,43.932,0.044
P1,Kashier,37.6,36,4,0.1016,172.252,0.529,91.121,0.091
P1,Kashier,38.2,29,5,0.0659,140.342,0.529,74.241,0.074
P1,Kashier,35.6,27.4,4,0.0588,101.087,0.529,53.475,0.053
P1,Khaya senegalensis,26.1,22.3,3.8,0.039,69.343,0.529,36.682,0.037
P1,Gmelina arborea,53.5,36,4.4,0.1016,134.882,0.529,71.352,0.071
P1,Tectona grandis,28.5,20.8,3.8,0.0341,57.843,0.529,30.599,0.031
P1,Khaya senegalensis,30.9,25.8,4.5,0.0522,108.743,0.529,57.525,0.058
P1,Khaya senegalensis,25.1,21.6,3.8,0.0368,65.528,0.529,34.664,0.035
P1,Khaya senegalensis,16.5,12.7,3.1,0.0127,19.067,0.529,10.087,0.01
P1,Gmelina arborea,33.7,25.3,5.2,0.0503,79.923,0.529,42.279,0.042
P1,Tectona grandis,29.6,24.7,5.6,0.0478,117.281,0.529,62.042,0.062
P1,Tectona grandis,33.3,28.5,5.9,0.0637,163.452,0.529,86.466,0.086
P1,Gmelina arborea,34.1,25.5,4.5,0.0509,70.259,0.529,37.167,0.037
P2,Tectona grandis,22.3,17.8,9.4,0.0249,103.114,0.529,54.547,0.055
P2,Kashier,39.5,31.2,9.7,0.0764,309.675,0.529,163.818,0.164
P2,Kashier,21.3,15,9.7,0.0176,73.785,0.529,39.032,0.039
P2,Tectona grandis,26.1,22,9.7,0.0379,159.81,0.529,84.539,0.085
P2,Tectona grandis,19.1,16.2,7.4,0.0207,68.019,0.529,35.982,0.036
P2,Tectona grandis,22.6,19.7,7.5,0.0306,100.899,0.529,53.376,0.053
P2,Tectona grandis,20.7,16.2,7.4,0.0207,68.019,0.529,35.982,0.036
P2,Tectona grandis,25.1,21,7,0.0347,106.573,0.529,56.377,0.056
P2,Gmelina arborea,25.8,20.7,9,0.0336,92.147,0.529,48.746,0.049
P2,Tectona grandis,27.1,24.8,7,0.0484,147.661,0.529,78.112,0.078
P2,Tectona grandis,24.5,20.7,8.3,0.0336,122.154,0.529,64.619,0.065
P2,Tectona grandis,28.3,22.3,7.4,0.039,126.207,0.529,66.763,0.067
P2,Gmelina arborea,29.6,23.6,7.5,0.0436,99.342,0.529,52.552,0.053
P2,Gmelina arborea,22.6,19.1,7,0.0286,61.674,0.529,32.625,0.033
P2,Gmelina arborea,27.1,23.2,8,0.0424,103.028,0.529,54.502,0.055
P2,Gmelina arborea,23.9,20.4,7.5,0.0326,74.827,0.529,39.583,0.04
P2,Tectona grandis,20.4,16.5,7,0.0215,66.917,0.529,35.399,0.035
P3,Gmelina arborea,54.7,44.2,7.2,0.1537,326.78,0.529,172.867,0.173
P3,Gmelina arborea,54.7,25.1,7.2,0.0497,108.457,0.529,57.374,0.057
P3,Gmelina arborea,24.5,24,7.5,0.0453,103.311,0.529,54.652,0.055
P3,Gmelina arborea,31.8,29.9,7.5,0.0703,158.467,0.529,83.829,0.084
P3,Gmelina arborea,55.7,38.5,7.4,0.1165,256.036,0.529,135.443,0.135
P3,Gmelina arborea,42,29,7.4,0.0659,146.809,0.529,77.662,0.078
P3,Gmelina arborea,42,23.9,7.4,0.0448,100.652,0.529,53.245,0.053
P3,Gmelina arborea,29.6,24.5,7.4,0.0472,105.958,0.529,56.052,0.056
P3,Gmelina arborea,57.3,54.7,7.4,0.2354,508.693,0.529,269.099,0.269
P3,Gmelina arborea,40.1,36.3,7.2,0.1034,221.906,0.529,117.388,0.117
P3,Gmelina arborea,33.1,27.7,7.2,0.0602,130.928,0.529,69.261,0.069
P3,Gmelina arborea,44.6,35,7,0.0963,201.349,0.529,106.513,0.107
P3,Gmelina arborea,46.5,35.6,7.4,0.0998,220.18,0.529,116.475,0.116
P3,Gmelina arborea,41.4,22.9,7.3,0.0412,91.717,0.529,48.518,0.049
P3,Gmelina arborea,41.4,19.7,7.3,0.0306,68.499,0.529,36.236,0.036
P3,Gmelina arborea,41.1,32.5,7.5,0.0828,185.858,0.529,98.319,0.098
P3,Gmelina arborea,32.1,26.1,7.2,0.0535,116.642,0.529,61.704,0.062
P3,Gmelina arborea,38.2,32.5,7,0.0828,173.755,0.529,91.916,0.092
P3,Gmelina arborea,35,30.6,7,0.0733,154.363,0.529,81.658,0.082
P3,Gmelina arborea,28.6,24.2,6.5,0.046,91.009,0.529,48.144,0.048
P3,Gmelina arborea,27.7,22,7,0.0379,81.018,0.529,42.859,0.043
P3,Gmelina arborea,47.7,45.2,7.3,0.1604,345.306,0.529,182.667,0.183
P3,Gmelina arborea,43.3,21.3,6.5,0.0357,71.16,0.529,37.644,0.038
P3,Gmelina arborea,43.3,25.5,7,0.0509,108.139,0.529,57.205,0.057
P3,Gmelina arborea,60.2,29.9,7.3,0.0703,154.342,0.529,81.647,0.082
P3,Gmelina arborea,60.2,33.7,7.4,0.0894,197.743,0.529,104.606,0.105
P3,Gmelina arborea,59.8,46.5,7.5,0.1696,374.292,0.529,198.001,0.198
P4,Tectona grandis,18.1,14.5,4.8,0.0165,35.679,0.529,18.874,0.019
P4,Tectona grandis,18.1,15,4,0.0176,31.815,0.529,16.83,0.017
P4,Tectona grandis,21.6,17.8,4.3,0.0249,48.063,0.529,25.425,0.025
P4,Tectona grandis,26.1,20.4,4.7,0.0326,68.032,0.529,35.989,0.036
P4,Tectona grandis,21.5,14.3,4,0.0161,29.225,0.529,15.46,0.015
P4,Tectona grandis,16.9,12.6,4.3,0.0124,24.317,0.529,12.863,0.013
P4,Tectona grandis,16.2,13,4,0.0134,24.369,0.529,12.891,0.013
P4,Tectona grandis,19.4,14.5,4.3,0.0165,32.047,0.529,16.953,0.017
P4,Daniella olivera,16.5,12.6,4,0.0124,19.721,0.529,10.432,0.01
P4,Tectona grandis,23.4,17.7,4.5,0.0245,49.371,0.529,26.117,0.026
P4,Tectona grandis,19.1,16.9,4.3,0.0223,43.165,0.529,22.834,0.023
P4,Tectona grandis,16.7,14,4.4,0.0154,30.698,0.529,16.239,0.016
P4,Daniella olivera,20.4,17.2,4.3,0.0232,38.963,0.529,20.612,0.021
P4,Tectona grandis,27.1,21,4.6,0.0347,70.743,0.529,37.423,0.037
P4,Kashier,43.6,16.2,4.3,0.0207,39.119,0.529,20.694,0.021
P4,Kashier,43.6,31.5,5,0.078,165.432,0.529,87.513,0.088
P4,Tectona grandis,16.5,15,4,0.0176,31.815,0.529,16.83,0.017
P4,Tectona grandis,23.7,18.3,4.4,0.0263,51.756,0.529,27.379,0.027
P4,Tectona grandis,25.8,19.7,4.3,0.0306,58.627,0.529,31.013,0.031
P4,Tectona grandis,25.1,21.3,4,0.0357,63.561,0.529,33.624,0.034
P4,Tectona grandis,21.6,20.1,4.3,0.0316,60.486,0.529,31.997,0.032
P4,Tectona grandis,21.5,17.2,4.8,0.0232,49.843,0.529,26.367,0.026
P4,Tectona grandis,28.8,24.2,5.6,0.046,112.891,0.529,59.719,0.06
P4,Tectona grandis,35,27.4,5.2,0.0588,133.672,0.529,70.713,0.071
P4,Tectona grandis,23.9,20.7,5.1,0.0336,75.941,0.529,40.173,0.04
P4,Tectona grandis,28.2,24.2,4.3,0.046,87.236,0.529,46.148,0.046
P4,Tectona grandis,32.8,26.6,5.4,0.0555,130.927,0.529,69.26,0.069
P4,Kashier,28.6,22.3,4.2,0.039,70.936,0.529,37.525,0.038
P4,Daniella olivera,28.3,23.1,4.5,0.0418,72.389,0.529,38.294,0.038
P5,Gmelina arborea,27.2,22.3,8,0.039,94.925,0.529,50.215,0.05
P5,Gmelina arborea,41.7,37.2,6.3,0.1089,204.923,0.529,108.404,0.108
P5,Gmelina arborea,22.6,20.4,7.4,0.0326,73.853,0.529,39.068,0.039
P5,Khaya senegalensis,18.5,16.9,5.3,0.0223,55.742,0.529,29.487,0.029
P5,Gmelina arborea,30.2,25.1,7.5,0.0497,112.866,0.529,59.706,0.06
P5,Gmelina arborea,30.1,26.4,6.4,0.0548,106.465,0.529,56.32,0.056
P5,Gmelina arborea,24.8,20.5,5.4,0.0331,55.133,0.529,29.165,0.029
P5,Gmelina arborea,34.4,29.6,6.4,0.0688,132.937,0.529,70.324,0.07
P5,Gmelina arborea,28.3,23.7,7,0.0442,94.102,0.529,49.78,0.05
P5,Gmelina arborea,29.8,27.7,6.5,0.0602,118.489,0.529,62.681,0.063
P5,Gmelina arborea,23.6,19.1,7.4,0.0286,65.111,0.529,34.444,0.034
P5,Gmelina arborea,26.4,23.9,6.8,0.0448,92.679,0.529,49.027,0.049
P5,Gmelina arborea,24.3,22.3,7.4,0.039,87.97,0.529,46.536,0.047
P5,Gmelina arborea,20.1,17.2,7.2,0.0232,51.609,0.529,27.301,0.027
P5,Gmelina arborea,40.7,27.8,7.6,0.0609,139.575,0.529,73.835,0.074
P5,Gmelina arborea,42,29,8.4,0.0659,166.142,0.529,87.889,0.088
P5,Gmelina arborea,22.9,17.2,6.4,0.0232,46.004,0.529,24.336,0.024
P5,Gmelina arborea,25.5,21.8,6.3,0.0373,72.071,0.529,38.125,0.038
P5,Daniella olivera,22.9,17.2,6.4,0.0232,57.441,0.529,30.386,0.03
P5,Vitex doniana,34.1,28,7,0.0616,122.892,0.529,65.01,0.065
P5,Gmelina arborea,31.2,26.4,7.4,0.0548,122.672,0.529,64.893,0.065
P5,Gmelina arborea,24.5,20.7,7.6,0.0336,78.13,0.529,41.331,0.041
P5,Gmelina arborea,24.8,22.3,8,0.039,94.925,0.529,50.215,0.05
P5,Gmelina arborea,20.7,18,7.2,0.0254,56.375,0.529,29.823,0.03
P5,Gmelina arborea,25.1,21.6,6.9,0.0368,77.644,0.529,41.074,0.041
P5,Gmelina arborea,21.8,18.8,7.4,0.0277,63.01,0.529,33.332,0.033
