forest,S/NO,FID,PID,CROP ,SPECIES,THT,DB,DBH,BA,count
FOR,1,Agan,P1,Millet,Anacardium occidentale,7.5,29.3,24.5,0.0472,1
FOR,2,Agan,P1,Millet,Parkia biglobosa,9.9,45.5,41.4,0.1345,1
FOR,3,Agan,P1,Millet,Acacia poiyacantha,10,36.6,31.2,0.0764,1
FOR,4,Agan,P1,Millet,Daniellia oliveri,10.8,58.9,47.7,0.179,1
FOR,5,Agan,P1,Millet,Azadirachta indica,5.2,24.5,19.7,0.0306,1
FOR,6,Agan,P1,Millet,Parkia biglobosa,8.5,63.7,58.9,0.2724,1
FOR,7,Agan,P1,Millet,Parkia biglobosa,7.6,39.8,31.8,0.0796,1
FOR,8,Agan,P1,Millet,Azadirachta indica,6.5,28.3,20.4,0.0326,1
FOR,9,Agan,P1,Millet,Daniellia oliveri,13.5,57.6,46.8,0.172,1
FOR,10,Agan,P1,Millet,Gmelina aborea,6.5,35.3,27.1,0.0575,1
FOR,11,Agan,P1,Millet,Lannea schimperiana,7.3,42.7,38.2,0.1146,1
FOR,12,Agan,P2,Maize,Daniellia oliveri,9.8,24.8,21,0.0347,1
FOR,13,Agan,P2,Maize,Daniellia oliveri,8.4,21.6,18.5,0.0268,1
FOR,14,Agan,P2,Maize,Daniellia oliveri,9.6,26.7,20.4,0.0326,1
FOR,15,Agan,P2,Maize,Daniellia oliveri,9,28,22.9,0.0413,1
FOR,16,Agan,P2,Maize,Daniellia oliveri,11.2,41.7,35.3,0.098,1
FOR,17,Agan,P2,Maize,Daniellia oliveri,8.6,20.4,17.5,0.0241,1
FOR,18,Agan,P2,Maize,Vitex doniana,9.5,36,31.5,0.078,1
FOR,19,Agan,P2,Maize,Daniellia oliveri,10.2,31.2,29.9,0.0703,1
FOR,20,Agan,P2,Maize,Daniellia oliveri,8.9,28.3,22.6,0.0401,1
FOR,21,Agan,P2,Maize,Daniellia oliveri,7.2,26.7,22.3,0.039,1
FOR,22,Agan,P2,Maize,Stereospermum kunthianum,3,13.4,10.2,0.0081,1
FOR,23,Agan,P2,Maize,Lannea schimperiana,7.7,69.1,61.1,0.2934,1
FOR,24,Agan,P2,Maize,Parkia biglobosa,12,82.1,73.2,0.421,1
FOR,25,Agan,P2,Maize,Daniellia oliveri,8.6,25.1,22.3,0.039,1
FOR,26,Agan,P2,Maize,Daniellia oliveri,10.5,27.7,22.3,0.039,1
FOR,27,Agan,P2,Maize,Daniellia oliveri,8.3,25.5,19.7,0.0306,1
FOR,28,Agan,P2,Maize,Parkia biglobosa,9,47.4,41.7,0.1366,1
FOR,29,Agan,P3,Groundnut,Prosopis africana,13,93.9,79.6,0.4974,1
FOR,30,Agan,P3,Groundnut,Daniellia oliveri,7.3,27.1,21.3,0.0357,1
FOR,31,Agan,P3,Groundnut,Gmelina aborea,15,78,73.2,0.421,1
FOR,32,Agan,P3,Groundnut,Gmelina aborea,12,72.3,67.5,0.3577,1
FOR,33,Agan,P3,Groundnut,Mangifera indica,8,62.7,57.9,0.2636,1
FOR,34,Agan,P3,Groundnut,Gmelina aborea,10.5,38.2,32.1,0.0812,1
FOR,35,Agan,P3,Groundnut,Parkia biglobosa,11.8,79.6,75.4,0.447,1
FOR,36,Agan,P3,Groundnut,Gmelina aborea,8.3,39.2,36.6,0.1052,1
FOR,37,Agan,P3,Groundnut,Gmelina aborea,6,53.5,48.4,0.1839,1
FOR,38,Agan,P3,Groundnut,Mangifera indica,8,45.8,41.1,0.1324,1
FOR,39,Agan,P3,Groundnut,Anacardium occidentale,5.8,53.5,47.7,0.179,1
FOR,40,Agan,P3,Groundnut,Ficus  exasperata,8,36.9,32.5,0.0828,1
FOR,41,Agan,P3,Groundnut,Ficus  exasperata,7.8,35.7,31.8,0.0796,1
FOR,42,Agan,P3,Groundnut,Daniellia oliveri,14.3,47.7,42.7,0.1429,1
FOR,43,Agan,P3,Groundnut,Ficus asperlifolia,11.3,84,77,0.466,1
FOR,44,Agan,P3,Groundnut,Anogeissus leiocarpus,8.9,32.1,24.5,0.0472,1
FOR,45,Agan,P3,Groundnut,Gmelina aborea,14,92,84,0.5546,1
FOR,46,Atson,P4,Rice,Vitex doniana,7.2,26.1,17.5,0.0241,1
FOR,47,Atson,P4,Rice,Vitex doniana,6.4,24.5,20.7,0.0336,1
FOR,48,Atson,P4,Rice,Vitex doniana,8,55.1,43.9,0.1515,1
FOR,49,Atson,P4,Rice,Vitex doniana,10,47.4,36,0.1016,1
FOR,50,Atson,P4,Rice,Daniellia oliveri,15,49,44.9,0.1582,1
FOR,51,Atson,P4,Rice,Parkia biglobosa,10,47.1,37.2,0.1089,1
FOR,52,Atson,P4,Rice,Vitex doniana,9.2,39.8,33.4,0.0877,1
FOR,53,Atson,P4,Rice,Vitex doniana,18,43.6,38.2,0.1146,1
FOR,54,Atson,P4,Rice,Parkia biglobosa,9.2,63.7,49.3,0.1912,1
FOR,55,Atson,P4,Rice,Ficus sycomorus,14.5,51.2,38.8,0.1184,1
FOR,56,Atson,P4,Rice,Vitex doniana,7.9,28.6,23.6,0.0436,1
FOR,57,Atson,P4,Rice,Vitex doniana,7,40.7,35.7,0.0998,1
