"","values","FOR.frequency","FOR.density","FOR.dominance","FOR.frequency.percent","FOR.density.percent","FOR.dominance.percent","FOR.importance.value"
"Daniellia oliveri","FOR",1,33,2.9972,11.1111111111111,18.8571428571429,18.4828657938715,48.4511197621255
"Vitex doniana","FOR",0.666666666666667,34,2.6511,7.40740740740741,19.4285714285714,16.3485671647313,43.1845460007102
"Parkia biglobosa","FOR",0.777777777777778,14,2.846,8.64197530864197,8,17.5504591116236,34.1924344202656
"Gmelina aborea","FOR",0.666666666666667,12,2.0605,7.40740740740741,6.85714285714286,12.7065077299721,26.9710579945223
"Prosopis africana","FOR",0.444444444444444,6,0.9484,4.93827160493827,3.42857142857143,5.84850858097816,14.2153516144879
"Lannea schimperiana","FOR",0.444444444444444,7,0.796,4.93827160493827,4,4.90870184569656,13.8469734506348
"Ficus sur","FOR",0.333333333333333,4,0.277,3.7037037037037,2.28571428571429,1.70817890861551,7.6975968980335
"Stereospermum kunthianum","FOR",0.444444444444444,4,0.0616,4.93827160493827,2.28571428571429,0.379869389063955,7.60385527971651
"Combretum nigricans","FOR",0.222222222222222,6,0.2008,2.46913580246914,3.42857142857143,1.23827554097471,7.13598277201528
"Acacia nilotica","FOR",0.222222222222222,4,0.3395,2.46913580246914,2.28571428571429,2.09359833745475,6.84844842563817
"Mangifera indica","FOR",0.222222222222222,3,0.4159,2.46913580246914,1.71428571428571,2.56473504726784,6.74815656402269
"Ficus  exasperata","FOR",0.222222222222222,3,0.2452,2.46913580246914,1.71428571428571,1.51207750322211,5.69549901997696
"Pterocarpus erinaceus","FOR",0.222222222222222,4,0.1289,2.46913580246914,2.28571428571429,0.794889030038048,5.54973911822147
"Strychnos spinosa","FOR",0.222222222222222,4,0.0659,2.46913580246914,2.28571428571429,0.406386245768095,5.16123633395152
"Anacardium occidentale","FOR",0.222222222222222,2,0.2262,2.46913580246914,1.14285714285714,1.39490999685498,5.00690294218126
"Lophira Lanceolata","FOR",0.222222222222222,2,0.1937,2.46913580246914,1.14285714285714,1.19449189385857,4.80648483918485
"Psedocedrella koschyii","FOR",0.222222222222222,3,0.0809,2.46913580246914,1.71428571428571,0.498886908689512,4.68230842544436
"Ficus asperlifolia","FOR",0.111111111111111,1,0.466,1.23456790123457,0.571428571428571,2.87368726142537,4.67968373408851
"Anogeissus leiocarpus","FOR",0.222222222222222,2,0.0731,2.46913580246914,1.14285714285714,0.450786563970375,4.06277950929665
"Sarcocephelus latifolius","FOR",0.222222222222222,2,0.0684,2.46913580246914,1.14285714285714,0.421803022921664,4.03379596824794
"Hymenocardia acida","FOR",0.111111111111111,4,0.0514,1.23456790123457,2.28571428571429,0.316968938277391,3.83725112522624
"Vitellaria paradoxa","FOR",0.111111111111111,3,0.0541,1.23456790123457,1.71428571428571,0.333619057603246,3.28247267312353
"Maranthes polyandra","FOR",0.111111111111111,2,0.0883,1.23456790123457,1.14285714285714,0.544520569064078,2.92194561315579
"Burkia africana","FOR",0.111111111111111,2,0.068,1.23456790123457,1.14285714285714,0.419336338577093,2.7967613826688
"Elaies guineesis","FOR",0.111111111111111,1,0.1605,1.23456790123457,0.571428571428571,0.989757093259168,2.79575356592231
"Azadirachta indica","FOR",0.111111111111111,2,0.0632,1.23456790123457,1.14285714285714,0.389736126442239,2.76716117053395
"Afzelia africana","FOR",0.111111111111111,2,0.0558,1.23456790123457,1.14285714285714,0.344102466067673,2.72152751015938
"Crossoperys febrifuga","FOR",0.111111111111111,2,0.0304,1.23456790123457,1.14285714285714,0.187468010187406,2.56489305427912
"Ficus sycomorus","FOR",0.111111111111111,1,0.1184,1.23456790123457,0.571428571428571,0.730138565993056,2.5361350386562
"Khaya senegalensis","FOR",0.111111111111111,1,0.0963,1.23456790123457,0.571428571428571,0.593854255955501,2.39985072861864
"Ficus trichopoda","FOR",0.111111111111111,1,0.0877,1.23456790123457,0.571428571428571,0.540820542547222,2.34681701521036
"Acacia poiyacantha","FOR",0.111111111111111,1,0.0764,1.23456790123457,0.571428571428571,0.471136709813087,2.27713318247623
"Glaricidia sepium","FOR",0.111111111111111,1,0.0733,1.23456790123457,0.571428571428571,0.452019906142661,2.2580163788058
"Terminalia schimperiana","FOR",0.111111111111111,1,0.0268,1.23456790123457,0.571428571428571,0.165267851086266,1.97126432374941
"Syzygium quineensis","FOR",0.111111111111111,1,0.0232,1.23456790123457,0.571428571428571,0.143067691985126,1.94906416464827
