"","summary(spp)"
"Acacia nilotica",4
"Acacia poiyacantha",1
"Afzelia africana",2
"Anacardium occidentale",2
"Anogeissus leiocarpus",2
"Azadirachta indica",2
"Burkia africana",2
"Combretum nigricans",6
"Crossoperys febrifuga",2
"Daniellia oliveri",33
"Elaies guineesis",1
"Ficus  exasperata",3
"Ficus asperlifolia",1
"Ficus sur",4
"Ficus sycomorus",1
"Ficus trichopoda",1
"Glaricidia sepium",1
"Gmelina aborea",12
"Hymenocardia acida",4
"Khaya senegalensis",1
"Lannea schimperiana",7
"Lophira Lanceolata",2
"Mangifera indica",3
"Maranthes polyandra",2
"Parkia biglobosa",14
"Prosopis africana",6
"Psedocedrella koschyii",3
"Pterocarpus erinaceus",4
"Sarcocephelus latifolius",2
"Stereospermum kunthianum",4
"Strychnos spinosa",4
"Syzygium quineensis",1
"Terminalia schimperiana",1
"Vitellaria paradoxa",3
"Vitex doniana",34
